"Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999"
"Illan Meslier,fr FRA,GK,21,37.6,3,0.08,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6b625ac2"
"Stuart Dallas,nir NIR,DFMF,30,32.4,75,2.31,46,19,4,1,3,2,3,0.09,2,0,0,0,0,1,Matches,67ca8566"
"Raphinha,br BRA,FWMF,24,32.4,136,4.20,77,25,15,9,8,2,10,0.31,5,0,2,0,2,1,Matches,3423f250"
"Jack Harrison,eng ENG,FWMF,24,29.3,86,2.93,55,7,11,8,4,1,4,0.14,1,0,1,2,0,0,Matches,aa849a12"
"Daniel James,wls WAL,FWMF,23,26.3,53,2.02,34,0,4,7,8,0,5,0.19,2,0,1,1,1,0,Matches,c931d9f9"
"Diego Llorente,es ESP,DF,27,26.0,9,0.35,7,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches,bba30585"
"Rodrigo,es ESP,MFFW,30,25.2,79,3.14,63,3,5,3,2,3,4,0.16,2,0,2,0,0,0,Matches,1fb1c435"
"Luke Ayling,eng ENG,DF,29,25.2,32,1.27,23,1,0,7,0,1,5,0.20,1,0,0,3,0,1,Matches,420d7c7d"
"Mateusz Klich,pl POL,MF,31,23.0,78,3.38,64,4,3,4,3,0,8,0.35,7,0,0,1,0,0,Matches,282679b4"
"Pascal Struijk,nl NED,DFMF,21,22.8,21,0.92,18,0,0,2,0,1,1,0.04,0,0,0,1,0,0,Matches,f4d296e4"
"Liam Cooper,sct SCO,DF,29,20.2,13,0.64,11,0,1,1,0,0,2,0.10,1,0,0,1,0,0,Matches,dc64b8b3"
"Junior Firpo,es ESP,DFMF,24,19.0,52,2.73,40,4,2,3,3,0,4,0.21,2,1,1,0,0,0,Matches,24f59bb2"
"Kalvin Phillips,eng ENG,MF,25,17.7,30,1.69,23,3,0,2,0,2,4,0.23,3,1,0,0,0,0,Matches,4f565d77"
"Robin Koch,de GER,MFDF,25,17.5,24,1.37,21,1,0,1,1,0,2,0.11,2,0,0,0,0,0,Matches,ea6bc03a"
"Adam Forshaw,eng ENG,MF,29,17.0,34,2.00,31,0,0,3,0,0,2,0.12,2,0,0,0,0,0,Matches,9f1938ab"
"Tyler Roberts,wls WAL,MFFW,22,11.0,30,2.74,23,1,1,3,2,0,1,0.09,1,0,0,0,0,0,Matches,6c17e046"
"Jamie Shackleton,eng ENG,DFMF,21,7.9,10,1.27,8,1,0,1,0,0,1,0.13,0,0,0,1,0,0,Matches,8d03ca5a"
"Patrick Bamford,eng ENG,FW,27,6.2,13,2.09,9,0,1,2,1,0,3,0.48,2,0,1,0,0,0,Matches,93feac6e"
"Joe Gelhardt,eng ENG,FWMF,19,8.3,26,3.14,16,0,4,1,5,0,6,0.72,2,0,2,0,2,0,Matches,01962d0d"
"Sam Greenwood,eng ENG,MFFW,19,2.6,5,1.91,3,0,0,1,0,1,1,0.38,1,0,0,0,0,0,Matches,f3354c07"
"Lewis Bate,eng ENG,MF,18,1.6,3,1.85,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,cd4256d3"
"Charlie Cresswell,eng ENG,DF,18,1.6,2,1.28,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4654e5f5"
"Cody Drameh,eng ENG,DFMF,19,1.4,2,1.41,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e0d1510a"
"Leo Fuhr Hjelde,no NOR,MFDF,17,1.7,3,1.80,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d102b8a2"
"Crysencio Summerville,nl NED,MFFW,19,1.4,3,2.08,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,df04eb4b"
"Kristoffer Klaesson,no NOR,GK,20,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3f70db80"
"Hélder Costa,ao ANG,MF,27,0.2,1,4.29,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,f13d02a6"
"Liam McCarron,sct SCO,FW,20,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,076bb352"
"Stuart McKinstry,sct SCO,MF,18,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1000a059"
"Squad Total,,,26.1,38.0,823,21.66,586,70,51,60,42,14,66,1.74,36,2,10,10,5,3,,-9999"
