Club,Expenditure,Net
Manchester City,€332.92m,€-197.92m
Manchester United,€318.60m,€-217.92m
Chelsea FC,€292.20m,€-77.78m
Aston Villa,€260.85m,€-255.08m
Tottenham Hotspur,€259.00m,€-181.20m
Arsenal FC,€246.80m,€-174.00m
Wolverhampton Wanderers,€204.29m,€-100.99m
Everton FC,€194.37m,€-102.15m
West Ham United,€174.50m,€-73.61m
Leicester City,€163.70m,€-21.43m
Sheffield United,€133.20m,€-132.85m
Leeds United,€128.09m,€-97.69m
Newcastle United,€111.90m,€-75.99m
Southampton FC,€98.80m,€-45.20m
Liverpool FC,€94.45m,€-32.75m
Brighton & Hove Albion,€90.24m,€-61.14m
Fulham FC,€74.25m,€-45.75m
West Bromwich Albion,€63.64m,€-18.27m
Watford FC,€56.00m,€36.90m
AFC Bournemouth,€54.91m,€73.26m
Crystal Palace,€30.00m,€45.38m
Burnley FC,€24.95m,€-9.10m
Norwich City,€22.10m,€24.10m
