Club,WageBill
Ipswich Town F.C.,£0
Millwall F.C.,£0
Preston North End F.C.,£0
Sheffield Wednesday F.C.,£0
Liverpool F.C.,"£136,754,000"
Leicester City,"£69,165,000"
Norwich City F.C.,"£22,820,000"
Watford,"£30,489,000"
Queens Park Rangers F.C.,£0
Reading F.C.,£0
Stoke City F.C.,"£13,390,000"
Sunderland A.F.C.,£0
Swansea City A.F.C.,£0
Wigan Athletic F.C.,£0
Hull City F.C.,£0
Middlesbrough,£0
Huddersfield Town,"£1,976,000"
Arsenal F.C.,"£93,961,273"
Barnsley F.C.,£0
Aston Villa F.C.,"£57,805,396"
Birmingham City F.C.,£0
Chelsea F.C.,"£175,512,000"
Bolton Wanderers F.C.,£0
Everton F.C.,"£87,275,000"
Bristol City F.C.,£0
Burton Albion F.C.,£0
Cardiff City F.C.,"£6,635,000"
Manchester City F.C.,"£149,344,000"
Derby County F.C.,£0
Manchester United F.C.,"£214,485,000"
Newcastle United F.C.,"£61,096,200"
Southampton F.C.,"£51,134,000"
Tottenham Hotspur F.C.,"£89,769,200"
West Ham United F.C.,"£66,904,000"
Burnley F.C.,"£32,548,000"
Crystal Palace,"£67,362,000"
Brighton & Hove Albion,"£38,907,333"
Leeds United F.C.,"£29,816,800"
Wolverhampton Wanderers F.C.,"£48,213,600"
Brentford F.C.,"£15,654,600"
