Club,Expenditure,Net
Manchester United,€317.50m,€-205.77m
Chelsea FC,€253.80m,€-13.28m
Arsenal FC,€240.95m,€-178.20m
Manchester City,€238.11m,€-109.51m
Wolverhampton Wanderers,€229.45m,€-182.05m
Everton FC,€220.80m,€-104.35m
West Ham United,€220.70m,€-151.46m
Leicester City,€218.90m,€-34.60m
Liverpool FC,€192.60m,€-106.78m
Aston Villa,€178.60m,€-159.45m
Fulham FC,€153.50m,€-119.65m
Brighton & Hove Albion,€148.86m,€-126.74m
Tottenham Hotspur,€148.50m,€-78.65m
AFC Bournemouth,€146.51m,€-91.69m
Newcastle United,€132.65m,€-45.96m
Southampton FC,€123.75m,€-70.35m
Watford FC,€86.10m,€-8.86m
Sheffield United,€77.20m,€-64.45m
Huddersfield Town,€63.70m,€-22.27m
Cardiff City,€58.22m,€-38.42m
Burnley FC,€56.85m,€-35.30m
Crystal Palace,€19.45m,€36.28m
Norwich City,€14.27m,€25.54m
