Club,Expenditure,Net
Chelsea FC,€729.49m,€-537.06m
Manchester United,€385.28m,€-341.33m
Arsenal FC,€359.76m,€-304.56m
Newcastle United,€315.85m,€-313.55m
Manchester City,€289.40m,€-35.70m
Tottenham Hotspur,€273.80m,€-200.43m
West Ham United,€268.50m,€-242.72m
Aston Villa,€229.94m,€-48.94m
Liverpool FC,€224.30m,€-114.05m
Wolverhampton Wanderers,€214.71m,€-122.54m
Leeds United,€204.49m,€-90.99m
Nottingham Forest,€191.24m,€-183.37m
Southampton FC,€186.75m,€-120.90m
Crystal Palace,€132.22m,€-126.76m
Brighton & Hove Albion,€130.73m,€85.67m
Everton FC,€117.70m,€31.90m
Leicester City,€115.60m,€-30.20m
AFC Bournemouth,€95.74m,€-68.84m
Fulham FC,€92.50m,€-66.10m
Brentford FC,€88.20m,€-83.60m
Burnley FC,€87.60m,€29.36m
Norwich City,€77.95m,€-37.19m
Watford FC,€62.06m,€11.12m
