Club,WageBill
Wigan Athletic F.C.,"£416,000"
Burnley F.C.,"£36,556,000"
Chelsea F.C.,"£118,026,000"
Arsenal F.C.,"£122,983,273"
AFC Bournemouth,"£43,743,000"
Crystal Palace,"£65,772,200"
Everton F.C.,"£79,092,000"
Watford,"£44,594,000"
West Ham United F.C.,"£75,400,000"
Leicester City,"£59,644,000"
Manchester City F.C.,"£126,490,000"
Manchester United F.C.,"£147,160,000"
Newcastle United F.C.,"£46,176,000"
Southampton F.C.,"£64,490,400"
Stoke City F.C.,"£52,260,000"
Swansea City A.F.C.,"£42,640,000"
Tottenham Hotspur F.C.,"£78,988,000"
West Bromwich Albion F.C.,"£57,824,000"
Brighton & Hove Albion,"£38,558,000"
Huddersfield Town,"£29,718,000"
Liverpool F.C.,"£86,824,000"
