Date,Round,Result,Venue,GF,GA,xG,xGA,xPTeam,xPOpp,ActualPoints
2017-08-13,Matchweek 1,L,Home,0,2,0.8,2.5,0.4530809741285605,2.3866575572296465,0
2017-08-20,Matchweek 2,L,Away,0,1,0.7,0.3,1.675455547758702,0.875258389822625,0
2017-08-26,Matchweek 3,W,Home,3,0,2.3,0.6,2.4343863687734935,0.40215389922937,3
2017-09-10,Matchweek 4,W,Away,1,0,1.0,1.2,1.2045604760855038,1.506028242522871,3
2017-09-16,Matchweek 5,W,Home,2,1,2.0,0.7,2.237680603201754,0.5617860628883142,3
2017-09-24,Matchweek 6,L,Away,0,1,1.5,1.0,1.7236012168052943,1.0164648259893678,0
2017-10-01,Matchweek 7,D,Home,1,1,0.3,1.3,0.5423865669062643,2.168931836040158,1
2017-10-15,Matchweek 8,D,Away,2,2,1.2,1.5,1.1659563491001617,1.5791290898769106,1
2017-10-21,Matchweek 9,W,Home,1,0,0.3,0.5,1.02533675494884,1.4553649285746264,3
2017-10-30,Matchweek 10,L,Away,0,1,0.5,0.9,0.957002759470759,1.6723041573182487,0
2017-11-04,Matchweek 11,L,Home,0,1,0.7,1.5,0.7829079279309492,1.955515141315509,0
2017-11-18,Matchweek 12,L,Away,1,4,1.1,3.1,0.43164308300365434,2.4240111590434488,0
2017-11-25,Matchweek 13,L,Home,0,3,0.9,2.0,0.693307699924367,2.0973521965515034,0
2017-11-28,Matchweek 14,D,Away,2,2,0.9,1.5,0.9397044008529708,1.79893793582267,1
2017-12-02,Matchweek 15,L,Away,1,3,0.6,3.2,0.21072476323474088,2.681224368047382,0
2017-12-09,Matchweek 16,L,Home,2,3,0.9,0.5,1.6723041573182487,0.957002759470759,0
2017-12-13,Matchweek 17,L,Home,0,1,0.8,1.2,1.0382033576502216,1.661809688461536,0
2017-12-16,Matchweek 18,L,Away,0,1,0.3,1.8,0.36258459319180913,2.439022101486305,0
2017-12-23,Matchweek 19,W,Away,3,2,1.7,2.1,1.1594892917734558,1.6301917249579605,3
2017-12-27,Matchweek 20,L,Home,0,1,0.2,1.8,0.29510295141384635,2.515947567964925,0
2017-12-30,Matchweek 21,D,Home,0,0,0.5,0.5,1.2671201858967085,1.2671201858967085,1
2018-01-01,Matchweek 22,W,Away,1,0,1.7,1.5,1.5112352995463838,1.255401548043248,3
2018-01-13,Matchweek 23,D,Home,1,1,1.4,1.3,1.4401517781703244,1.3019670057394634,1
2018-01-20,Matchweek 24,L,Away,1,3,1.0,2.1,0.7156212382019526,2.0807986946181183,0
2018-01-31,Matchweek 25,D,Home,1,1,2.2,1.0,2.130891943007365,0.6740652583333504,1
2018-02-04,Matchweek 26,D,Away,1,1,0.9,3.0,0.368105624862457,2.4955454554119036,1
2018-02-11,Matchweek 27,W,Home,1,0,0.5,1.9,0.4657112346533864,2.334136346870832,3
2018-02-24,Matchweek 28,D,Away,2,2,3.0,1.7,2.073292786614371,0.7537417981716378,1
2018-03-03,Matchweek 29,L,Away,0,2,0.3,1.5,0.4618760781529138,2.289558674962709,0
2018-03-10,Matchweek 30,W,Home,3,0,1.3,0.3,2.168931836040158,0.5423865669062643,3
2018-03-31,Matchweek 32,W,Home,1,0,2.4,0.1,2.76233662730088,0.13207801763783628,3
2018-04-07,Matchweek 33,W,Away,2,1,0.4,1.4,0.5853215090370811,2.142968694931986,3
2018-04-15,Matchweek 34,W,Home,2,1,0.8,1.2,1.0382033576502216,1.661809688461536,3
2018-04-23,Matchweek 35,L,Away,0,1,0.8,0.7,1.4045694051678421,1.2287259787799998,0
2018-04-28,Matchweek 36,L,Home,0,1,1.8,0.7,2.1345153743292338,0.6421245030791218,0
2018-05-05,Matchweek 37,L,Away,1,2,0.7,2.5,0.4002699079637183,2.446223674950319,0
2018-05-09,Matchweek 31,L,Away,0,1,1.0,0.8,1.5004089065568402,1.1731290455159207,0
2018-05-13,Matchweek 38,W,Home,3,0,2.2,1.0,2.130891943007365,0.6740652583333504,3
