"Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999"
"Mathias Jørgensen,dk DEN,DF,27,38.0,6,0,0,45,9,2,0,76,36,0,1,0,166,87,82,51.5,Matches,0db5d2c8"
"Jonas Lössl,dk DEN,GK,28,38.0,1,0,0,0,6,0,0,4,0,0,0,1,72,14,4,77.8,Matches,939bc634"
"Christopher Schindler,de GER,DF,27,36.3,7,2,1,30,21,1,4,75,61,0,0,0,156,152,92,62.3,Matches,8ae9869d"
"Aaron Mooy,au AUS,MF,26,34.1,4,0,0,26,16,2,185,38,60,0,0,0,266,32,38,45.7,Matches,47b7e3af"
"Jonathan Hogg,eng ENG,MF,28,26.6,9,2,1,32,30,0,3,69,64,0,0,0,209,33,30,52.4,Matches,9306d5ea"
"Tom Ince,eng ENG,MFFW,25,27.2,0,0,0,22,36,10,59,12,27,0,0,0,136,16,43,27.1,Matches,67d23ab0"
"Rajiv van La Parra,nl NED,FWMF,26,23.7,3,1,0,29,47,3,84,21,29,0,0,0,152,12,28,30.0,Matches,1931bde9"
"Tommy Smith,eng ENG,DF,25,21.2,7,0,0,20,18,3,64,26,27,0,1,0,109,18,15,54.5,Matches,e9208654"
"Steve Mounié,bj BEN,FW,22,20.6,2,0,0,28,16,23,9,7,8,0,0,0,63,143,131,52.2,Matches,19ba6c6d"
"Florent Hadergjonaj,xk KVX,DFMF,23,18.6,3,0,0,17,11,4,98,17,16,0,0,0,94,13,22,37.1,Matches,9aa186b2"
"Chris Löwe,de GER,DF,28,17.6,1,0,0,13,8,0,73,34,29,0,1,0,74,12,12,50.0,Matches,c6896eab"
"Laurent Depoitre,be BEL,FW,28,20.2,1,0,0,28,16,6,3,11,8,1,0,0,65,126,142,47.0,Matches,aa5859cb"
"Elias Kachunga,cd COD,FWMF,25,14.8,1,0,0,20,32,5,24,2,26,0,0,0,79,17,35,32.7,Matches,5bddccc9"
"Collin Quaner,de GER,FWMF,26,14.2,4,0,0,14,26,3,22,11,15,0,0,0,91,14,25,35.9,Matches,19b8b0b9"
"Scott Malone,eng ENG,DF,26,12.4,3,0,0,19,9,0,46,26,29,0,1,0,89,13,13,50.0,Matches,f15a50e8"
"Alex Pritchard,eng ENG,MFFW,24,11.1,1,0,0,5,23,1,48,5,8,1,0,0,69,2,19,9.5,Matches,ff9fcd4d"
"Danny Williams,us USA,MF,28,12.5,2,0,0,17,16,2,8,26,14,0,0,0,84,9,19,32.1,Matches,ec9a28ce"
"Terence Kongolo,nl NED,DF,23,11.7,0,0,0,5,10,0,10,32,20,0,0,0,50,27,13,67.5,Matches,1f9a3a04"
"Philip Billing,dk DEN,MF,21,8.5,3,0,0,14,6,1,12,18,16,0,1,0,73,25,12,67.6,Matches,d328a254"
"Joe Lolley,eng ENG,FWMF,24,2.5,1,0,0,3,2,0,8,3,0,0,0,0,13,3,4,42.9,Matches,c5f13182"
"Abdelhamid Sabiri,ma MAR,MF,20,2.4,1,0,0,4,4,1,1,1,4,0,0,0,8,14,12,53.8,Matches,4830e0af"
"Martin Cranie,eng ENG,DF,30,2.0,0,0,0,0,0,0,0,1,2,0,0,0,9,2,2,50.0,Matches,9e53837d"
"Kasey Palmer,jm JAM,MFFW,20,1.9,2,0,0,4,1,0,4,0,3,0,0,0,8,2,7,22.2,Matches,453f566a"
"Dean Whitehead,eng ENG,MF,35,0.8,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,100.0,Matches,a32204c9"
"Michael Hefele,de GER,DF,26,0.4,1,0,0,2,0,0,0,1,0,0,1,0,1,1,0,100.0,Matches,91bdc54a"
"Squad Total,,,26.4,38.0,,,2,397,363,67,765,518,502,2,6,1,2141,788,800,49.6,,-9999"
