"Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999"
"Mathias Jørgensen,dk DEN,DF,27,38.0,1206,1576,76.5,23654,9558,407,472,86.2,607,725,83.7,162,317,51.1,2,0.9,1.1,+1.1,9,95,2,0,95,Matches,0db5d2c8"
"Jonas Lössl,dk DEN,GK,28,38.0,825,1390,59.4,32620,27387,40,40,100.0,285,288,99.0,500,1058,47.3,1,0.6,0.1,+0.4,3,50,2,0,2,Matches,939bc634"
"Christopher Schindler,de GER,DF,27,36.3,1133,1401,80.9,22466,7583,363,416,87.3,622,714,87.1,137,237,57.8,1,2.3,1.1,-1.3,9,54,0,0,55,Matches,8ae9869d"
"Aaron Mooy,au AUS,MF,26,34.1,1553,2098,74.0,25274,7426,788,921,85.6,509,657,77.5,162,337,48.1,3,4.0,4.0,-1.0,50,203,28,9,141,Matches,47b7e3af"
"Jonathan Hogg,eng ENG,MF,28,26.6,1206,1423,84.8,20877,5948,530,596,88.9,534,598,89.3,105,154,68.2,0,0.4,0.9,-0.4,9,110,8,1,96,Matches,9306d5ea"
"Tom Ince,eng ENG,MFFW,25,27.2,572,763,75.0,8640,1728,317,361,87.8,198,235,84.3,34,96,35.4,0,1.4,1.2,-1.4,18,27,14,7,28,Matches,67d23ab0"
"Rajiv van La Parra,nl NED,FWMF,26,23.7,517,725,71.3,7433,1525,298,362,82.3,169,232,72.8,24,55,43.6,0,0.9,1.2,-0.9,14,20,15,6,43,Matches,1931bde9"
"Tommy Smith,eng ENG,DF,25,21.2,773,1118,69.1,12945,4931,374,431,86.8,315,445,70.8,70,189,37.0,1,1.8,1.8,-0.8,15,45,19,12,37,Matches,e9208654"
"Steve Mounié,bj BEN,FW,22,20.6,325,536,60.6,4180,756,205,309,66.3,76,147,51.7,13,18,72.2,1,1.8,0.7,-0.8,17,22,5,0,21,Matches,19ba6c6d"
"Florent Hadergjonaj,xk KVX,DFMF,23,18.6,595,927,64.2,10632,4759,283,335,84.5,224,352,63.6,75,191,39.3,1,1.5,1.4,-0.5,26,41,28,20,58,Matches,9aa186b2"
"Chris Löwe,de GER,DF,28,17.6,601,868,69.2,10650,4207,274,316,86.7,249,341,73.0,67,161,41.6,0,0.4,0.5,-0.4,5,46,8,5,35,Matches,c6896eab"
"Laurent Depoitre,be BEL,FW,28,20.2,275,486,56.6,3620,526,146,247,59.1,85,150,56.7,11,17,64.7,1,1.4,0.4,-0.4,14,20,0,0,16,Matches,aa5859cb"
"Elias Kachunga,cd COD,FWMF,25,14.8,231,368,62.8,2834,483,163,212,76.9,54,89,60.7,5,17,29.4,1,0.6,0.5,+0.4,10,6,6,1,12,Matches,5bddccc9"
"Collin Quaner,de GER,FWMF,26,14.2,319,449,71.0,4115,1105,202,261,77.4,89,122,73.0,5,22,22.7,4,2.5,1.5,+1.5,17,26,7,3,25,Matches,19b8b0b9"
"Scott Malone,eng ENG,DF,26,12.4,492,708,69.5,8982,3413,209,257,81.3,211,284,74.3,60,120,50.0,1,0.5,0.5,+0.5,10,32,10,3,46,Matches,f15a50e8"
"Alex Pritchard,eng ENG,MFFW,24,11.1,259,393,65.9,4251,1189,142,173,82.1,77,116,66.4,27,65,41.5,1,1.9,1.2,-0.9,20,26,12,3,32,Matches,ff9fcd4d"
"Danny Williams,us USA,MF,28,12.5,322,426,75.6,5595,1143,140,156,89.7,143,183,78.1,29,58,50.0,0,0.2,0.4,-0.2,4,29,4,2,11,Matches,ec9a28ce"
"Terence Kongolo,nl NED,DF,23,11.7,263,390,67.4,4459,2277,128,157,81.5,110,154,71.4,17,51,33.3,0,0.1,0.3,-0.1,3,32,3,2,26,Matches,1f9a3a04"
"Philip Billing,dk DEN,MF,21,8.5,285,394,72.3,4747,1279,142,168,84.5,107,140,76.4,25,62,40.3,0,0.5,0.4,-0.5,2,22,4,2,18,Matches,d328a254"
"Joe Lolley,eng ENG,FWMF,24,2.5,52,73,71.2,805,267,28,35,80.0,21,28,75.0,1,7,14.3,0,0.1,0.1,-0.1,1,9,1,1,6,Matches,c5f13182"
"Abdelhamid Sabiri,ma MAR,MF,20,2.4,66,100,66.0,907,230,40,58,69.0,17,25,68.0,4,9,44.4,1,0.1,0.1,+0.9,3,9,2,0,7,Matches,4830e0af"
"Martin Cranie,eng ENG,DF,30,2.0,72,91,79.1,1561,536,16,19,84.2,45,51,88.2,11,20,55.0,0,0.0,0.0,0.0,0,5,0,0,2,Matches,9e53837d"
"Kasey Palmer,jm JAM,MFFW,20,1.9,43,58,74.1,650,193,27,32,84.4,13,18,72.2,2,5,40.0,0,0.1,0.3,-0.1,1,4,2,0,4,Matches,453f566a"
"Dean Whitehead,eng ENG,MF,35,0.8,43,51,84.3,808,221,15,17,88.2,25,30,83.3,3,4,75.0,0,0.0,0.0,0.0,0,3,0,0,0,Matches,a32204c9"
"Michael Hefele,de GER,DF,26,0.4,8,10,80.0,116,30,6,6,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,91bdc54a"
"Squad Total,,,26.4,38.0,12036,16822,71.5,222821,88700,5283,6357,83.1,4787,6127,78.1,1549,3270,47.4,19,23.7,19.8,-4.7,260,937,180,77,816,,-9999"
