"Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999"
"Billy Sharp,eng ENG,FW,33,25,10,1051,11.7,3,2,3,0,0,1,1,0.26,0.17,0.43,0.26,0.43,3.8,3.8,2.3,6.1,0.33,0.19,0.52,0.33,0.52,Matches,e8c9f4e9"
"Callum Robinson,ie IRL,FWMF,24,16,9,676,7.5,1,1,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,1.6,1.6,0.4,2.0,0.21,0.05,0.26,0.21,0.26,Matches,e75750a3"
"Ben Osborn,eng ENG,MFDF,24,13,6,594,6.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.1,0.04,0.13,0.17,0.04,0.17,Matches,79bc4c45"
"Jack Robinson,eng ENG,DF,25,6,6,504,5.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.03,0.03,0.00,0.03,Matches,7399c7a8"
"Luke Freeman,eng ENG,MF,27,11,3,366,4.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.02,0.04,0.06,0.02,0.06,Matches,636b64cd"
"Muhamed Bešić,ba BIH,MF,26,9,2,250,2.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.06,0.03,0.08,0.06,0.08,Matches,7ca9f0f0"
"Phil Jagielka,eng ENG,DF,36,6,2,244,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3233eefd"
"Simon Moore,eng ENG,GK,29,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e7434f04"
"Richairo Živković,nl NED,FW,22,5,0,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.06,0.08,0.14,0.06,0.14,Matches,d2d74d9c"
"Leon Clarke,eng ENG,FWMF,34,2,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,1.19,0.00,1.19,1.19,1.19,Matches,91c975a0"
"Jack Rodwell,eng ENG,MF,28,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a07579ee"
"Ravel Morrison,jm JAM,MF,26,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.34,0.00,0.34,0.34,0.34,Matches,bf59c794"
"Kieron Freeman,wls WAL,FW,27,2,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c13c24c8"
