"Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999"
"Aaron Ramsdale,eng ENG,GK,22,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,466fb2c5"
"George Baldock,gr GRE,DF,27,32,32,2787,31.0,0,2,0,0,0,7,0,0.00,0.06,0.06,0.00,0.06,1.2,1.2,2.9,4.0,0.04,0.09,0.13,0.04,0.13,Matches,394854c4"
"Chris Basham,eng ENG,DFMF,32,31,31,2576,28.6,0,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,0.7,0.7,0.9,1.6,0.03,0.03,0.06,0.03,0.06,Matches,1aa84968"
"Enda Stevens,ie IRL,DF,30,30,30,2700,30.0,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,1.3,1.3,1.6,2.9,0.04,0.05,0.10,0.04,0.10,Matches,17d4507a"
"John Egan,ie IRL,DF,27,31,30,2629,29.2,0,1,0,0,0,7,1,0.00,0.03,0.03,0.00,0.03,0.8,0.8,0.6,1.4,0.03,0.02,0.05,0.03,0.05,Matches,debe38a0"
"John Fleck,sct SCO,MF,28,31,29,2575,28.6,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,2.9,3.5,0.02,0.10,0.12,0.02,0.12,Matches,b63e789d"
"David McGoldrick,ie IRL,FWMF,32,35,28,2397,26.6,8,1,8,0,0,7,0,0.30,0.04,0.34,0.30,0.34,6.9,6.9,1.1,8.0,0.26,0.04,0.30,0.26,0.30,Matches,dbe56a33"
"Oliver Norwood,nir NIR,MF,29,32,26,2220,24.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,2.0,2.4,0.02,0.08,0.10,0.02,0.10,Matches,43439614"
"Ethan Ampadu,wls WAL,DFMF,19,25,23,2089,23.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.2,1.5,0.01,0.05,0.07,0.01,0.07,Matches,10b9fa99"
"John Lundstram,eng ENG,MF,26,28,23,2032,22.6,0,2,0,0,1,8,1,0.00,0.09,0.09,0.00,0.09,1.9,1.1,1.3,2.4,0.08,0.06,0.14,0.05,0.11,Matches,0df2b165"
"Ben Osborn,eng ENG,MFDF,25,24,17,1604,17.8,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,1.1,1.1,2.0,3.2,0.06,0.12,0.18,0.06,0.18,Matches,79bc4c45"
"Oliver Burke,sct SCO,FW,23,25,14,1269,14.1,1,1,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,2.1,2.1,2.2,4.3,0.15,0.16,0.31,0.15,0.31,Matches,f631c17f"
"Sander Berge,no NOR,MF,22,15,13,1120,12.4,1,1,0,1,1,4,0,0.08,0.08,0.16,0.00,0.08,1.2,0.4,1.1,1.6,0.10,0.09,0.19,0.04,0.13,Matches,d0b6129f"
"Oliver McBurnie,sct SCO,FW,24,23,12,1324,14.7,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,3.9,3.9,1.1,5.0,0.26,0.07,0.34,0.26,0.34,Matches,78b8ac63"
"Rhian Brewster,eng ENG,FWMF,20,27,12,1128,12.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,1.6,3.4,0.14,0.13,0.27,0.14,0.27,Matches,30e81a88"
"Jayden Bogle,eng ENG,DFMF,20,16,12,1110,12.3,2,0,2,0,0,2,0,0.16,0.00,0.16,0.16,0.16,1.9,1.9,0.2,2.2,0.16,0.02,0.17,0.16,0.17,Matches,ae5019e6"
"Kean Bryan,eng ENG,DF,23,13,12,1004,11.2,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.9,0.9,0.6,1.5,0.08,0.05,0.14,0.08,0.14,Matches,c684d3c9"
"Jack Robinson,eng ENG,DF,26,11,9,877,9.7,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.7,0.7,0.6,1.3,0.07,0.06,0.13,0.07,0.13,Matches,7399c7a8"
"Billy Sharp,eng ENG,FW,34,16,7,735,8.2,3,0,1,2,2,1,0,0.37,0.00,0.37,0.12,0.12,3.0,1.5,0.5,2.0,0.37,0.07,0.44,0.18,0.24,Matches,e8c9f4e9"
"Max Lowe,eng ENG,DF,23,8,7,550,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches,7af88b33"
"Phil Jagielka,eng ENG,DF,37,10,6,526,5.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3233eefd"
"Daniel Jebbison,eng ENG,FW,17,4,3,284,3.2,1,0,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,1.1,1.1,0.0,1.2,0.36,0.01,0.37,0.36,0.37,Matches,03edb878"
"Lys Mousset,fr FRA,FWMF,24,11,2,296,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.3,0.29,0.10,0.39,0.29,0.39,Matches,d9cfca3d"
"Jack O'Connell,eng ENG,DF,26,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,312626c1"
"Iliman Ndiaye,sn SEN,MF,20,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5ed97752"
"Antwoine Hackford,eng ENG,DF,16,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.84,0.00,0.84,0.84,0.84,Matches,a7588cdc"
"Femi Seriki,eng ENG,MF,18,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e4e0deaa"
