Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per90Gls,Per90Ast,Per90G+A,Per90G-PK,Per90G+A-PK,xG,npxG,xA,npxG+xAG,Per90xG,Per90xA,Per90xG+xA,Per90npxG,Per90npxG+xAG
Illan Meslier,fr FRA,GK,21,38,38,3384,37.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Stuart Dallas,nir NIR,DFMF,30,34,34,2919,32.4,1,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,2.0,2.0,2.1,4.0,0.06,0.06,0.12,0.06,0.12
Raphinha,br BRA,FWMF,24,35,34,2915,32.4,11,3,7,4,4,7,0,0.34,0.09,0.43,0.22,0.31,11.3,8.2,6.8,15.0,0.35,0.21,0.56,0.25,0.46
Jack Harrison,eng ENG,FWMF,24,35,32,2639,29.3,8,1,8,0,0,3,0,0.27,0.03,0.31,0.27,0.31,4.0,4.0,2.6,6.6,0.14,0.09,0.23,0.14,0.23
Daniel James,wls WAL,FWMF,23,32,29,2366,26.3,4,4,4,0,0,7,1,0.15,0.15,0.30,0.15,0.30,5.4,5.4,2.4,7.9,0.21,0.09,0.30,0.21,0.30
Diego Llorente,es ESP,DF,27,28,28,2340,26.0,3,0,3,0,0,7,0,0.12,0.00,0.12,0.12,0.12,1.4,1.4,0.1,1.4,0.05,0.00,0.06,0.05,0.06
Rodrigo,es ESP,MFFW,30,31,27,2265,25.2,6,1,5,1,1,9,0,0.24,0.04,0.28,0.20,0.24,4.9,4.1,4.6,8.8,0.19,0.18,0.38,0.16,0.35
Luke Ayling,eng ENG,DF,29,26,26,2272,25.2,2,2,2,0,0,4,1,0.08,0.08,0.16,0.08,0.16,1.7,1.7,0.8,2.5,0.07,0.03,0.10,0.07,0.10
Mateusz Klich,pl POL,MF,31,33,26,2073,23.0,1,2,1,0,0,5,0,0.04,0.09,0.13,0.04,0.13,2.8,2.8,2.2,4.9,0.12,0.09,0.21,0.12,0.21
Pascal Struijk,nl NED,DF,21,29,22,2055,22.8,1,0,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,1.3,1.3,0.3,1.6,0.06,0.01,0.07,0.06,0.07
Liam Cooper,sct SCO,DF,29,21,21,1814,20.2,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.1,0.4,0.02,0.00,0.02,0.02,0.02
Junior Firpo,es ESP,DF,24,24,19,1711,19.0,0,2,0,0,0,11,0,0.00,0.11,0.11,0.00,0.11,0.9,0.9,2.6,3.5,0.05,0.13,0.18,0.05,0.18
