Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per90Gls,Per90Ast,Per90G+A,Per90G-PK,Per90G+A-PK,xG,npxG,xA,npxG+xAG,Per90xG,Per90xA,Per90xG+xA,Per90npxG,Per90npxG+xAG
Patrick Cutrone,it ITA,FW,21,12,3,297,3.3,2,0,2,0,0,0,0,0.61,0.00,0.61,0.61,0.61,2.2,2.2,0.3,2.5,0.68,0.08,0.76,0.68,0.76
Daniel Podence,pt POR,FWMF,23,9,3,289,3.2,1,0,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,1.2,1.2,0.7,1.9,0.39,0.21,0.60,0.39,0.60
Max Kilman,eng ENG,DF,22,3,2,185,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Jesús Vallejo,es ESP,DF,22,2,1,163,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Morgan Gibbs-White,eng ENG,MFFW,19,7,1,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.06,0.07,0.13,0.06,0.13
Bruno Jordão,pt POR,FW,20,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.82,0.82,0.00,0.82
Bernard Ashley-Seal,eng ENG,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
Oskar Buur,dk DEN,DFMF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,
Leonardo Campana,ec ECU,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,
Luke Cundle,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,
Ryan John Giles,eng ENG,DFMF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,
Owen Otasowie,us USA,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,
Taylor Perry,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,
John Ruddy,eng ENG,GK,32,0,0,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,26.6,38,418,3420,38.0,49,34,45,4,4,61,2,1.29,0.89,2.18,1.18,2.08,54.1,51.0,37.5,88.5,1.42,0.99,2.41,1.34,2.33
Opponent Total,,,26.5,38,418,3420,38.0,39,28,38,1,3,85,5,1.03,0.74,1.76,1.00,1.74,38.0,35.5,26.1,61.6,1.00,0.69,1.69,0.94,1.62
