Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per90Gls,Per90Ast,Per90G+A,Per90G-PK,Per90G+A-PK,xG,npxG,xA,npxG+xAG,Per90xG,Per90xA,Per90xG+xA,Per90npxG,Per90npxG+xAG
Lewis Dunk,eng ENG,DF,26,36,36,3151,35.0,2,1,2,0,0,6,1,0.06,0.03,0.09,0.06,0.09,1.8,1.8,0.8,2.6,0.05,0.02,0.07,0.05,0.07
Shane Duffy,ie IRL,DF,26,35,35,3087,34.3,5,1,5,0,0,4,1,0.15,0.03,0.17,0.15,0.17,3.1,3.1,0.3,3.4,0.09,0.01,0.10,0.09,0.10
Mathew Ryan,au AUS,GK,26,34,34,3060,34.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Davy PrÃ¶pper,nl NED,MF,26,30,30,2546,28.3,1,1,1,0,0,2,0,0.04,0.04,0.07,0.04,0.07,0.9,0.9,1.3,2.1,0.03,0.05,0.08,0.03,0.08
Glenn Murray,eng ENG,FW,34,38,30,2508,27.9,13,1,9,4,4,5,0,0.47,0.04,0.50,0.32,0.36,11.4,8.1,1.3,9.4,0.41,0.05,0.46,0.29,0.34
Solly March,eng ENG,FWMF,24,35,30,2463,27.4,1,5,1,0,0,1,0,0.04,0.18,0.22,0.04,0.22,2.5,2.5,4.3,6.8,0.09,0.16,0.25,0.09,0.25
Dale Stephens,eng ENG,MF,29,30,29,2485,27.6,1,1,1,0,0,6,1,0.04,0.04,0.07,0.04,0.07,0.3,0.3,0.7,1.0,0.01,0.02,0.04,0.01,0.04
MartÃ­n Montoya,es ESP,DF,27,25,24,2167,24.1,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,0.2,0.2,1.2,1.4,0.01,0.05,0.06,0.01,0.06
Pascal GroÃ,de GER,MFFW,27,25,24,1864,20.7,3,3,2,1,2,1,0,0.14,0.14,0.29,0.10,0.24,4.4,2.8,5.5,8.4,0.21,0.27,0.48,0.14,0.40
GaÃ«tan Bong,cm CMR,DF,30,22,19,1808,20.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.00,0.02,0.03,0.00,0.03
Bernardo,br BRA,DF,23,22,19,1752,19.5,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,0.6,1.1,0.02,0.03,0.05,0.02,0.05
Anthony Knockaert,fr FRA,MFFW,26,30,18,1837,20.4,2,6,2,0,0,4,1,0.10,0.29,0.39,0.10,0.39,2.1,2.1,3.6,5.7,0.10,0.18,0.28,0.10,0.28
Yves Bissouma,ml MLI,MF,21,28,17,1774,19.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,1.0,2.8,0.09,0.05,0.14,0.09,0.14
Bruno,es ESP,DF,37,14,14,1131,12.6,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.6,0.7,0.01,0.05,0.06,0.01,0.06
JÃ¼rgen Locadia,nl NED,FWMF,24,26,12,1236,13.7,2,0,2,0,0,1,0,0.15,0.00,0.15,0.15,0.15,2.7,2.7,1.0,3.7,0.20,0.07,0.27,0.20,0.27
Alireza Jahanbakhsh,ir IRN,FWMF,24,19,12,1020,11.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.07,0.02,0.09,0.07,0.09
Beram Kayal,il ISR,MF,30,18,9,940,10.4,1,1,1,0,0,4,0,0.10,0.10,0.19,0.10,0.19,0.4,0.4,1.1,1.5,0.04,0.11,0.14,0.04,0.14
JosÃ© Izquierdo,co COL,MFFW,26,15,9,795,8.8,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.6,0.6,0.4,1.0,0.06,0.05,0.11,0.06,0.11
Florin Andone,ro ROU,FW,25,23,8,881,9.8,3,0,3,0,0,5,0,0.31,0.00,0.31,0.31,0.31,2.5,2.5,0.1,2.6,0.25,0.01,0.26,0.25,0.26
Leon Balogun,ng NGA,DF,30,8,5,594,6.6,1,0,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01
David Button,eng ENG,GK,29,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Dan Burn,eng ENG,DF,26,0,0,,,,,,,,,,,,,,,,,,,,,,,
Viktor GyÃ¶keres,se SWE,FWMF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jayson Molumby,ie IRL,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,
Max Sanders,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jason Steele,eng ENG,GK,27,0,0,,,,,,,,,,,,,,,,,,,,,,,
Markus Suttner,at AUT,DFGK,31,0,0,,,,,,,,,,,,,,,,,,,,,,,
Ben White,eng ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
Squad Total,,,27.4,38,418,3420,38.0,35,24,30,5,6,61,4,0.92,0.63,1.55,0.79,1.42,35.3,30.7,24.5,55.2,0.93,0.64,1.57,0.81,1.45
Opponent Total,,,26.8,38,418,3420,38.0,60,39,50,10,10,52,2,1.58,1.03,2.61,1.32,2.34,59.1,51.4,38.7,90.1,1.56,1.02,2.58,1.35,2.37
