Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per90Gls,Per90Ast,Per90G+A,Per90G-PK,Per90G+A-PK,xG,npxG,xA,npxG+xAG,Per90xG,Per90xA,Per90xG+xA,Per90npxG,Per90npxG+xAG
Mathias JÃ¸rgensen,dk DEN,DF,27,38,38,3420,38.0,0,2,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,1.9,1.9,0.9,2.9,0.05,0.02,0.08,0.05,0.08
Jonas LÃ¶ssl,dk DEN,GK,28,38,38,3420,38.0,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.6,0.6,0.00,0.02,0.02,0.00,0.02
Christopher Schindler,de GER,DF,27,37,37,3265,36.3,0,1,0,0,0,7,2,0.00,0.03,0.03,0.00,0.03,1.1,1.1,2.3,3.4,0.03,0.06,0.09,0.03,0.09
Aaron Mooy,au AUS,MF,26,36,34,3067,34.1,4,3,3,1,1,4,0,0.12,0.09,0.21,0.09,0.18,3.0,2.2,4.0,6.2,0.09,0.12,0.20,0.06,0.18
Jonathan Hogg,eng ENG,MF,28,30,29,2398,26.6,0,0,0,0,0,9,2,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.9,0.02,0.02,0.03,0.02,0.03
Tom Ince,eng ENG,MFFW,25,33,27,2452,27.2,2,0,2,0,0,0,0,0.07,0.00,0.07,0.07,0.07,6.4,6.4,1.4,7.8,0.24,0.05,0.29,0.24,0.29
Rajiv van La Parra,nl NED,FWMF,26,33,26,2137,23.7,3,0,2,1,1,3,1,0.13,0.00,0.13,0.08,0.08,3.1,2.3,0.9,3.2,0.13,0.04,0.17,0.10,0.13
Tommy Smith,eng ENG,DF,25,24,21,1904,21.2,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,1.8,2.0,0.01,0.09,0.09,0.01,0.09
Steve MouniÃ©,bj BEN,FW,22,28,21,1855,20.6,7,1,7,0,0,2,0,0.34,0.05,0.39,0.34,0.39,5.2,5.2,1.8,7.0,0.25,0.09,0.34,0.25,0.34
Florent Hadergjonaj,xk KVX,DFMF,23,23,19,1674,18.6,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,1.5,1.7,0.01,0.08,0.09,0.01,0.09
Chris LÃ¶we,de GER,DF,28,23,19,1588,17.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,0.02,0.02,0.04,0.02,0.04
Laurent Depoitre,be BEL,FW,28,33,18,1820,20.2,6,1,6,0,0,1,0,0.30,0.05,0.35,0.30,0.35,3.7,3.7,1.4,5.1,0.18,0.07,0.25,0.18,0.25
Elias Kachunga,cd COD,FWMF,25,19,17,1329,14.8,1,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,1.9,1.9,0.6,2.6,0.13,0.04,0.17,0.13,0.17
Collin Quaner,de GER,FWMF,26,26,13,1280,14.2,0,4,0,0,0,4,0,0.00,0.28,0.28,0.00,0.28,1.4,1.4,2.5,3.9,0.10,0.18,0.28,0.10,0.28
Scott Malone,eng ENG,DF,26,22,12,1119,12.4,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,0.5,1.0,0.04,0.04,0.08,0.04,0.08
Alex Pritchard,eng ENG,MFFW,24,14,12,998,11.1,1,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,1.2,1.2,1.9,3.1,0.11,0.17,0.28,0.11,0.28
Danny Williams,us USA,MF,28,20,11,1124,12.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.03,0.02,0.05,0.03,0.05
Terence Kongolo,nl NED,DF,23,13,11,1049,11.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03
Philip Billing,dk DEN,MF,21,16,8,764,8.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.02,0.05,0.08,0.02,0.08
Joe Lolley,eng ENG,FWMF,24,6,2,221,2.5,1,0,1,0,0,1,0,0.41,0.00,0.41,0.41,0.41,0.1,0.1,0.1,0.2,0.05,0.03,0.08,0.05,0.08
Abdelhamid Sabiri,ma MAR,MF,20,5,2,220,2.4,0,1,0,0,0,1,0,0.00,0.41,0.41,0.00,0.41,0.3,0.3,0.1,0.4,0.11,0.06,0.17,0.11,0.17
Martin Cranie,eng ENG,DF,30,3,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Kasey Palmer,jm JAM,MFFW,20,4,1,170,1.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.05,0.04,0.09,0.05,0.09
Dean Whitehead,eng ENG,MF,35,4,0,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Michael Hefele,de GER,DF,26,2,0,33,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Joel Coleman,eng ENG,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jon Gorenc StankoviÄ,si SVN,DFMF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,
Robert Green,eng ENG,GK,37,0,0,,,,,,,,,,,,,,,,,,,,,,,
