Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per90Gls,Per90Ast,Per90G+A,Per90G-PK,Per90G+A-PK,xG,npxG,xA,npxG+xAG,Per90xG,Per90xA,Per90xG+xA,Per90npxG,Per90npxG+xAG
Jack Grealish,eng ENG,FWMF,23,36,36,3233,35.9,8,6,8,0,1,8,0,0.22,0.17,0.39,0.22,0.39,6.8,6.0,7.4,13.4,0.19,0.21,0.40,0.17,0.37
Tyrone Mings,eng ENG,DF,26,33,33,2902,32.2,2,2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,0.8,0.8,0.7,1.5,0.02,0.02,0.05,0.02,0.05
Douglas Luiz,br BRA,MF,21,36,28,2612,29.0,3,2,3,0,0,8,0,0.10,0.07,0.17,0.10,0.17,2.6,2.6,1.7,4.2,0.09,0.06,0.15,0.09,0.15
John McGinn,sct SCO,MF,24,28,27,2312,25.7,3,3,3,0,0,3,0,0.12,0.12,0.23,0.12,0.23,3.9,3.9,2.5,6.4,0.15,0.10,0.25,0.15,0.25
Matt Targett,eng ENG,DFMF,23,28,27,2291,25.5,1,2,1,0,0,4,0,0.04,0.08,0.12,0.04,0.12,0.4,0.4,2.6,3.0,0.02,0.10,0.12,0.02,0.12
Anwar El Ghazi,nl NED,FWMF,24,34,26,2051,22.8,4,4,3,1,1,3,0,0.18,0.18,0.35,0.13,0.31,6.2,5.4,2.7,8.2,0.27,0.12,0.39,0.24,0.36
Ezri Konsa,eng ENG,DF,21,25,24,2039,22.7,1,2,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13,1.5,1.5,1.0,2.4,0.06,0.04,0.11,0.06,0.11
Frederic Guilbert,fr FRA,DFMF,24,25,22,2041,22.7,0,2,0,0,0,7,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,1.5,1.9,0.02,0.07,0.08,0.02,0.08
Wesley Moraes,br BRA,FW,22,21,21,1782,19.8,5,1,5,0,1,3,0,0.25,0.05,0.30,0.25,0.30,6.4,5.5,1.0,6.5,0.32,0.05,0.37,0.28,0.33
Trézéguet,eg EGY,FWMF,24,34,20,1950,21.7,6,1,6,0,0,4,1,0.28,0.05,0.32,0.28,0.32,4.7,4.7,1.0,5.8,0.22,0.05,0.27,0.22,0.27
Tom Heaton,eng ENG,GK,33,20,20,1794,19.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Marvelous Nakamba,zw ZIM,MF,25,29,19,1836,20.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.01,0.03,0.03,0.01,0.03
Conor Hourihane,ie IRL,MF,28,27,18,1534,17.0,3,5,3,0,0,4,0,0.18,0.29,0.47,0.18,0.47,1.7,1.7,6.0,7.7,0.10,0.35,0.45,0.10,0.45
Kortney Hause,eng ENG,DF,24,18,17,1545,17.2,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,2.5,2.5,0.5,2.9,0.14,0.03,0.17,0.14,0.17
Björn Engels,be BEL,DF,24,17,15,1447,16.1,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,1.0,0.9,0.3,1.2,0.06,0.02,0.08,0.06,0.07
Pepe Reina,es ESP,GK,36,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Neil Taylor,wls WAL,DF,30,14,11,1091,12.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.01,0.03,0.05,0.01,0.05
Ahmed Elmohamady,eg EGY,DF,31,18,11,1031,11.5,1,1,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17,0.2,0.2,2.8,3.0,0.02,0.24,0.26,0.02,0.26
Mbwana Samatta,tz TAN,FW,26,14,11,943,10.5,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,2.3,2.3,0.6,2.9,0.22,0.06,0.28,0.22,0.28
Ørjan Nyland,no NOR,GK,28,7,5,539,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Keinan Davis,eng ENG,FW,21,18,4,548,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2.7,2.7,0.2,2.9,0.44,0.03,0.47,0.44,0.47
Jota,es ESP,FWMF,28,10,4,335,3.7,0,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.3,0.3,0.6,0.9,0.08,0.15,0.23,0.08,0.23
Danny Drinkwater,eng ENG,MF,29,4,4,259,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.04,0.01,0.05,0.04,0.05
Henri Lansbury,eng ENG,MF,28,10,2,195,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07
Jed Steer,eng ENG,GK,26,1,1,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Jonathan Kodjia,ci CIV,FW,29,6,0,117,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.09,0.05,0.14,0.09,0.14
Indiana Vassilev,us USA,FWMF,18,4,0,51,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06
Borja Bastón,es ESP,MFFW,26,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Squad Total,,,25.7,38,418,3420,38.0,40,32,39,1,3,70,1,1.05,0.84,1.89,1.03,1.87,44.3,41.8,34.2,76.0,1.16,0.90,2.06,1.10,2.00
