Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per90Gls,Per90Ast,Per90G+A,Per90G-PK,Per90G+A-PK,xG,npxG,xA,npxG+xAG,Per90xG,Per90xA,Per90xG+xA,Per90npxG,Per90npxG+xAG
Martin Dúbravka,sk SVK,GK,29,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Matt Ritchie,sct SCO,DFMF,28,36,35,2928,32.5,2,8,1,1,2,9,0,0.06,0.25,0.31,0.03,0.28,5.1,3.6,5.3,8.9,0.16,0.16,0.32,0.11,0.27
Ayoze Pérez,es ESP,MFFW,25,37,34,2917,32.4,12,2,12,0,0,2,0,0.37,0.06,0.43,0.37,0.43,7.5,7.5,3.6,11.1,0.23,0.11,0.34,0.23,0.34
Jamaal Lascelles,eng ENG,DF,24,32,32,2745,30.5,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,0.6,0.6,0.9,1.5,0.02,0.03,0.05,0.02,0.05
Salomón Rondón,ve VEN,FW,28,32,30,2603,28.9,11,7,11,0,0,1,0,0.38,0.24,0.62,0.38,0.62,10.4,10.4,3.0,13.4,0.36,0.10,0.46,0.36,0.46
DeAndre Yedlin,us USA,DF,25,29,28,2473,27.5,1,2,1,0,0,6,1,0.04,0.07,0.11,0.04,0.11,1.2,1.2,2.0,3.1,0.04,0.07,0.11,0.04,0.11
Mohamed Diamé,sn SEN,MF,31,29,24,2166,24.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,1.2,0.04,0.01,0.05,0.04,0.05
Fabian Schär,ch SUI,DF,26,24,22,1999,22.2,4,1,4,0,0,12,0,0.18,0.05,0.23,0.18,0.23,1.9,1.9,0.7,2.6,0.08,0.03,0.12,0.08,0.12
Paul Dummett,wls WAL,DF,26,26,21,1990,22.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.01,0.03,0.04,0.01,0.04
Isaac Hayden,eng ENG,MF,23,25,21,1859,20.7,1,4,1,0,0,3,1,0.05,0.19,0.24,0.05,0.24,0.9,0.9,2.3,3.2,0.05,0.11,0.16,0.05,0.16
Federico Fernández,ar ARG,DF,29,19,17,1484,16.5,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.5,0.7,0.01,0.03,0.04,0.01,0.04
Christian Atsu,gh GHA,MF,26,28,15,1493,16.6,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,2.1,2.1,1.6,3.7,0.13,0.09,0.22,0.13,0.22
Kenedy,br BRA,MFDF,22,25,14,1348,15.0,1,1,1,0,1,1,0,0.07,0.07,0.13,0.07,0.13,2.2,1.4,0.7,2.1,0.15,0.04,0.19,0.10,0.14
Ki Sung-yueng,kr KOR,MF,29,18,14,1302,14.5,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,1.0,1.2,0.02,0.07,0.09,0.02,0.09
Javier Manquillo,es ESP,DF,24,18,12,1101,12.2,0,3,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,0.1,0.1,0.7,0.7,0.00,0.05,0.06,0.00,0.06
Florian Lejeune,fr FRA,DF,27,12,12,1054,11.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.04,0.03,0.07,0.04,0.07
Jonjo Shelvey,eng ENG,MF,26,16,10,948,10.5,1,1,1,0,0,1,0,0.09,0.09,0.19,0.09,0.19,0.9,0.9,1.7,2.6,0.09,0.16,0.25,0.09,0.25
Ciaran Clark,ie IRL,DF,28,11,9,858,9.5,3,0,3,0,0,1,0,0.31,0.00,0.31,0.31,0.31,0.5,0.5,0.1,0.6,0.05,0.01,0.06,0.05,0.06
Miguel Almirón,py PAR,MF,24,10,9,759,8.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.6,2.1,0.18,0.07,0.25,0.17,0.24
Sean Longstaff,eng ENG,MF,20,9,8,687,7.6,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.7,0.7,0.5,1.2,0.09,0.07,0.16,0.09,0.16
Joselu,es ESP,FW,28,16,5,596,6.6,2,0,2,0,0,1,0,0.30,0.00,0.30,0.30,0.30,1.6,1.6,0.0,1.6,0.24,0.00,0.25,0.24,0.25
Yoshinori Mut?,jp JPN,FWMF,26,17,5,524,5.8,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,0.9,0.9,0.8,1.7,0.16,0.14,0.30,0.16,0.30
Jacob Murphy,eng ENG,MFDF,23,9,3,302,3.4,0,1,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,0.1,0.1,0.6,0.7,0.02,0.18,0.20,0.02,0.20
Antonio Barreca,it ITA,DF,23,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Squad Total,,,26.9,38,418,3420,38.0,41,33,40,1,3,57,2,1.08,0.87,1.95,1.05,1.92,39.1,36.7,27.4,64.1,1.03,0.72,1.75,0.97,1.69
Opponent Total,,,26.8,38,418,3420,38.0,47,32,41,6,6,58,1,1.24,0.84,2.08,1.08,1.92,53.6,49.2,39.5,88.7,1.41,1.04,2.45,1.29,2.33
