"Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999"
"Conor Coady,eng ENG,DF,26,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2928dca2"
"Rui Patrício,pt POR,GK,31,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,79b0d6a0"
"Raúl Jiménez,mx MEX,FW,28,36.0,17,114,39,34.2,3.17,1.08,0.11,0.33,15.5,0,4,4,16.6,13.4,0.12,+0.4,-0.4,Matches,b561db50"
"Rúben Neves,pt POR,MF,22,34.0,2,61,10,16.4,1.80,0.29,0.03,0.20,28.0,7,0,0,2.0,2.0,0.03,0.0,0.0,Matches,44bfb6c5"
"João Moutinho,pt POR,MF,32,34.5,1,22,6,27.3,0.64,0.17,0.05,0.17,25.0,4,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches,f5a00fa4"
"Jonny Castro,es ESP,MFDF,25,32.1,2,18,5,27.8,0.56,0.16,0.11,0.40,19.0,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches,e28868f3"
"Matt Doherty,ie IRL,MFDF,27,31.5,4,35,15,42.9,1.11,0.48,0.11,0.27,11.2,0,0,0,6.9,6.9,0.20,-2.9,-2.9,Matches,d557d734"
"Leander Dendoncker,be BEL,MFDF,24,31.1,4,20,5,25.0,0.64,0.16,0.20,0.80,14.7,0,0,0,1.8,1.8,0.09,+2.2,+2.2,Matches,5a7301ae"
"Romain Saïss,ma MAR,DF,29,30.1,2,24,8,33.3,0.80,0.27,0.08,0.25,13.1,2,0,0,3.4,3.4,0.14,-1.4,-1.4,Matches,9fbbcf39"
"Adama Traoré,es ESP,FWDF,23,28.9,4,43,12,27.9,1.49,0.41,0.09,0.33,19.8,0,0,0,3.8,3.8,0.09,+0.2,+0.2,Matches,9a28eba4"
"Diogo Jota,pt POR,FW,22,25.4,7,69,26,37.7,2.72,1.02,0.10,0.27,14.2,0,0,0,11.5,11.5,0.17,-4.5,-4.5,Matches,178ae8f8"
"Willy Boly,ci CIV,DF,28,22.0,0,5,3,60.0,0.23,0.14,0.00,0.00,11.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,a4ac4b8f"
"Pedro Neto,pt POR,FWMF,19,10.4,3,17,6,35.3,1.63,0.58,0.18,0.50,16.9,0,0,0,2.2,2.2,0.13,+0.8,+0.8,Matches,7ba2eaa9"
"Ryan Bennett,eng ENG,DF,29,6.7,0,1,0,0.0,0.15,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,0bad4516"
"Rúben Vinagre,pt POR,MFDF,20,7.2,0,5,0,0.0,0.69,0.00,0.00,,13.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,b937e490"
"Patrick Cutrone,it ITA,FW,21,3.3,2,11,4,36.4,3.33,1.21,0.18,0.50,13.8,0,0,0,2.2,2.2,0.20,-0.2,-0.2,Matches,a4fe8cda"
"Daniel Podence,pt POR,FWMF,23,3.2,1,10,3,30.0,3.11,0.93,0.10,0.33,14.0,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches,7fcc71d8"
"Max Kilman,eng ENG,DF,22,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d0f72bf1"
"Jesús Vallejo,es ESP,DF,22,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c2111b45"
"Morgan Gibbs-White,eng ENG,MFFW,19,1.4,0,2,0,0.0,1.40,0.00,0.00,,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,32f60ed8"
"Bruno Jordão,pt POR,FW,20,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,41ff002d"
"Squad Total,,,26.6,38.0,49,457,142,31.1,12.03,3.74,0.10,0.32,17.4,13,4,4,54.1,51.0,0.11,-5.1,-6.0,,-9999"
