"Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999"
"Conor Coady,eng ENG,DF,25,38.0,31,19,26,5,0,17,32,53.1,15,35,27,8,30,61,133,3,Matches,2928dca2"
"Rui Patrício,pt POR,GK,30,37.0,2,0,2,0,0,2,3,66.7,1,0,0,0,1,3,7,4,Matches,79b0d6a0"
"Willy Boly,ci CIV,DF,27,35.2,85,52,49,34,2,34,56,60.7,22,55,32,23,72,157,177,6,Matches,a4ac4b8f"
"Raúl Jiménez,mx MEX,FW,27,34.6,30,18,5,17,8,6,23,26.1,17,25,3,22,26,56,40,0,Matches,b561db50"
"Matt Doherty,ie IRL,DFMF,26,34.9,67,42,48,15,4,35,58,60.3,23,49,7,42,60,127,107,2,Matches,d557d734"
"João Moutinho,pt POR,MF,31,33.7,113,58,50,56,7,44,126,34.9,82,56,11,45,40,153,50,0,Matches,f5a00fa4"
"Ryan Bennett,eng ENG,DF,28,34.0,58,32,41,16,1,25,41,61.0,16,42,21,21,43,101,131,1,Matches,0bad4516"
"Rúben Neves,pt POR,MF,21,33.4,75,32,33,36,6,27,83,32.5,56,57,18,39,73,148,46,3,Matches,44bfb6c5"
"Jonny Castro,es ESP,DFMF,24,30.8,79,43,42,33,4,31,60,51.7,29,45,8,37,60,139,64,2,Matches,e28868f3"
"Diogo Jota,pt POR,FWMF,21,26.2,28,16,11,11,6,10,38,26.3,28,20,1,19,13,41,11,0,Matches,178ae8f8"
"Leander Dendoncker,be BEL,MF,23,16.3,53,26,25,25,3,16,47,34.0,31,35,6,29,23,76,34,1,Matches,5a7301ae"
"Hélder Costa,ao ANG,FWMF,24,14.9,18,14,7,7,4,7,23,30.4,16,15,0,15,9,27,6,0,Matches,f13d02a6"
"Romain Saïss,ma MAR,MFDF,28,12.8,39,26,23,14,2,20,37,54.1,17,25,12,13,26,65,61,0,Matches,9fbbcf39"
"Adama Traoré,es ESP,FWMF,22,10.0,16,13,11,3,2,4,9,44.4,5,11,0,11,6,22,7,0,Matches,9a28eba4"
"Rúben Vinagre,pt POR,DFMF,19,7.9,14,9,7,7,0,2,5,40.0,3,10,2,8,14,28,16,1,Matches,b937e490"
"Ivan Cavaleiro,pt POR,FWMF,24,7.7,5,4,3,1,1,1,14,7.1,13,12,0,12,4,9,5,0,Matches,979b811d"
"Morgan Gibbs-White,eng ENG,MFFW,18,7.4,6,3,2,4,0,1,4,25.0,3,6,0,6,1,7,0,0,Matches,32f60ed8"
"John Ruddy,eng ENG,GK,31,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,da8b19e2"
"Léo Bonatini,br BRA,FW,24,1.5,1,1,0,0,1,1,5,20.0,4,1,0,1,0,1,0,0,Matches,da23d58d"
"Max Kilman,eng ENG,DF,21,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,d0f72bf1"
"Will Norris,eng ENG,GK,24,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,c73ada83"
"Squad Total,,,26.1,38.0,720,408,385,284,51,283,664,42.6,381,499,148,351,501,1221,895,23,,-9999"
