"Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999"
"Rui Patrício,pt POR,GK,31,38.0,40,1,1,6,1,35.5,0.26,-3.5,-0.09,250,528,47.3,578,127,53.1,39.0,283,78.1,48.7,530,20,3.8,11,0.29,11.7,Matches,79b0d6a0"
"Squad Total,,,26.6,38.0,40,1,1,6,1,35.5,0.26,-3.5,-0.09,250,528,47.3,578,127,53.1,39.0,283,78.1,48.7,530,20,3.8,11,0.29,11.7,,-9999"
