"Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999"
"Mathew Ryan,au AUS,GK,25,38.0,54,1,1,15,5,48.8,0.28,-0.2,-0.01,345,875,39.4,823,122,66.5,44.5,352,93.2,57.9,623,38,6.1,17,0.45,10.2,Matches,4535e4bb"
"Squad Total,,,27.5,38.0,54,1,1,15,5,48.8,0.28,-0.2,-0.01,345,875,39.4,823,122,66.5,44.5,352,93.2,57.9,623,38,6.1,17,0.45,10.2,,-9999"
