"Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999"
"Lewis Dunk,eng ENG,DF,26,35.0,21,0.60,20,0,0,0,1,0,2,0.06,2,0,0,0,0,0,Matches,282f75f3"
"Shane Duffy,ie IRL,DF,26,34.3,23,0.67,18,1,0,2,2,0,3,0.09,2,0,0,0,1,0,Matches,7314bba4"
"Mathew Ryan,au AUS,GK,26,34.0,3,0.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4535e4bb"
"Davy Pröpper,nl NED,MF,26,28.3,41,1.45,38,0,1,0,1,1,2,0.07,2,0,0,0,0,0,Matches,fdd85f94"
"Glenn Murray,eng ENG,FW,34,27.9,35,1.26,23,0,0,3,9,0,2,0.07,1,0,0,0,1,0,Matches,f2f29dda"
"Solly March,eng ENG,FWMF,24,27.4,84,3.07,45,11,15,6,6,1,8,0.29,5,1,0,0,2,0,Matches,bb5fbd2b"
"Dale Stephens,eng ENG,MF,29,27.6,41,1.48,35,1,0,2,2,1,3,0.11,3,0,0,0,0,0,Matches,653ee42d"
"Martín Montoya,es ESP,DF,27,24.1,40,1.66,33,3,0,0,3,1,2,0.08,1,0,0,0,1,0,Matches,5cec2487"
"Pascal Groß,de GER,MFFW,27,20.7,85,4.10,46,30,3,3,3,0,6,0.29,1,2,0,2,1,0,Matches,8aec0537"
"Gaëtan Bong,cm CMR,DF,30,20.1,18,0.90,13,3,2,0,0,0,1,0.05,1,0,0,0,0,0,Matches,cfd5e123"
"Bernardo,br BRA,DF,23,19.5,28,1.44,20,2,1,1,4,0,1,0.05,1,0,0,0,0,0,Matches,17370b95"
"Anthony Knockaert,fr FRA,MFFW,26,20.4,68,3.33,29,27,1,5,2,4,9,0.44,3,4,0,1,0,1,Matches,6c679c6d"
"Yves Bissouma,ml MLI,MF,21,19.7,54,2.74,35,1,10,2,6,0,2,0.10,1,0,0,0,1,0,Matches,6c203af0"
"Bruno,es ESP,DF,37,12.6,16,1.27,11,4,0,1,0,0,4,0.32,2,1,0,1,0,0,Matches,78803d03"
"Jürgen Locadia,nl NED,FWMF,24,13.7,31,2.26,22,0,3,4,1,1,2,0.15,1,0,1,0,0,0,Matches,6cc47ae1"
"Alireza Jahanbakhsh,ir IRN,FWMF,24,11.3,21,1.86,10,4,2,1,2,2,2,0.18,0,1,0,1,0,0,Matches,08452314"
"Beram Kayal,il ISR,MF,30,10.4,9,0.86,7,0,0,1,0,1,2,0.19,2,0,0,0,0,0,Matches,26679cdf"
"José Izquierdo,co COL,MFFW,26,8.8,15,1.70,12,0,1,1,1,0,3,0.34,1,0,0,1,1,0,Matches,ca2bc3df"
"Florin Andone,ro ROU,FW,25,9.8,13,1.33,7,0,1,3,2,0,1,0.10,0,0,0,1,0,0,Matches,dc008610"
"Leon Balogun,ng NGA,DF,30,6.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,78e68b4d"
"David Button,eng ENG,GK,29,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e608ed4c"
"Squad Total,,,27.4,38.0,646,17.00,427,87,40,35,45,12,55,1.45,29,9,1,7,8,1,,-9999"
