"Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999"
"Ciaran Clark,ie IRL,DF,28,11,858,78,25.1,9.5,9,89,8,2,29,9,0.91,9,15,-6,-0.63,-0.63,7.7,14.7,-7.0,-0.73,-0.47,Matches,2b91cf8e"
"Miguel Almirón,py PAR,MF,24,10,759,76,22.2,8.4,9,82,4,1,18,0,1.70,11,11,0,0.00,+0.20,11.3,9.2,+2.0,+0.24,+0.80,Matches,862a1c15"
"Sean Longstaff,eng ENG,MF,20,9,687,76,20.1,7.6,8,84,6,1,17,6,1.44,11,9,+2,+0.26,+0.53,8.9,11.0,-2.1,-0.27,+0.14,Matches,a2b105e0"
"Joselu,es ESP,FW,28,16,596,37,17.4,6.6,5,86,4,11,15,12,0.75,3,15,-12,-1.81,-2.00,5.2,12.7,-7.5,-1.13,-0.91,Matches,6265208f"
"Yoshinori Mutō,jp JPN,FWMF,26,17,524,31,15.3,5.8,5,75,1,12,12,10,0.65,6,10,-4,-0.69,-0.62,7.4,9.8,-2.4,-0.41,-0.03,Matches,5343eb4e"
"Jacob Murphy,eng ENG,MFDF,23,9,302,34,8.8,3.4,3,70,0,6,16,7,0.22,1,8,-7,-2.09,-2.11,3.4,4.6,-1.2,-0.35,+0.04,Matches,de112b84"
"Antonio Barreca,it ITA,DF,23,1,5,5,0.1,0.1,0,,0,1,4,2,0.00,0,0,0,0.00,+0.16,0.0,0.2,-0.2,-2.81,-2.44,Matches,6a189491"
"Lewis Cass,eng ENG,DF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,711a6e59"
"Karl Darlow,eng ENG,GK,27,0,,,,,0,,0,0,,23,,,,,,,,,,,,Matches,cde3309f"
"Cal Roberts,eng ENG,FWMF,21,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,8e9caf48"
"Jamie Sterry,eng ENG,DF,22,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,f13d0f83"
"Kelland Watts,eng ENG,DF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,603e4f0b"
"Freddie Woodman,eng ENG,GK,21,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches,19e50035"
"Squad Total,,,26.9,38,3420,90,100,38.0,418,86,,99,17,167,1.18,42,48,-6,-0.16,,39.1,53.6,-14.5,-0.38,,,-9999"
