"Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999"
"Jamaal Lascelles,eng ENG,DF,23,32.5,5,0,0,16,12,0,2,28,19,0,0,0,179,128,56,69.6,Matches,450ab6fc"
"Matt Ritchie,sct SCO,MFFW,27,31.2,6,0,0,37,36,3,190,35,32,0,1,0,184,33,81,28.9,Matches,71ef519e"
"DeAndre Yedlin,us USA,DF,24,31.6,5,0,0,32,26,9,73,44,33,0,0,1,156,47,50,48.5,Matches,ae0a7ddf"
"Ayoze Pérez,es ESP,MFFW,24,27.7,3,0,0,36,53,14,22,24,21,0,0,1,126,43,87,33.1,Matches,819aa8e7"
"Jonjo Shelvey,eng ENG,MF,25,25.2,3,3,1,23,8,0,79,28,24,0,0,0,199,20,13,60.6,Matches,3727dd3c"
"Florian Lejeune,fr FRA,DF,26,23.4,3,0,0,17,14,2,4,46,20,0,1,0,128,82,51,61.7,Matches,6eaed4eb"
"Mohamed Diamé,sn SEN,MF,30,22.7,3,0,0,44,16,0,6,48,64,0,0,0,141,57,55,50.9,Matches,b7d082af"
"Dwight Gayle,eng ENG,FW,26,21.8,3,0,0,23,28,22,5,6,10,0,0,0,45,67,91,42.4,Matches,e58a03c6"
"Javier Manquillo,es ESP,DF,23,19.5,2,0,0,24,12,2,30,18,22,0,1,0,70,22,19,53.7,Matches,758dd7f0"
"Christian Atsu,gh GHA,FWMF,25,19.8,1,0,0,10,26,6,57,13,16,0,0,0,107,13,68,16.0,Matches,8816329f"
"Ciaran Clark,ie IRL,DF,27,19.4,3,0,0,17,13,0,2,17,17,0,2,0,95,38,37,50.7,Matches,2b91cf8e"
"Joselu,es ESP,FW,27,19.0,2,0,0,30,23,3,6,11,17,0,0,0,54,144,120,54.5,Matches,6265208f"
"Paul Dummett,wls WAL,DF,25,17.8,1,0,0,8,11,0,22,23,19,0,1,0,73,54,34,61.4,Matches,3fe6bd8c"
"Rob Elliot,ie IRL,GK,31,16.0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,1,83.3,Matches,b1b25949"
"Isaac Hayden,eng ENG,MF,22,15.3,7,0,0,30,12,0,17,23,23,0,0,0,69,48,44,52.2,Matches,c951a6df"
"Mikel Merino,es ESP,MF,21,15.0,4,0,0,30,29,0,3,34,40,0,0,0,139,38,39,49.4,Matches,d080ed5e"
"Jacob Murphy,eng ENG,MFFW,22,12.8,0,0,0,8,9,0,40,6,10,0,0,0,82,7,24,22.6,Matches,de112b84"
"Kenedy,br BRA,MFDF,21,11.4,1,0,0,15,20,0,38,14,17,1,0,0,84,2,17,10.5,Matches,5eebbfdf"
"Martin Dúbravka,sk SVK,GK,28,12.0,0,0,0,0,2,0,0,0,0,0,0,0,11,2,0,100.0,Matches,3a949a25"
"Karl Darlow,eng ENG,GK,26,10.0,0,0,0,0,1,0,0,0,0,0,0,1,14,2,0,100.0,Matches,cde3309f"
"Chancel Mbemba,cd COD,DF,22,7.5,0,0,0,5,4,0,7,15,12,0,0,0,34,19,17,52.8,Matches,e76cb9cc"
"Rolando Aarons,eng ENG,MFFW,21,1.5,0,0,0,1,3,1,2,1,4,0,0,0,9,1,3,25.0,Matches,c5942695"
"Islam Slimani,dz ALG,FW,29,1.5,1,0,0,0,3,0,4,1,0,0,0,0,4,3,10,23.1,Matches,ffec9769"
"Jesús Gámez,es ESP,DF,32,1.1,0,0,0,0,1,0,5,2,2,0,0,0,6,1,0,100.0,Matches,bd1d1cbb"
"Henri Saivet,sn SEN,MF,26,0.9,0,0,0,0,0,0,2,4,3,0,0,0,4,2,1,66.7,Matches,f3709655"
"Aleksandar Mitrović,rs SRB,FW,22,1.1,0,0,0,3,5,1,0,0,1,0,0,0,4,6,9,40.0,Matches,3925dbd6"
"Massadio Haïdara,ml MLI,FW,24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,5167c97e"
"Squad Total,,,25.6,38.0,,,1,409,369,63,616,441,426,1,6,3,2021,884,927,48.8,,-9999"
