"Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999"
"Martin Dúbravka,sk SVK,GK,29,38,38,3420,38.0,48,1.26,140,93,70.0,12,9,17,11,28.9,6,6,0,0,0.0,Matches,3a949a25"
"Squad Total,,,26.9,38,38,3420,38.0,48,1.26,140,93,70.0,12,9,17,11,28.9,6,6,0,0,0.0,,-9999"
