"Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999"
"Jack Grealish,eng ENG,FWMF,23,35.9,197,5.48,135,20,14,2,25,1,18,0.50,12,1,2,0,3,0,Matches,b0b4fd3e"
"Tyrone Mings,eng ENG,DF,26,32.2,17,0.53,16,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,8397a50c"
"Douglas Luiz,br BRA,MF,21,29.0,54,1.86,44,1,3,2,3,1,3,0.10,3,0,0,0,0,0,Matches,6f7d826d"
"John McGinn,sct SCO,MF,24,25.7,92,3.58,68,9,8,2,3,2,9,0.35,6,2,0,0,1,0,Matches,90f91999"
"Matt Targett,eng ENG,DFMF,23,25.5,60,2.36,48,8,0,1,1,2,5,0.20,4,0,0,1,0,0,Matches,e514ab62"
"Anwar El Ghazi,nl NED,FWMF,24,22.8,59,2.59,39,7,5,5,3,0,6,0.26,4,0,2,0,0,0,Matches,ffa90327"
"Ezri Konsa,eng ENG,DF,21,22.7,15,0.66,9,1,1,2,2,0,1,0.04,0,0,0,1,0,0,Matches,0313a347"
"Frederic Guilbert,fr FRA,DFMF,24,22.7,39,1.72,33,5,0,1,0,0,5,0.22,4,1,0,0,0,0,Matches,5d8d7454"
"Wesley Moraes,br BRA,FW,22,19.8,32,1.62,25,0,2,4,1,0,3,0.15,3,0,0,0,0,0,Matches,bfae110f"
"Trézéguet,eg EGY,FWMF,24,21.7,55,2.54,32,4,7,7,5,0,4,0.18,1,0,1,0,2,0,Matches,3ae14ed1"
"Tom Heaton,eng ENG,GK,33,19.9,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a6de6361"
"Marvelous Nakamba,zw ZIM,MF,25,20.4,23,1.13,22,1,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,de5b5570"
"Conor Hourihane,ie IRL,MF,28,17.0,61,3.58,29,26,0,3,3,0,7,0.41,3,4,0,0,0,0,Matches,fcab00a0"
"Kortney Hause,eng ENG,DF,24,17.2,8,0.47,7,0,0,1,0,0,1,0.06,0,0,0,1,0,0,Matches,bf8fad51"
"Björn Engels,be BEL,DF,24,16.1,11,0.68,10,0,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches,4fdf1fd9"
"Pepe Reina,es ESP,GK,36,12.0,2,0.17,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e358587b"
"Neil Taylor,wls WAL,DF,30,12.1,9,0.74,9,0,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches,c2f9d19f"
"Ahmed Elmohamady,eg EGY,DF,31,11.5,36,3.14,33,3,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches,615ef733"
"Mbwana Samatta,tz TAN,FW,26,10.5,17,1.62,11,0,1,1,3,1,0,0.00,0,0,0,0,0,0,Matches,dae8623e"
"Ørjan Nyland,no NOR,GK,28,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,bdedffac"
"Keinan Davis,eng ENG,FW,21,6.1,18,2.96,9,0,1,4,4,0,3,0.49,1,0,0,1,1,0,Matches,9deaf2c8"
"Jota,es ESP,FWMF,28,3.7,9,2.42,8,0,0,0,1,0,1,0.27,1,0,0,0,0,0,Matches,9f351459"
"Danny Drinkwater,eng ENG,MF,29,2.9,4,1.39,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,2649ff32"
"Henri Lansbury,eng ENG,MF,28,2.2,2,0.93,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,fe8e6fa1"
"Jed Steer,eng ENG,GK,26,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a8a3d139"
"Jonathan Kodjia,ci CIV,FW,29,1.3,4,3.05,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,ecf44e09"
"Indiana Vassilev,us USA,FWMF,18,0.6,1,1.76,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,04e195ee"
"Borja Bastón,es ESP,MFFW,26,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8c44e37b"
"Squad Total,,,25.7,38.0,827,21.76,599,87,42,36,56,7,72,1.89,48,8,5,4,7,0,,-9999"
