"Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999"
"Emiliano Martínez,ar ARG,GK,27,38.0,46,5,2,4,1,49.2,0.24,+4.2,+0.11,247,639,38.7,1058,177,45.1,37.1,253,64.0,47.0,613,42,6.9,34,0.89,14.2,Matches,7956236f"
"Squad Total,,,25.2,38.0,46,5,2,4,1,49.2,0.24,+4.2,+0.11,247,639,38.7,1058,177,45.1,37.1,253,64.0,47.0,613,42,6.9,34,0.89,14.2,,-9999"
