Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off
Steve MouniÃ©,bj BEN,FW,23,31,1778,57,52.0,19.8,19,79,8,12,24,2,0.48,12,36,-24,-1.21,+0.43,14.5,26.1,-11.6,-0.59,+0.54
Juninho Bacuna,cw CUW,MFDF,20,21,1412,67,41.3,15.7,16,82,9,5,21,5,0.38,9,37,-28,-1.78,-0.62,11.2,28.4,-17.3,-1.10,-0.43
Elias Kachunga,cd COD,FWMF,26,20,1182,59,34.6,13.1,13,81,7,7,18,10,0.25,4,30,-26,-1.98,-0.85,9.7,23.3,-13.5,-1.03,-0.28
Tommy Smith,eng ENG,DF,26,15,1141,76,33.4,12.7,13,82,11,2,36,10,0.33,11,35,-24,-1.89,-0.71,10.6,26.3,-15.6,-1.23,-0.58
Laurent Depoitre,be BEL,FW,29,23,1068,46,31.2,11.9,10,82,6,13,19,4,0.35,3,23,-20,-1.69,-0.38,8.9,20.0,-11.1,-0.94,-0.13
Isaac Mbenza,be BEL,FWMF,22,22,986,45,28.8,11.0,10,77,3,12,18,6,0.55,6,25,-19,-1.73,-0.44,8.9,20.0,-11.1,-1.01,-0.24
Karlan Grant,eng ENG,FW,20,13,877,67,25.6,9.7,9,88,8,4,21,1,0.38,9,23,-14,-1.44,-0.02,9.5,19.2,-9.7,-0.99,-0.20
Jon Gorenc StankoviÄ,si SVN,MFDF,22,11,715,65,20.9,7.9,9,79,4,2,0,16,0.64,5,20,-15,-1.89,-0.59,4.6,16.0,-11.4,-1.44,-0.75
Ben Hamer,eng ENG,GK,30,7,552,79,16.1,6.1,7,79,6,0,,26,0.14,3,21,-18,-2.93,-1.81,6.1,16.2,-10.1,-1.65,-0.96
Adama Diakhaby,fr FRA,FWMF,22,12,552,46,16.1,6.1,6,75,1,6,17,6,0.25,2,16,-14,-2.28,-1.03,3.9,11.4,-7.5,-1.23,-0.46
