Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Jack Grealish,eng ENG,FWMF,23,35.9,8,72,23,31.9,2.00,0.64,0.11,0.35,18.5,1,0,1,6.8,6.0,0.08,+1.2,+2.0
Tyrone Mings,eng ENG,DF,26,32.2,2,8,3,37.5,0.25,0.09,0.25,0.67,9.9,0,0,0,0.8,0.8,0.10,+1.2,+1.2
Douglas Luiz,br BRA,MF,21,29.0,3,38,12,31.6,1.31,0.41,0.08,0.25,24.0,3,0,0,2.6,2.6,0.07,+0.4,+0.4
John McGinn,sct SCO,MF,24,25.7,3,55,20,36.4,2.14,0.78,0.05,0.15,21.3,1,0,0,3.9,3.9,0.07,-0.9,-0.9
Matt Targett,eng ENG,DFMF,23,25.5,1,7,4,57.1,0.27,0.16,0.14,0.25,16.5,1,0,0,0.4,0.4,0.06,+0.6,+0.6
Anwar El Ghazi,nl NED,FWMF,24,22.8,4,51,19,37.3,2.24,0.83,0.06,0.16,18.9,5,1,1,6.2,5.4,0.11,-2.2,-2.4
Ezri Konsa,eng ENG,DF,21,22.7,1,11,4,36.4,0.49,0.18,0.09,0.25,13.0,0,0,0,1.5,1.5,0.13,-0.5,-0.5
Frederic Guilbert,fr FRA,DFMF,24,22.7,0,8,3,37.5,0.35,0.13,0.00,0.00,21.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Wesley Moraes,br BRA,FW,22,19.8,5,34,17,50.0,1.72,0.86,0.15,0.29,12.6,0,0,1,6.4,5.5,0.16,-1.4,-0.5
TrÃ©zÃ©guet,eg EGY,FWMF,24,21.7,6,50,17,34.0,2.31,0.78,0.12,0.35,17.4,4,0,0,4.7,4.7,0.09,+1.3,+1.3
Tom Heaton,eng ENG,GK,33,19.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marvelous Nakamba,zw ZIM,MF,25,20.4,0,7,1,14.3,0.34,0.05,0.00,0.00,29.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Conor Hourihane,ie IRL,MF,28,17.0,3,29,10,34.5,1.70,0.59,0.10,0.30,21.4,6,0,0,1.7,1.7,0.06,+1.3,+1.3
Kortney Hause,eng ENG,DF,24,17.2,1,20,3,15.0,1.17,0.17,0.05,0.33,8.3,0,0,0,2.5,2.5,0.13,-1.5,-1.5
BjÃ¶rn Engels,be BEL,DF,24,16.1,1,8,1,12.5,0.50,0.06,0.13,1.00,7.8,0,0,0,1.0,0.9,0.11,0.0,+0.1
Pepe Reina,es ESP,GK,36,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Neil Taylor,wls WAL,DF,30,12.1,0,3,0,0.0,0.25,0.00,0.00,,15.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Ahmed Elmohamady,eg EGY,DF,31,11.5,1,5,1,20.0,0.44,0.09,0.20,1.00,11.1,0,0,0,0.2,0.2,0.05,+0.8,+0.8
Mbwana Samatta,tz TAN,FW,26,10.5,1,17,3,17.6,1.62,0.29,0.06,0.33,10.8,0,0,0,2.3,2.3,0.14,-1.3,-1.3
Ãrjan Nyland,no NOR,GK,28,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Keinan Davis,eng ENG,FW,21,6.1,0,17,5,29.4,2.79,0.82,0.00,0.00,9.6,0,0,0,2.7,2.7,0.16,-2.7,-2.7
Jota,es ESP,FWMF,28,3.7,0,6,1,16.7,1.61,0.27,0.00,0.00,18.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Danny Drinkwater,eng ENG,MF,29,2.9,0,2,0,0.0,0.69,0.00,0.00,,18.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Henri Lansbury,eng ENG,MF,28,2.2,0,2,0,0.0,0.92,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Jed Steer,eng ENG,GK,26,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jonathan Kodjia,ci CIV,FW,29,1.3,0,2,0,0.0,1.54,0.00,0.00,,19.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Indiana Vassilev,us USA,FWMF,18,0.6,0,1,0,0.0,1.76,0.00,0.00,,21.9,0,0,0,0.0,0.0,0.03,0.0,0.0
Borja BastÃ³n,es ESP,MFFW,26,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,25.7,38.0,40,453,147,32.5,11.92,3.87,0.09,0.27,17.5,21,1,3,44.3,41.8,0.09,-4.3,-2.8
