Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Rui PatrÃ­cio,pt POR,GK,30,37,37,3330,37.0,46,1.24,138,96,68.8,14,9,13,7,18.9,4,3,0,1,0.0
John Ruddy,eng ENG,GK,31,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
Will Norris,eng ENG,GK,24,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,
Squad Total,,,26.1,38,38,3420,38.0,46,1.21,141,99,69.5,15,9,13,9,23.7,4,3,0,1,0.0
