Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Dean Henderson,eng ENG,GK,22,36.0,33,1,0,2,0,39.2,0.31,+6.2,+0.17,260,833,31.2,779,106,74.3,51.9,261,97.3,69.1,552,20,3.6,23,0.64,12.5
Simon Moore,eng ENG,GK,29,2.0,6,0,0,0,0,4.5,0.41,-1.5,-0.74,10,39,25.6,37,4,75.7,51.2,11,100.0,69.5,20,0,0.0,0,0.00,7.0
Squad Total,,,26.9,38.0,39,1,0,2,0,43.7,0.32,+4.7,+0.12,270,872,31.0,816,110,74.4,51.9,272,97.4,69.1,572,20,3.5,23,0.61,12.3
