Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Jack Grealish,eng ENG,FWMF,23.0,29,12,12,5,13,34,38.2,21,33,12,21,51,22,1,8,0,0,34,167,4,141,0,0,0,188,20,26,43.5,1219,1546,78.8,20682,5789,589,662,89.0,449,530,84.7,134,229,58.5,6,7.4,6.5,-1.4,91,102,68,7,139,36,3233.0,90.0,94.5,36,90.0,35.0,0,,0,0.97,39.0,63.0,-24.0,-0.67,0.29,42.6,62.7,-20.1,-0.56,1.07,8,72,23,31.9,2.0,0.64,0.11,0.35,18.5,1,0,1,6.8,6.0,0.08,1.2,2.0,197,5.48,135,20,14,2,25,1,18,0.5,12,1,2,0,3,0
Tyrone Mings,eng ENG,DF,26.0,15,11,3,1,10,13,76.9,3,56,48,8,45,190,4,7,0,0,20,11,2,7,0,1,0,201,67,44,60.4,1085,1400,77.5,23447,8851,290,329,88.1,624,680,91.8,158,355,44.5,2,0.7,0.4,1.3,7,57,4,1,51,33,2902.0,88.0,84.9,33,88.0,32.0,0,,0,0.97,36.0,53.0,-17.0,-0.53,1.04,38.3,53.2,-14.9,-0.46,1.03,2,8,3,37.5,0.25,0.09,0.25,0.67,9.9,0,0,0,0.8,0.8,0.1,1.2,1.2,17,0.53,16,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Douglas Luiz,br BRA,MF,21.0,46,25,17,4,19,65,29.2,46,42,15,27,82,54,1,8,0,0,51,36,0,24,0,1,0,205,30,35,46.2,1010,1243,81.3,19047,5276,400,460,87.0,454,536,84.7,131,191,68.6,2,1.7,1.6,0.3,17,106,17,5,100,36,2612.0,73.0,76.4,28,87.0,24.0,8,20.0,1,0.94,29.0,51.0,-22.0,-0.76,-0.31,32.0,52.8,-20.8,-0.72,-0.42,3,38,12,31.6,1.31,0.41,0.08,0.25,24.0,3,0,0,2.6,2.6,0.07,0.4,0.4,54,1.86,44,1,3,2,3,1,3,0.1,3,0,0,0,0,0
John McGinn,sct SCO,MF,24.0,53,19,23,11,18,62,29.0,44,25,1,24,78,18,0,3,0,0,37,66,0,66,0,0,0,151,19,30,38.8,600,794,75.6,12378,3698,219,258,84.9,252,305,82.6,112,172,65.1,3,2.5,2.4,0.5,37,80,31,7,77,28,2312.0,83.0,67.6,27,84.0,21.0,1,31.0,0,0.89,29.0,41.0,-12.0,-0.47,0.67,32.3,41.6,-9.3,-0.36,0.79,3,55,20,36.4,2.14,0.78,0.05,0.15,21.3,1,0,0,3.9,3.9,0.07,-0.9,-0.9,92,3.58,68,9,8,2,3,2,9,0.35,6,2,0,0,1,0
Matt Targett,eng ENG,DFMF,23.0,52,37,11,4,22,53,41.5,31,28,8,20,108,82,0,4,0,0,27,17,0,81,0,0,0,122,36,37,49.3,883,1229,71.8,14497,6305,485,543,89.3,305,421,72.4,75,193,38.9,2,2.6,2.8,-0.6,26,76,27,11,105,28,2291.0,82.0,67.0,27,83.0,22.0,1,54.0,2,1.0,30.0,40.0,-10.0,-0.39,0.88,31.7,45.3,-13.6,-0.54,0.25,1,7,4,57.1,0.27,0.16,0.14,0.25,16.5,1,0,0,0.4,0.4,0.06,0.6,0.6,60,2.36,48,8,0,1,1,2,5,0.2,4,0,0,1,0,0
Anwar El Ghazi,nl NED,FWMF,24.0,20,12,5,3,8,26,30.8,18,10,1,9,33,16,1,3,0,0,20,17,12,107,0,0,0,75,31,57,35.2,390,607,64.3,5945,1595,234,294,79.6,93,160,58.1,39,80,48.8,4,2.7,1.9,1.3,30,20,21,14,28,34,2051.0,60.0,60.0,26,74.0,9.0,8,17.0,3,0.85,26.0,48.0,-22.0,-0.97,-0.7,29.8,42.3,-12.4,-0.55,0.18,4,51,19,37.3,2.24,0.83,0.06,0.16,18.9,5,1,1,6.2,5.4,0.11,-2.2,-2.4,59,2.59,39,7,5,5,3,0,6,0.26,4,0,2,0,0,0
Ezri Konsa,eng ENG,DF,21.0,18,12,6,0,7,16,43.8,9,34,24,10,43,70,2,3,0,0,17,32,1,13,0,1,0,100,47,45,51.1,677,877,77.2,12291,4688,280,320,87.5,331,400,82.8,58,129,45.0,2,1.0,0.3,1.0,11,42,5,5,35,25,2039.0,82.0,59.6,24,84.0,19.0,1,16.0,13,1.08,23.0,39.0,-16.0,-0.71,-0.05,24.1,39.6,-15.5,-0.69,-0.17,1,11,4,36.4,0.49,0.18,0.09,0.25,13.0,0,0,0,1.5,1.5,0.13,-0.5,-0.5,15,0.66,9,1,1,2,2,0,1,0.04,0,0,0,1,0,0
Frederic Guilbert,fr FRA,DFMF,24.0,74,48,20,6,36,67,53.7,31,33,10,23,123,74,2,7,0,0,36,21,2,91,0,0,0,104,46,68,40.4,679,1046,64.9,11643,4660,355,445,79.8,242,365,66.3,68,169,40.2,2,1.5,0.9,0.5,13,66,21,14,56,25,2041.0,82.0,59.7,22,88.0,19.0,3,35.0,6,1.04,29.0,36.0,-7.0,-0.31,0.93,27.8,43.3,-15.4,-0.68,-0.15,0,8,3,37.5,0.35,0.13,0.0,0.0,21.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,39,1.72,33,5,0,1,0,0,5,0.22,4,1,0,0,0,0
Wesley Moraes,br BRA,FW,22.0,15,3,8,4,0,5,0.0,5,10,2,8,19,23,0,3,0,0,43,14,14,7,0,0,0,26,69,88,43.9,265,379,69.9,3721,584,164,217,75.6,66,89,74.2,18,26,69.2,1,1.0,0.7,0.0,11,17,1,0,10,21,1782.0,85.0,52.1,21,85.0,13.0,0,,0,1.0,26.0,31.0,-5.0,-0.25,0.9,23.9,38.4,-14.5,-0.73,-0.24,5,34,17,50.0,1.72,0.86,0.15,0.29,12.6,0,0,1,6.4,5.5,0.16,-1.4,-0.5,32,1.62,25,0,2,4,1,0,3,0.15,3,0,0,0,0,0
Tr̩z̩guet,eg EGY,FWMF,24.0,38,18,15,5,9,44,20.5,35,23,2,21,63,18,0,4,1,1,35,32,6,67,1,0,0,79,28,44,38.9,291,441,66.0,4192,1096,174,210,82.9,80,137,58.4,21,46,45.7,1,1.0,1.2,0.0,21,19,13,7,28,34,1950.0,57.0,57.0,20,78.0,5.0,14,27.0,3,0.91,22.0,28.0,-6.0,-0.28,0.95,20.6,37.7,-17.1,-0.79,-0.39,6,50,17,34.0,2.31,0.78,0.12,0.35,17.4,4,0,0,4.7,4.7,0.09,1.3,1.3,55,2.54,32,4,7,7,5,0,4,0.18,1,0,1,0,2,0
