Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Jonas L̦ssl,dk DEN,GK,29,31,30,2777,30.9,54,1.75,141,86,64.5,3,5,22,5,16.7,5,4,1,0,20.0
Ben Hamer,eng ENG,GK,30,7,7,553,6.1,21,3.42,42,22,57.1,0,0,6,0,0.0,3,3,0,0,0.0
Joel Coleman,eng ENG,GK,22,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
Squad Total,,,26.2,38,38,3420,38.0,76,2.00,186,110,62.9,3,6,28,5,13.2,8,7,1,0,12.5
