Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Dean Henderson,eng ENG,GK,22,36,36,3240,36.0,33,0.92,128,94,75.0,14,11,11,13,36.1,3,1,1,1,50.0
Simon Moore,eng ENG,GK,29,2,2,180,2.0,6,3.00,11,5,45.5,0,1,1,0,0.0,0,0,0,0,
Squad Total,,,26.9,38,38,3420,38.0,39,1.03,139,99,72.7,14,12,12,13,34.2,3,1,1,1,50.0
