Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,90s,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Solly March,eng ENG,MFFW,23.0,54,34,14,6,22,54,40.7,32,27,3,24,67,49,0,3.0,0.0,0,29,22,7,102,1,0,0,135,19,42,31.1,36,1851.0,51.0,54.1,18,,10.0,18,,2,1.08,11.0,29.0,-18.0,-0.88,-0.76,16.8,28.3,-11.5,-0.56,-0.43,1,28,9,32.1,1.36,0.44,0.04,0.11,23.8,1,0,0,1.5,1.5,0.05,-0.5,-0.5,20.6,48,2.34,36,6,4,0,2,0,4,0.19,3,0,0,0,1,0
Ezequiel Schelotto,it ITA,DF,28.0,20,14,6,0,12,27,44.4,15,7,3,4,39,58,2,3.0,0.0,0,8,11,0,33,0,0,0,74,27,18,60.0,20,1318.0,66.0,38.5,15,,12.0,5,,14,0.9,16.0,30.0,-14.0,-0.96,-0.7,17.3,21.2,-4.0,-0.27,0.15,0,6,2,33.3,0.41,0.14,0.0,0.0,21.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,14.6,21,1.43,14,2,1,2,1,1,1,0.07,1,0,0,0,0,0
Markus Suttner,at AUT,DF,30.0,25,18,4,3,10,22,45.5,12,16,2,14,37,49,1,0.0,0.0,0,5,2,0,45,0,0,0,59,14,13,51.9,14,1179.0,84.0,34.5,13,,13.0,1,,8,0.93,9.0,18.0,-9.0,-0.69,-0.25,10.6,19.4,-8.9,-0.68,-0.48,0,3,0,0.0,0.23,0.0,0.0,,29.3,1,0,0,0.1,0.1,0.04,-0.1,-0.1,13.1,17,1.3,13,3,0,1,0,0,0,0.0,0,0,0,0,0,0
Tomer Hemed,il ISR,FW,30.0,7,3,4,0,2,10,20.0,8,10,1,9,9,12,0,0.0,0.0,0,10,13,7,1,0,0,0,22,66,85,43.7,16,849.0,53.0,24.8,9,,3.0,7,,6,1.0,6.0,8.0,-2.0,-0.21,0.42,6.8,11.3,-4.5,-0.47,-0.15,2,17,7,41.2,1.8,0.74,0.12,0.29,14.8,0,0,0,1.9,1.9,0.11,0.1,0.1,9.4,7,0.74,5,0,0,1,1,0,2,0.21,2,0,0,0,0,0
Beram Kayal,il ISR,MF,29.0,18,10,7,1,6,26,23.1,20,11,4,7,30,9,0,2.0,0.0,0,15,15,1,5,0,0,0,54,8,8,50.0,19,745.0,39.0,21.8,8,,3.0,11,,7,1.05,3.0,14.0,-11.0,-1.33,-1.03,6.5,14.7,-8.2,-0.99,-0.8,0,4,1,25.0,0.48,0.12,0.0,0.0,16.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,8.3,16,1.93,12,0,1,1,1,1,1,0.12,1,0,0,0,0,0
Izzy Brown,eng ENG,MFFW,20.0,3,2,1,0,1,7,14.3,6,3,0,3,4,3,0,0.0,0.0,0,3,3,1,7,0,0,0,17,13,23,36.1,13,311.0,24.0,9.1,4,,0.0,9,,2,0.92,1.0,8.0,-7.0,-2.03,-1.65,2.6,7.7,-5.1,-1.47,-1.22,0,1,1,100.0,0.29,0.29,0.0,0.0,18.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,3.5,12,3.48,9,0,1,0,2,0,0,0.0,0,0,0,0,0,0
JÃ¼rgen Locadia,nl NED,FWMF,23.0,1,0,1,0,0,1,0.0,1,0,0,0,2,1,1,0.0,0.0,0,2,3,2,3,0,0,0,12,1,10,9.1,6,224.0,37.0,6.5,3,,0.0,3,,6,0.5,3.0,8.0,-5.0,-2.01,-1.59,3.3,5.6,-2.3,-0.94,-0.62,1,6,1,16.7,2.41,0.4,0.17,1.0,18.1,0,0,0,1.1,1.1,0.18,-0.1,-0.1,2.5,4,1.61,3,0,0,0,1,0,1,0.4,1,0,0,0,0,0
Leonardo Ulloa,ar ARG,FW,31.0,3,0,1,2,1,7,14.3,6,1,0,1,3,3,0,0.0,0.0,0,7,3,4,0,0,0,0,8,23,40,36.5,10,267.0,27.0,7.8,2,,0.0,8,,3,1.1,2.0,3.0,-1.0,-0.34,0.21,3.0,5.3,-2.3,-0.78,-0.46,1,2,1,50.0,0.67,0.34,0.5,1.0,6.9,0,0,0,0.7,0.7,0.37,0.3,0.3,3.0,10,3.37,9,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Connor Goldson,eng ENG,DF,24.0,2,1,1,0,1,4,25.0,3,3,3,0,3,9,0,1.0,0.0,0,2,2,0,1,0,0,0,12,9,4,69.2,3,200.0,67.0,5.8,2,,2.0,1,,28,1.0,1.0,5.0,-4.0,-1.8,-1.35,2.0,2.9,-0.9,-0.42,-0.06,0,3,1,33.3,1.35,0.45,0.0,0.0,7.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,2.2,1,0.45,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jamie Murphy,sct SCO,MF,27.0,2,2,0,0,2,4,50.0,2,0,0,0,3,3,0,0.0,0.0,0,1,5,1,2,0,0,0,6,0,2,0.0,4,168.0,42.0,4.9,1,,1.0,3,,2,1.0,0.0,4.0,-4.0,-2.14,-1.7,0.5,4.1,-3.6,-1.92,-1.64,0,1,0,0.0,0.54,0.0,0.0,,16.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,1.9,3,1.61,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Liam Rosenior,eng ENG,DF,33.0,4,2,1,1,2,5,40.0,3,2,1,1,8,7,0,0.0,0.0,0,1,0,0,1,0,0,0,5,2,1,66.7,3,164.0,55.0,4.8,1,,1.0,2,,5,1.33,2.0,3.0,-1.0,-0.55,-0.02,1.5,2.3,-0.8,-0.45,-0.09,0,2,0,0.0,1.1,0.0,0.0,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sam Baldock,eng ENG,FW,28.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,,2,32.0,16.0,0.9,0,,0.0,2,,10,0.0,0.0,1.0,-1.0,-2.81,-2.31,0.3,1.1,-0.8,-2.37,-2.03,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0.4,1,2.81,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Uwe HÃ¼nemeier,de GER,DF,31.0,0,0,0,0,0,0,,0,0,0,0,0,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,100.0,1,18.0,18.0,0.5,0,,0.0,1,,9,1.0,1.0,1.0,0.0,0.0,0.53,0.8,1.0,-0.2,-0.76,-0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,27.5,599,360,205,34,205,642,31.9,437,430,190,240,1048,1182,18,,,0,413,277,98,680,7,3,5,2122,796,777,50.6,38,3420.0,90.0,100.0,418,,,101,0.0,165,1.05,34.0,54.0,-20.0,-0.53,,37.0,50.8,-13.8,-0.36,,33,377,110,29.2,9.92,2.89,0.07,0.25,18.3,4,5,7,37.0,31.8,0.09,-4.0,-3.8,38.0,684,18.0,489,73,46,37,31,8,60,1.58,43,3,4,4,6,0
