Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Jamaal Lascelles,eng ENG,DF,23.0,31,19,11,1,12,19,63.2,7,33,24,9,59,232,1,5.0,0.0,0,16,12,0,2,0,0,0,179,128,56,69.6,918,1195,76.8,17019,7376,346,393,88.0,448,545,82.2,100,204,49.0,0,0.7,0.8,-0.7,6,59,4,0,59,33,2928.0,89.0,85.6,32,,31.0,1,,1,1.3,33.0,31.0,2.0,0.06,1.89,37.2,41.6,-4.4,-0.14,1.02,3,12,8,66.7,0.37,0.25,0.25,0.38,12.2,0,0,0,1.1,1.1,0.09,1.9,1.9,17,0.52,15,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Matt Ritchie,sct SCO,MFFW,27.0,46,22,18,6,14,53,26.4,39,37,5,32,81,63,1,6.0,0.0,0,37,36,3,190,0,1,0,184,33,81,28.9,834,1279,65.2,13965,4500,418,488,85.7,267,399,66.9,108,280,38.6,5,6.0,4.7,-1.0,52,65,28,14,81,35,2804.0,80.0,82.0,32,,21.0,3,,3,1.26,35.0,35.0,0.0,0.0,1.17,36.5,41.4,-4.9,-0.16,0.7,3,59,16,27.1,1.89,0.51,0.05,0.19,22.9,6,0,0,3.1,3.1,0.05,-0.1,-0.1,107,3.43,63,25,5,7,6,1,8,0.26,3,4,0,1,0,0
DeAndre Yedlin,us USA,DF,24.0,57,39,14,4,26,54,48.1,28,37,7,30,101,114,0,5.0,0.0,0,32,26,9,73,0,0,1,156,47,50,48.5,1032,1398,73.8,15393,6339,594,670,88.7,347,492,70.5,59,158,37.3,2,2.0,1.4,0.0,19,58,26,16,66,34,2845.0,84.0,83.2,31,,31.0,3,,1,1.12,33.0,37.0,-4.0,-0.13,0.5,35.9,40.6,-4.7,-0.15,0.8,0,6,0,0.0,0.19,0.0,0.0,,26.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,55,1.74,48,4,1,1,1,0,2,0.06,2,0,0,0,0,0
Ayoze P̩rez,es ESP,MFFW,24.0,39,11,15,13,12,54,22.2,42,36,1,35,63,28,0,3.0,0.0,0,36,53,14,22,0,0,1,126,43,87,33.1,515,745,69.1,6748,1456,316,396,79.8,140,205,68.3,16,44,36.4,5,4.7,2.5,0.3,36,47,17,2,42,36,2492.0,69.0,72.9,28,,15.0,8,,2,1.22,33.0,28.0,5.0,0.18,1.44,33.3,33.1,0.2,0.01,1.07,8,60,23,38.3,2.17,0.83,0.13,0.35,16.7,1,0,0,6.2,6.2,0.1,1.8,1.8,85,3.07,61,0,3,8,9,4,10,0.36,7,0,0,3,0,0
Jonjo Shelvey,eng ENG,MF,25.0,39,17,21,1,8,26,30.8,18,26,5,21,67,33,0,3.0,3.0,1,23,8,0,79,0,0,0,199,20,13,60.6,1031,1480,69.7,21940,8865,378,436,86.7,421,541,77.8,213,442,48.2,3,2.5,3.7,0.5,40,159,32,8,136,30,2270.0,76.0,66.4,25,,20.0,5,,3,1.13,25.0,28.0,-3.0,-0.12,0.27,26.7,35.4,-8.7,-0.34,-0.18,1,42,9,21.4,1.67,0.36,0.02,0.11,26.7,6,0,0,2.4,2.4,0.06,-1.4,-1.4,82,3.25,57,18,3,3,0,1,7,0.28,4,2,0,1,0,0
Florian Lejeune,fr FRA,DF,26.0,34,26,8,0,14,30,46.7,16,21,15,6,80,154,0,3.0,0.0,0,17,14,2,4,0,1,0,128,82,51,61.7,826,1082,76.3,17237,7245,282,321,87.9,391,468,83.5,134,253,53.0,2,1.5,1.3,0.5,7,66,1,0,62,24,2103.0,88.0,61.5,24,,23.0,0,,4,1.0,24.0,32.0,-8.0,-0.34,-0.34,23.5,32.0,-8.6,-0.37,-0.21,0,13,2,15.4,0.56,0.09,0.0,0.0,21.0,2,0,0,0.6,0.6,0.05,-0.6,-0.6,19,0.81,15,0,1,1,1,1,3,0.13,3,0,0,0,0,0
Mohamed Diam̩,sn SEN,MF,30.0,89,33,48,8,16,62,25.8,46,44,7,37,137,30,2,3.0,0.0,0,44,16,0,6,0,0,0,141,57,55,50.9,666,825,80.7,10938,3057,333,388,85.8,237,282,84.0,60,91,65.9,0,0.7,0.5,-0.7,13,64,7,1,59,31,2041.0,66.0,59.7,23,,14.0,8,,6,1.32,26.0,27.0,-1.0,-0.04,0.41,27.5,32.5,-4.9,-0.22,0.17,2,20,6,30.0,0.88,0.26,0.1,0.33,21.0,0,0,0,1.4,1.4,0.07,0.6,0.6,39,1.72,26,0,5,2,0,6,0,0.0,0,0,0,0,0,0
Dwight Gayle,eng ENG,FW,26.0,12,2,8,2,1,21,4.8,20,16,2,14,18,17,0,3.0,0.0,0,23,28,22,5,0,0,0,45,67,91,42.4,319,444,71.8,3885,609,213,277,76.9,73,100,73.0,8,25,32.0,3,2.0,1.2,1.0,21,17,3,0,15,35,1958.0,56.0,57.3,23,,8.0,12,,1,1.06,19.0,31.0,-12.0,-0.55,-0.8,23.2,32.1,-8.8,-0.41,-0.28,6,57,21,36.8,2.62,0.97,0.11,0.29,14.3,4,0,0,8.3,8.3,0.16,-2.3,-2.3,47,2.16,36,0,1,6,4,0,6,0.28,5,0,0,1,0,0
Javier Manquillo,es ESP,DF,23.0,36,25,8,3,15,30,50.0,15,25,6,19,54,65,0,2.0,0.0,0,24,12,2,30,0,1,0,70,22,19,53.7,561,766,73.2,8676,3549,306,363,84.3,202,278,72.7,36,78,46.2,1,1.3,0.5,-0.3,11,35,7,5,39,21,1758.0,84.0,51.4,20,,18.0,1,,17,0.86,17.0,31.0,-14.0,-0.72,-1.04,16.5,32.4,-15.9,-0.81,-1.09,0,2,0,0.0,0.1,0.0,0.0,,11.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,27,1.38,18,5,1,1,2,0,2,0.1,2,0,0,0,0,0
Christian Atsu,gh GHA,FWMF,25.0,17,10,7,0,7,20,35.0,13,35,5,30,30,27,1,1.0,0.0,0,10,26,6,57,0,0,0,107,13,68,16.0,359,513,70.0,4775,1436,220,256,85.9,95,148,64.2,14,38,36.8,2,2.6,2.0,-0.6,25,21,16,3,33,28,1784.0,64.0,52.2,19,,12.0,9,,0,1.32,17.0,22.0,-5.0,-0.25,-0.09,20.6,24.4,-3.8,-0.19,0.2,2,35,12,34.3,1.77,0.61,0.06,0.17,17.4,0,0,0,4.0,4.0,0.12,-2.0,-2.0,54,2.72,38,1,8,1,5,1,6,0.3,3,0,1,1,1,0
