Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Christian Atsu,gh GHA,MF,26.0,24,9,11,4,5,16,31.3,11,13,3,10,31,16,0,2,0,0,13,25,4,42,0,0,0,86,10,58,14.7,328,435,75.4,4232,941,180,199,90.5,76,121,62.8,21,35,60.0,0,1.6,0.9,-1.6,18,17,16,7,20,28,1493.0,53.0,43.7,15,85.0,8.0,13,17.0,5,1.14,19.0,18.0,1.0,0.06,0.39,14.5,24.0,-9.5,-0.57,-0.34,1,28,14,50.0,1.69,0.84,0.04,0.07,19.6,0,0,0,2.1,2.1,0.08,-1.1,-1.1,42,2.53,32,0,1,4,5,0,5,0.3,3,0,1,1,0,0
Kenedy,br BRA,MFDF,22.0,30,11,16,3,12,29,41.4,17,10,0,10,62,24,1,1,0,0,19,22,5,28,0,0,0,110,7,15,31.8,374,533,70.2,5558,1760,213,250,85.2,105,152,69.1,31,62,50.0,1,0.7,0.9,0.3,11,32,13,7,32,25,1348.0,54.0,39.4,14,83.0,7.0,11,17.0,3,1.16,14.0,18.0,-4.0,-0.27,-0.18,15.3,22.0,-6.7,-0.45,-0.11,1,30,5,16.7,2.0,0.33,0.03,0.2,22.8,1,0,1,2.2,1.4,0.05,-1.2,-0.4,50,3.34,34,2,4,2,5,3,2,0.13,2,0,0,0,0,0
Ki Sung-yueng,kr KOR,MF,29.0,14,5,8,1,3,12,25.0,9,11,1,10,33,20,0,2,0,0,11,16,0,54,0,0,0,94,12,13,48.0,523,654,80.0,9874,2693,223,251,88.8,182,208,87.5,92,150,61.3,1,1.0,1.0,0.0,16,48,8,0,42,18,1302.0,72.0,38.1,14,86.0,10.0,4,23.0,6,1.39,17.0,20.0,-3.0,-0.21,-0.08,15.5,20.6,-5.1,-0.35,0.04,0,9,2,22.2,0.62,0.14,0.0,0.0,28.6,1,0,0,0.3,0.3,0.03,-0.3,-0.3,39,2.7,22,14,0,1,2,0,3,0.21,2,0,0,1,0,0
Javier Manquillo,es ESP,DF,24.0,27,14,11,2,9,14,64.3,5,9,1,8,44,58,0,2,0,0,13,8,1,28,0,0,0,59,19,20,48.7,340,506,67.2,4844,2114,187,235,79.6,97,159,61.0,24,59,40.7,3,0.7,0.4,2.3,9,25,12,3,26,18,1101.0,61.0,32.2,12,86.0,10.0,6,11.0,17,1.28,14.0,16.0,-2.0,-0.16,-0.01,13.4,17.6,-4.2,-0.34,0.06,0,2,1,50.0,0.16,0.08,0.0,0.0,19.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,28,2.29,22,3,0,0,3,0,3,0.25,3,0,0,0,0,0
Florian Lejeune,fr FRA,DF,27.0,25,17,7,1,11,24,45.8,13,16,5,11,46,49,0,0,0,0,11,5,0,7,0,1,0,74,31,17,64.6,433,575,75.3,9880,3403,147,178,82.6,185,218,84.9,96,156,61.5,0,0.4,0.5,-0.4,6,34,5,1,30,12,1054.0,88.0,30.8,12,88.0,11.0,0,,1,1.42,16.0,13.0,3.0,0.26,0.6,14.1,14.7,-0.5,-0.05,0.48,0,7,2,28.6,0.6,0.17,0.0,0.0,15.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,13,1.11,11,0,0,1,1,0,1,0.09,1,0,0,0,0,0
Jonjo Shelvey,eng ENG,MF,26.0,22,10,9,3,8,17,47.1,9,10,3,7,29,15,0,1,0,0,16,5,0,50,0,0,0,84,14,10,58.3,463,685,67.6,10154,4250,155,183,84.7,183,245,74.7,109,218,50.0,1,1.7,1.5,-0.7,25,74,24,4,58,16,948.0,59.0,27.7,10,85.0,8.0,6,17.0,7,0.94,11.0,13.0,-2.0,-0.19,-0.04,11.4,14.7,-3.3,-0.31,0.1,1,23,8,34.8,2.18,0.76,0.04,0.13,28.9,4,0,0,0.9,0.9,0.04,0.1,0.1,51,4.84,32,10,4,3,0,2,1,0.09,1,0,0,0,0,0
Ciaran Clark,ie IRL,DF,28.0,20,15,5,0,9,12,75.0,3,11,7,4,32,58,0,1,0,0,6,6,0,3,0,0,0,46,42,23,64.6,231,310,74.5,4123,1550,92,108,85.2,110,132,83.3,24,58,41.4,0,0.1,0.0,-0.1,2,14,1,0,12,11,858.0,78.0,25.1,9,89.0,8.0,2,29.0,9,0.91,9.0,15.0,-6.0,-0.63,-0.63,7.7,14.7,-7.0,-0.73,-0.47,3,7,3,42.9,0.73,0.31,0.43,1.0,11.5,0,0,0,0.5,0.5,0.07,2.5,2.5,6,0.63,4,0,0,1,1,0,0,0.0,0,0,0,0,0,0
Miguel AlmirÃ³n,py PAR,MF,24.0,20,7,10,3,4,10,40.0,6,14,1,13,28,5,0,0,0,0,6,17,4,21,0,0,0,61,1,9,10.0,188,263,71.5,2883,752,98,125,78.4,54,74,73.0,21,28,75.0,0,0.6,0.8,-0.6,13,21,12,7,17,10,759.0,76.0,22.2,9,82.0,4.0,1,18.0,0,1.7,11.0,11.0,0.0,0.0,0.2,11.3,9.2,2.0,0.24,0.8,0,19,8,42.1,2.25,0.95,0.0,0.0,20.1,0,0,0,1.5,1.5,0.08,-1.5,-1.5,36,4.27,27,0,1,3,3,2,3,0.36,1,0,0,1,1,0
Sean Longstaff,eng ENG,MF,20.0,17,6,11,0,9,24,37.5,15,19,4,15,27,7,0,2,0,0,7,8,0,3,1,0,0,46,8,12,40.0,239,297,80.5,4621,1139,104,123,84.6,92,100,92.0,37,59,62.7,0,0.5,0.5,-0.5,5,33,6,2,26,9,687.0,76.0,20.1,8,84.0,6.0,1,17.0,6,1.44,11.0,9.0,2.0,0.26,0.53,8.9,11.0,-2.1,-0.27,0.14,1,8,2,25.0,1.05,0.26,0.13,0.5,23.6,0,0,0,0.7,0.7,0.09,0.3,0.3,13,1.7,10,0,2,0,1,0,2,0.26,1,0,0,0,1,0
Joselu,es ESP,FW,28.0,14,4,5,5,4,9,44.4,5,5,0,5,17,15,0,1,0,0,5,7,4,3,0,0,0,22,43,40,51.8,130,212,61.3,1653,254,81,126,64.3,24,38,63.2,11,17,64.7,0,0.0,0.2,0.0,1,5,2,0,6,16,596.0,37.0,17.4,5,86.0,4.0,11,15.0,12,0.75,3.0,15.0,-12.0,-1.81,-2.0,5.2,12.7,-7.5,-1.13,-0.91,2,17,5,29.4,2.57,0.76,0.12,0.4,13.8,0,0,0,1.6,1.6,0.09,0.4,0.4,6,0.91,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Yoshinori MutÅ,jp JPN,FWMF,26.0,8,3,5,0,2,7,28.6,5,9,0,9,13,3,1,1,0,0,13,10,2,4,0,0,0,29,10,27,27.0,81,118,68.6,963,224,47,59,79.7,20,28,71.4,2,3,66.7,0,0.8,0.7,-0.8,5,5,1,0,6,17,524.0,31.0,15.3,5,75.0,1.0,12,12.0,10,0.65,6.0,10.0,-4.0,-0.69,-0.62,7.4,9.8,-2.4,-0.41,-0.03,1,6,3,50.0,1.03,0.52,0.17,0.33,10.8,0,0,0,0.9,0.9,0.15,0.1,0.1,11,1.89,10,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Jacob Murphy,eng ENG,MFDF,23.0,6,4,2,0,2,4,50.0,2,5,2,3,7,7,0,0,0,0,4,0,1,16,0,0,0,15,4,3,57.1,36,67,53.7,733,271,13,22,59.1,16,24,66.7,7,16,43.8,1,0.6,0.4,0.4,1,4,2,2,6,9,302.0,34.0,8.8,3,70.0,0.0,6,16.0,7,0.22,1.0,8.0,-7.0,-2.09,-2.11,3.4,4.6,-1.2,-0.35,0.04,0,2,1,50.0,0.6,0.3,0.0,0.0,30.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2,0.59,2,0,0,0,0,0,1,0.3,1,0,0,0,0,0
Antonio Barreca,it ITA,DF,23.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,3,33.3,18,16,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,1,5.0,5.0,0.1,0,,0.0,1,4.0,2,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.2,-0.2,-2.81,-2.44,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26.9,711,356,291,64,241,565,42.7,324,472,135,337,1217,1204,16,57,2,0,423,332,59,711,2,6,1,2034,785,914,46.2,10774,15231,70.7,197303,79472,4812,5773,83.4,3758,4863,77.3,1584,3269,48.5,33,27.4,23.4,5.6,324,792,255,99,766,38,3420.0,90.0,100.0,418,86.0,,99,17.0,167,1.18,42.0,48.0,-6.0,-0.16,,39.1,53.6,-14.5,-0.38,,41,443,136,30.7,11.66,3.58,0.09,0.29,18.8,16,1,3,39.1,36.7,0.09,1.9,3.3,784,20.63,571,77,33,43,42,18,68,1.79,46,5,4,10,2,1
