Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Laurent Depoitre,be BEL,FW,28.0,14,4,8,2,3,21,14.3,18,15,3,12,25,36,0,1.0,0.0,0,28,16,6,3,1,0,0,65,126,142,47.0,275,486,56.6,3620,526,146,247,59.1,85,150,56.7,11,17,64.7,1,1.4,0.4,-0.4,14,20,0,0,16,33,1820.0,55.0,53.2,18,,15.0,15,,2,0.82,14.0,34.0,-20.0,-0.99,-0.43,14.7,26.8,-12.0,-0.59,-0.3,6,25,12,48.0,1.24,0.59,0.24,0.5,13.5,0,0,0,3.7,3.7,0.15,2.3,2.3,32,1.58,22,0,3,3,3,1,6,0.3,2,0,2,1,1,0
Elias Kachunga,cd COD,FWMF,25.0,30,13,12,5,8,19,42.1,11,14,1,13,32,9,0,1.0,0.0,0,20,32,5,24,0,0,0,79,17,35,32.7,231,368,62.8,2834,483,163,212,76.9,54,89,60.7,5,17,29.4,1,0.6,0.5,0.4,10,6,6,1,12,19,1329.0,70.0,38.9,17,,6.0,2,,1,1.11,12.0,23.0,-11.0,-0.74,0.07,12.3,18.6,-6.3,-0.43,0.04,1,12,5,41.7,0.81,0.34,0.08,0.2,11.1,0,0,0,1.9,1.9,0.16,-0.9,-0.9,29,1.96,23,0,3,0,3,0,1,0.07,1,0,0,0,0,0
Collin Quaner,de GER,FWMF,26.0,22,8,8,6,9,26,34.6,17,24,4,20,33,15,0,4.0,0.0,0,14,26,3,22,0,0,0,91,14,25,35.9,319,449,71.0,4115,1105,202,261,77.4,89,122,73.0,5,22,22.7,4,2.5,1.5,1.5,17,26,7,3,25,26,1280.0,49.0,37.4,13,,8.0,13,,5,1.08,13.0,23.0,-10.0,-0.7,0.14,14.3,21.4,-7.1,-0.5,-0.08,0,16,2,12.5,1.13,0.14,0.0,0.0,15.8,0,0,0,1.4,1.4,0.09,-1.4,-1.4,39,2.74,27,1,5,3,3,0,5,0.35,4,0,0,1,0,0
Scott Malone,eng ENG,DF,26.0,39,27,10,2,17,24,70.8,7,12,2,10,65,43,2,3.0,0.0,0,19,9,0,46,0,1,0,89,13,13,50.0,492,708,69.5,8982,3413,209,257,81.3,211,284,74.3,60,120,50.0,1,0.5,0.5,0.5,10,32,10,3,46,22,1119.0,51.0,32.7,12,,6.0,10,,12,0.82,8.0,23.0,-15.0,-1.21,-0.62,9.5,14.0,-4.5,-0.36,0.13,0,8,2,25.0,0.64,0.16,0.0,0.0,20.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5,23,1.85,19,1,1,1,0,1,1,0.08,1,0,0,0,0,0
Alex Pritchard,eng ENG,MFFW,24.0,18,2,6,10,10,21,47.6,11,6,1,5,23,11,0,1.0,0.0,0,5,23,1,48,1,0,0,69,2,19,9.5,259,393,65.9,4251,1189,142,173,82.1,77,116,66.4,27,65,41.5,1,1.9,1.2,-0.9,20,26,12,3,32,14,998.0,71.0,29.2,12,,6.0,2,,2,0.93,8.0,12.0,-4.0,-0.36,0.61,9.4,13.3,-3.9,-0.35,0.14,1,20,4,20.0,1.8,0.36,0.05,0.25,21.7,3,0,0,1.2,1.2,0.06,-0.2,-0.2,38,3.43,22,6,3,3,4,0,3,0.27,1,0,1,0,1,0
Danny Williams,us USA,MF,28.0,23,13,9,1,7,22,31.8,15,12,2,10,49,27,0,2.0,0.0,0,17,16,2,8,0,0,0,84,9,19,32.1,322,426,75.6,5595,1143,140,156,89.7,143,183,78.1,29,58,50.0,0,0.2,0.4,-0.2,4,29,4,2,11,20,1124.0,56.0,32.9,11,,9.0,9,,6,1.15,10.0,22.0,-12.0,-0.96,-0.26,8.9,18.1,-9.1,-0.73,-0.41,0,12,2,16.7,0.96,0.16,0.0,0.0,24.8,0,0,0,0.4,0.4,0.03,-0.4,-0.4,12,0.96,9,0,0,1,1,1,1,0.08,1,0,0,0,0,0
Terence Kongolo,nl NED,DF,23.0,33,19,13,1,14,22,63.6,8,12,6,6,65,71,0,0.0,0.0,0,5,10,0,10,0,0,0,50,27,13,67.5,263,390,67.4,4459,2277,128,157,81.5,110,154,71.4,17,51,33.3,0,0.1,0.3,-0.1,3,32,3,2,26,13,1049.0,81.0,30.7,11,,11.0,2,,1,0.92,7.0,14.0,-7.0,-0.6,0.27,8.9,15.6,-6.7,-0.57,-0.17,0,2,0,0.0,0.17,0.0,0.0,,15.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3,12,1.03,8,0,1,1,2,0,0,0.0,0,0,0,0,0,0
Philip Billing,dk DEN,MF,21.0,25,11,11,3,8,22,36.4,14,17,1,16,43,19,0,3.0,0.0,0,14,6,1,12,0,1,0,73,25,12,67.6,285,394,72.3,4747,1279,142,168,84.5,107,140,76.4,25,62,40.3,0,0.5,0.4,-0.5,2,22,4,2,18,16,764.0,48.0,22.3,8,,4.0,8,,4,1.0,7.0,11.0,-4.0,-0.47,0.41,7.2,11.3,-4.1,-0.48,-0.04,0,7,2,28.6,0.82,0.24,0.0,0.0,29.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,7,0.82,5,0,1,0,0,1,0,0.0,0,0,0,0,0,0
Joe Lolley,eng ENG,FWMF,24.0,2,1,1,0,0,2,0.0,2,0,0,0,5,2,1,1.0,0.0,0,3,2,0,8,0,0,0,13,3,4,42.9,52,73,71.2,805,267,28,35,80.0,21,28,75.0,1,7,14.3,0,0.1,0.1,-0.1,1,9,1,1,6,6,221.0,37.0,6.5,2,,0.0,4,,2,1.0,2.0,5.0,-3.0,-1.22,-0.46,1.5,2.2,-0.7,-0.28,0.18,1,3,3,100.0,1.22,1.22,0.33,0.33,20.0,0,0,0,0.1,0.1,0.04,0.9,0.9,6,2.44,4,0,2,0,0,0,1,0.41,0,0,1,0,0,0
Abdelhamid Sabiri,ma MAR,MF,20.0,5,2,0,3,1,7,14.3,6,4,0,4,6,2,0,1.0,0.0,0,4,4,1,1,0,0,0,8,14,12,53.8,66,100,66.0,907,230,40,58,69.0,17,25,68.0,4,9,44.4,1,0.1,0.1,0.9,3,9,2,0,7,5,220.0,44.0,6.4,2,,0.0,3,,8,0.4,1.0,5.0,-4.0,-1.64,-0.91,1.6,3.0,-1.4,-0.58,-0.14,0,5,0,0.0,2.05,0.0,0.0,,15.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,8,3.27,7,0,0,0,1,0,1,0.41,1,0,0,0,0,0
Martin Cranie,eng ENG,DF,30.0,3,2,1,0,0,1,0.0,1,3,3,0,4,10,0,0.0,0.0,0,0,0,0,0,0,0,0,9,2,2,50.0,72,91,79.1,1561,536,16,19,84.2,45,51,88.2,11,20,55.0,0,0.0,0.0,0.0,0,5,0,0,2,3,180.0,60.0,5.3,2,,1.0,1,,13,1.0,0.0,7.0,-7.0,-3.5,-2.86,1.3,4.8,-3.5,-1.75,-1.37,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kasey Palmer,jm JAM,MFFW,20.0,6,2,3,1,2,8,25.0,6,5,0,5,6,2,0,2.0,0.0,0,4,1,0,4,0,0,0,8,2,7,22.2,43,58,74.1,650,193,27,32,84.4,13,18,72.2,2,5,40.0,0,0.1,0.3,-0.1,1,4,2,0,4,4,170.0,43.0,5.0,1,,0.0,3,,0,1.75,2.0,2.0,0.0,0.0,0.83,1.9,1.8,0.1,0.04,0.52,0,2,1,50.0,1.06,0.53,0.0,0.0,22.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,5,2.65,2,1,1,1,0,0,0,0.0,0,0,0,0,0,0
Dean Whitehead,eng ENG,MF,35.0,0,0,0,0,0,1,0.0,1,1,0,1,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,5,1,0,100.0,43,51,84.3,808,221,15,17,88.2,25,30,83.3,3,4,75.0,0,0.0,0.0,0.0,0,3,0,0,0,4,71.0,18.0,2.1,0,,0.0,4,,6,0.0,1.0,3.0,-2.0,-2.54,-1.78,1.0,1.4,-0.4,-0.51,-0.06,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1,1.27,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Michael Hefele,de GER,DF,26.0,0,0,0,0,0,0,,0,0,0,0,1,5,0,1.0,0.0,0,2,0,0,0,0,1,0,1,1,0,100.0,8,10,80.0,116,30,6,6,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,2,33.0,17.0,1.0,0,,0.0,2,,9,1.5,0.0,1.0,-1.0,-2.73,-1.96,0.0,1.0,-1.0,-2.85,-2.42,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26.4,743,354,306,83,249,630,39.5,381,453,118,335,1261,1129,22,,,2,397,363,67,765,2,6,1,2141,788,800,49.6,12036,16822,71.5,222821,88700,5283,6357,83.1,4787,6127,78.1,1549,3270,47.4,19,23.7,19.8,-4.7,260,937,180,77,816,38,3420.0,90.0,100.0,418,,,112,0.0,154,0.97,28.0,58.0,-30.0,-0.79,,31.3,48.5,-17.2,-0.45,,25,360,106,29.4,9.47,2.79,0.06,0.22,18.8,14,2,2,31.3,29.8,0.08,-6.3,-6.8,621,16.34,444,52,38,35,36,16,45,1.18,29,4,6,3,3,0
