Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Oliver Burke,sct SCO,FW,23.0,16,6,9,1,5,24,20.8,19,24,0,24,18,6,0,2,0,0,23,6,3,10,0,0,0,29,30,46,39.5,178,262,67.9,1997,309,114,150,76.0,31,45,68.9,4,8,50.0,1,2.2,1.5,-1.2,15,5,10,0,13,25,1269.0,51.0,37.1,14,67.0,1.0,11,30.0,8,0.64,6.0,21.0,-15.0,-1.06,0.11,9.9,22.1,-12.1,-0.86,-0.13,1,25,6,24.0,1.77,0.43,0.04,0.17,15.6,0,0,0,2.1,2.1,0.08,-1.1,-1.1,26,1.85,18,0,4,3,0,1,1,0.07,1,0,0,0,0,0
Sander Berge,no NOR,MF,22.0,16,8,5,3,7,15,46.7,8,11,2,9,20,18,0,4,0,0,14,4,2,23,0,0,0,68,16,15,51.6,378,464,81.5,5944,1357,198,229,86.5,138,154,89.6,28,45,62.2,1,1.1,0.8,-0.1,13,28,4,2,24,15,1120.0,75.0,32.7,13,82.0,11.0,2,30.0,0,0.07,6.0,23.0,-17.0,-1.37,-0.35,12.0,19.7,-7.8,-0.62,0.23,1,9,1,11.1,0.72,0.08,0.0,0.0,18.0,0,1,1,1.2,0.4,0.05,-0.2,-0.4,23,1.85,20,0,2,1,0,0,1,0.08,0,0,0,1,0,0
Oliver McBurnie,sct SCO,FW,24.0,15,7,7,1,5,17,29.4,12,10,3,7,21,30,0,2,0,0,24,26,4,4,1,0,0,32,139,120,53.7,253,447,56.6,3038,853,165,257,64.2,55,107,51.4,8,11,72.7,0,1.1,1.0,-1.1,15,24,14,0,36,23,1324.0,58.0,38.7,12,85.0,10.0,11,27.0,1,0.3,8.0,27.0,-19.0,-1.29,-0.26,15.4,26.2,-10.8,-0.73,0.07,1,30,12,40.0,2.04,0.82,0.03,0.08,12.5,0,0,0,3.9,3.9,0.13,-2.9,-2.9,31,2.11,23,0,0,5,3,0,2,0.14,0,0,0,1,1,0
Rhian Brewster,eng ENG,FWMF,20.0,8,1,4,3,1,13,7.7,12,15,2,13,13,5,0,1,0,0,18,13,4,16,0,0,0,35,14,50,21.9,157,225,69.8,2231,556,98,125,78.4,37,54,68.5,12,22,54.5,0,1.6,0.6,-1.6,11,15,4,3,15,27,1128.0,42.0,33.0,12,66.0,2.0,15,22.0,7,0.63,7.0,16.0,-9.0,-0.72,0.62,12.2,16.9,-4.7,-0.37,0.6,0,24,7,29.2,1.91,0.56,0.0,0.0,21.8,1,0,0,1.8,1.8,0.07,-1.8,-1.8,23,1.83,16,0,0,4,3,0,0,0.0,0,0,0,0,0,0
Jayden Bogle,eng ENG,DFMF,20.0,33,21,10,2,20,39,51.3,19,14,4,10,47,22,0,2,0,0,15,9,1,12,0,0,0,64,18,22,45.0,296,387,76.5,3834,1410,189,214,88.3,71,96,74.0,8,28,28.6,0,0.2,0.4,-0.2,4,14,9,1,21,16,1110.0,69.0,32.5,12,85.0,9.0,4,24.0,7,0.81,9.0,20.0,-11.0,-0.89,0.35,10.8,20.2,-9.4,-0.76,0.03,2,17,7,41.2,1.38,0.57,0.12,0.29,13.1,0,0,0,1.9,1.9,0.11,0.1,0.1,12,0.97,7,2,2,0,1,0,0,0.0,0,0,0,0,0,0
Kean Bryan,eng ENG,DF,23.0,20,9,11,0,9,19,47.4,10,16,10,6,33,39,1,1,0,0,13,2,0,17,0,0,1,54,31,19,62.0,333,486,68.5,5901,2652,151,179,84.4,140,183,76.5,32,94,34.0,0,0.6,0.1,-0.6,4,24,3,2,15,13,1004.0,77.0,29.4,12,82.0,8.0,1,24.0,10,0.69,5.0,17.0,-12.0,-1.08,0.08,7.8,21.8,-14.0,-1.25,-0.67,1,3,1,33.3,0.27,0.09,0.33,1.0,7.7,0,0,0,0.9,0.9,0.31,0.1,0.1,7,0.63,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jack Robinson,eng ENG,DF,26.0,14,8,5,1,6,11,54.5,5,10,4,6,23,42,0,3,0,0,10,6,0,6,1,1,0,53,32,29,52.5,364,470,77.4,6071,2267,165,185,89.2,161,196,82.1,24,61,39.3,1,0.6,0.7,0.4,1,20,1,0,16,11,877.0,80.0,25.6,9,86.0,8.0,2,51.0,7,0.73,7.0,11.0,-4.0,-0.41,0.97,10.0,14.6,-4.6,-0.48,0.41,0,6,0,0.0,0.62,0.0,0.0,,12.9,0,0,0,0.7,0.7,0.12,-0.7,-0.7,9,0.92,6,0,1,1,1,0,4,0.41,2,0,1,0,1,0
Billy Sharp,eng ENG,FW,34.0,5,0,3,2,2,9,22.2,7,2,0,2,5,2,0,1,0,0,14,14,11,8,0,0,0,14,11,28,28.2,85,123,69.1,1003,155,53,69,76.8,24,33,72.7,0,1,0.0,0,0.5,0.6,-0.5,4,1,3,0,4,16,735.0,46.0,21.5,7,82.0,4.0,9,18.0,9,0.63,6.0,15.0,-9.0,-1.1,0.04,8.3,14.4,-6.1,-0.74,0.04,3,7,4,57.1,0.86,0.49,0.14,0.25,16.5,0,2,2,3.0,1.5,0.21,0.0,-0.5,6,0.73,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Max Lowe,eng ENG,DF,23.0,26,18,6,2,9,21,42.9,12,12,4,8,31,11,0,1,0,0,10,3,0,22,0,0,0,25,5,20,20.0,147,221,66.5,2013,664,90,111,81.1,42,64,65.6,7,21,33.3,0,0.1,0.2,-0.1,2,15,5,1,14,8,550.0,69.0,16.1,7,72.0,4.0,1,47.0,25,0.5,5.0,10.0,-5.0,-0.82,0.37,6.5,10.1,-3.6,-0.59,0.23,0,2,1,50.0,0.33,0.16,0.0,0.0,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,8,1.31,4,0,2,1,1,0,0,0.0,0,0,0,0,0,0
Phil Jagielka,eng ENG,DF,37.0,5,4,0,1,2,7,28.6,5,11,5,6,15,26,2,1,1,0,8,1,0,1,0,0,1,36,13,11,54.2,148,209,70.8,3289,1135,39,49,79.6,76,98,77.6,30,51,58.8,0,0.0,0.0,0.0,0,7,0,0,4,10,526.0,53.0,15.4,6,77.0,3.0,4,17.0,21,1.2,4.0,12.0,-8.0,-1.37,-0.28,4.4,11.0,-6.6,-1.13,-0.41,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Daniel Jebbison,eng ENG,FW,17.0,6,1,3,2,3,7,42.9,4,6,1,5,7,0,0,0,0,0,6,4,1,1,0,0,0,15,5,21,19.2,24,36,66.7,271,32,12,17,70.6,4,6,66.7,1,2,50.0,0,0.0,0.1,0.0,1,2,0,0,1,4,284.0,71.0,8.3,3,86.0,2.0,1,26.0,0,1.5,2.0,2.0,0.0,0.0,1.23,3.0,4.6,-1.6,-0.51,0.29,1,4,2,50.0,1.27,0.63,0.25,0.5,11.7,0,0,0,1.1,1.1,0.29,-0.1,-0.1,3,0.95,1,0,0,1,1,0,0,0.0,0,0,0,0,0,0
Lys Mousset,fr FRA,FWMF,24.0,1,0,0,1,0,2,0.0,2,1,0,1,1,1,1,0,0,0,7,2,4,1,0,0,0,5,4,10,28.6,34,46,73.9,476,74,19,22,86.4,11,14,78.6,2,3,66.7,0,0.3,0.1,-0.3,3,4,0,0,2,11,296.0,27.0,8.7,2,61.0,0.0,9,19.0,8,0.0,1.0,10.0,-9.0,-2.74,-1.76,3.7,7.4,-3.7,-1.12,-0.37,0,4,2,50.0,1.22,0.61,0.0,0.0,16.8,0,0,0,1.0,1.0,0.24,-1.0,-1.0,6,1.82,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Jack O'Connell,eng ENG,DF,26.0,3,1,1,1,0,1,0.0,1,4,3,1,5,7,0,0,0,0,0,0,1,1,0,0,0,8,5,10,33.3,56,79,70.9,1001,412,22,23,95.7,25,33,75.8,8,17,47.1,0,0.0,0.0,0.0,0,4,1,0,3,2,180.0,90.0,5.3,2,90.0,2.0,0,,0,0.0,0.0,3.0,-3.0,-1.5,-0.39,2.0,2.4,-0.4,-0.22,0.59,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Iliman Ndiaye,sn SEN,MF,20.0,1,0,1,0,1,1,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,3,3,100.0,34,11,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,1,12.0,12.0,0.4,0,,0.0,1,12.0,6,0.0,0.0,1.0,-1.0,-7.5,-6.39,0.0,1.4,-1.4,-10.82,-10.07,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Antwoine Hackford,eng ENG,DF,16.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1,1,100.0,2,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,1,11.0,11.0,0.3,0,,0.0,1,11.0,0,0.0,0.0,0.0,0.0,0.0,1.14,0.2,0.1,0.1,0.91,1.69,0,1,0,0.0,8.18,0.0,0.0,,10.9,0,0,0,0.1,0.1,0.1,-0.1,-0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Femi Seriki,eng ENG,MF,18.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,1,1.0,1.0,0.0,0,,0.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.78,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26.7,634,325,239,70,294,720,40.8,426,442,152,290,985,839,19,73,3,0,459,293,73,666,3,4,3,1802,718,798,47.4,12146,16264,74.7,207510,78610,6006,6905,87.0,4331,5303,81.7,1277,2840,45.0,13,24.9,22.0,-11.9,253,946,253,65,821,38,3420.0,90.0,100.0,418,83.0,315.0,103,25.0,198,0.61,20.0,63.0,-43.0,-1.13,,32.6,62.2,-29.6,-0.78,,19,319,92,28.8,8.39,2.42,0.05,0.17,17.7,5,3,4,32.6,29.5,0.09,-13.6,-13.5,566,14.89,435,48,27,28,23,5,27,0.71,16,3,2,3,3,0
