Player,Nation,Pos,Age,90s,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses
Conor Coady,eng ENG,DF,25,38.0,1427,1700,83.9,34672,14770,264,287,92.0,773,838,92.2,374,546,68.5,0,0.0,0.4,0.0,1,104,5,0,66
Rui PatrÃ­cio,pt POR,GK,30,37.0,511,864,59.1,18307,15070,51,52,98.1,160,164,97.6,298,645,46.2,0,0.0,0.0,0.0,0,3,0,0,0
Willy Boly,ci CIV,DF,27,35.2,1392,1725,80.7,23974,9660,645,713,90.5,589,679,86.7,127,257,49.4,0,2.1,0.7,-2.1,11,107,5,0,95
RaÃºl JimÃ©nez,mx MEX,FW,27,34.6,784,1097,71.5,10977,2008,429,536,80.0,213,293,72.7,54,90,60.0,7,6.3,4.0,+0.7,42,48,30,5,68
Matt Doherty,ie IRL,DFMF,26,34.9,1324,1838,72.0,20796,8975,690,826,83.5,476,649,73.3,90,191,47.1,5,5.1,4.2,-0.1,37,85,30,8,129
JoÃ£o Moutinho,pt POR,MF,31,33.7,1649,2072,79.6,30933,9040,648,724,89.5,710,825,86.1,234,413,56.7,8,6.5,6.0,+1.5,84,161,41,15,164
Ryan Bennett,eng ENG,DF,28,34.0,1090,1405,77.6,20169,6038,418,479,87.3,511,603,84.7,129,264,48.9,0,1.0,0.5,-1.0,9,100,2,0,63
RÃºben Neves,pt POR,MF,21,33.4,1583,1977,80.1,33440,9555,512,587,87.2,743,840,88.5,295,455,64.8,3,1.9,1.6,+1.1,23,192,16,4,142
Jonny Castro,es ESP,DFMF,24,30.8,1099,1405,78.2,14776,4550,692,777,89.1,308,398,77.4,43,92,46.7,1,1.6,1.3,-0.6,31,36,22,7,43
Diogo Jota,pt POR,FWMF,21,26.2,574,789,72.8,8078,1775,327,395,82.8,170,243,70.0,30,47,63.8,5,5.3,3.8,-0.3,27,45,18,3,48
Leander Dendoncker,be BEL,MF,23,16.3,484,615,78.7,6802,1544,266,306,86.9,155,192,80.7,24,34,70.6,0,1.2,0.9,-1.2,7,26,4,1,32
HÃ©lder Costa,ao ANG,FWMF,24,14.9,364,493,73.8,4817,914,217,252,86.1,107,143,74.8,13,33,39.4,2,2.2,1.1,-0.2,17,16,16,1,27
Romain SaÃ¯ss,ma MAR,MFDF,28,12.8,578,760,76.1,10960,3717,209,253,82.6,272,335,81.2,73,120,60.8,0,0.6,0.3,-0.6,4,51,3,2,43
Adama TraorÃ©,es ESP,FWMF,22,10.0,228,326,69.9,3292,976,129,158,81.6,70,96,72.9,13,22,59.1,1,2.2,2.3,-1.2,17,12,17,11,23
RÃºben Vinagre,pt POR,DFMF,19,7.9,296,420,70.5,4215,1552,182,214,85.0,89,133,66.9,14,34,41.2,0,0.8,0.6,-0.8,6,19,9,6,22
Ivan Cavaleiro,pt POR,FWMF,24,7.7,246,357,68.9,3400,811,142,173,82.1,53,89,59.6,22,40,55.0,1,1.5,1.4,-0.5,19,16,14,9,21
Morgan Gibbs-White,eng ENG,MFFW,18,7.4,272,336,81.0,4750,969,119,140,85.0,105,122,86.1,35,46,76.1,1,1.3,1.0,-0.3,11,28,8,1,18
John Ruddy,eng ENG,GK,31,1.0,15,21,71.4,539,456,1,1,100.0,3,3,100.0,11,17,64.7,0,0.0,0.0,0.0,0,0,0,0,0
LÃ©o Bonatini,br BRA,FW,24,1.5,45,61,73.8,665,140,25,27,92.6,12,16,75.0,5,7,71.4,1,0.1,0.1,+0.9,2,4,2,0,5
Max Kilman,eng ENG,DF,21,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Will Norris,eng ENG,GK,24,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Squad Total,,,26.1,38.0,13961,18261,76.5,255562,92520,5966,6900,86.5,5519,6661,82.9,1884,3353,56.2,35,39.4,30.3,-4.4,348,1053,242,73,1009
