Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Conor Coady,eng ENG,DF,25.0,31,26,5,0,17,32,53.1,15,35,27,8,61,133,3,5,0,0,10,9,0,0,0,0,3,251,32,23,58.2,1427,1700,83.9,34672,14770,264,287,92.0,773,838,92.2,374,546,68.5,0,0.0,0.4,0.0,1,104,5,0,66,38,3420.0,90.0,100.0,38,90.0,38.0,0,,0,1.5,47.0,46.0,1.0,0.03,,52.1,42.1,10.1,0.26,,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,21,0.55,20,0,0,0,0,1,2,0.05,2,0,0,0,0,0
Willy Boly,ci CIV,DF,27.0,85,49,34,2,34,56,60.7,22,55,32,23,157,177,6,2,1,0,29,14,3,0,0,0,0,213,136,62,68.7,1392,1725,80.7,23974,9660,645,713,90.5,589,679,86.7,127,257,49.4,0,2.1,0.7,-2.1,11,107,5,0,95,36,3167.0,88.0,92.6,36,88.0,34.0,0,,0,1.42,40.0,41.0,-1.0,-0.03,-0.74,47.9,38.0,9.9,0.28,0.23,4,24,6,25.0,0.68,0.17,0.17,0.67,11.0,0,0,0,3.6,3.6,0.15,0.4,0.4,29,0.82,25,0,0,3,0,1,0,0.0,0,0,0,0,0,0
Ra̼l Jim̩nez,mx MEX,FW,27.0,30,5,17,8,6,23,26.1,17,25,3,22,56,40,0,4,0,0,42,38,33,27,1,0,0,139,77,104,42.5,784,1097,71.5,10977,2008,429,536,80.0,213,293,72.7,54,90,60.0,7,6.3,4.0,0.7,42,48,30,5,68,38,3111.0,82.0,91.0,36,85.0,20.0,2,31.0,0,1.5,44.0,40.0,4.0,0.12,0.99,47.0,37.6,9.3,0.27,0.05,13,109,31,28.4,3.15,0.9,0.1,0.35,14.6,0,2,2,15.1,13.6,0.13,-2.1,-2.6,88,2.55,70,0,7,7,3,1,11,0.32,9,0,0,1,1,0
Matt Doherty,ie IRL,DFMF,26.0,67,48,15,4,35,58,60.3,23,49,7,42,127,107,2,5,0,0,30,21,3,62,2,0,1,166,145,101,58.9,1324,1838,72.0,20796,8975,690,826,83.5,476,649,73.3,90,191,47.1,5,5.1,4.2,-0.1,37,85,30,8,129,38,3144.0,83.0,91.9,35,87.0,29.0,3,30.0,0,1.5,41.0,41.0,0.0,0.0,-0.33,46.0,38.2,7.9,0.23,-0.48,4,46,17,37.0,1.32,0.49,0.09,0.24,12.9,0,0,0,4.4,4.4,0.1,-0.4,-0.4,95,2.72,70,6,3,8,6,2,10,0.29,7,0,1,0,2,0
Jọo Moutinho,pt POR,MF,31.0,113,50,56,7,44,126,34.9,82,56,11,45,153,50,0,4,0,0,53,37,0,196,0,1,0,264,19,40,32.2,1649,2072,79.6,30933,9040,648,724,89.5,710,825,86.1,234,413,56.7,8,6.5,6.0,1.5,84,161,41,15,164,38,3032.0,80.0,88.7,35,85.0,24.0,3,21.0,0,1.5,41.0,39.0,2.0,0.06,0.29,44.7,36.8,7.9,0.23,-0.28,1,18,3,16.7,0.53,0.09,0.06,0.33,26.2,1,0,0,0.7,0.7,0.04,0.3,0.3,141,4.18,90,46,0,1,1,3,15,0.45,9,6,0,0,0,0
Ryan Bennett,eng ENG,DF,28.0,58,41,16,1,25,41,61.0,16,42,21,21,101,131,1,12,0,0,37,11,1,1,0,2,0,133,119,93,56.1,1090,1405,77.6,20169,6038,418,479,87.3,511,603,84.7,129,264,48.9,0,1.0,0.5,-1.0,9,100,2,0,63,34,3060.0,90.0,89.5,34,90.0,34.0,0,,2,1.65,44.0,38.0,6.0,0.18,1.43,49.5,36.5,13.0,0.38,1.12,1,15,4,26.7,0.44,0.12,0.07,0.25,12.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,26,0.76,19,4,0,2,0,1,0,0.0,0,0,0,0,0,0
R̼ben Neves,pt POR,MF,21.0,75,33,36,6,27,83,32.5,56,57,18,39,148,46,3,8,0,0,37,18,0,26,0,0,0,286,28,35,44.4,1583,1977,80.1,33440,9555,512,587,87.2,743,840,88.5,295,455,64.8,3,1.9,1.6,1.1,23,192,16,4,142,35,3007.0,86.0,87.9,34,88.0,31.0,1,17.0,2,1.43,41.0,43.0,-2.0,-0.06,-0.71,45.9,36.7,9.2,0.28,0.1,4,72,14,19.4,2.15,0.42,0.03,0.14,29.3,11,2,2,4.0,2.4,0.03,0.0,-0.4,67,2.01,59,1,1,6,0,0,9,0.27,9,0,0,0,0,0
Jonny Castro,es ESP,DFMF,24.0,79,42,33,4,31,60,51.7,29,45,8,37,139,64,2,6,0,0,23,34,5,46,1,0,0,171,38,50,43.2,1099,1405,78.2,14776,4550,692,777,89.1,308,398,77.4,43,92,46.7,1,1.6,1.3,-0.6,31,36,22,7,43,33,2771.0,84.0,81.0,32,86.0,22.0,1,14.0,1,1.45,37.0,39.0,-2.0,-0.06,-0.48,39.1,34.3,4.8,0.16,-0.57,1,25,7,28.0,0.81,0.23,0.04,0.14,20.0,0,0,0,2.0,2.0,0.08,-1.0,-1.0,71,2.31,50,1,9,3,5,3,7,0.23,2,0,1,1,3,0
Diogo Jota,pt POR,FWMF,21.0,28,11,11,6,10,38,26.3,28,20,1,19,41,11,0,11,0,0,42,55,6,36,0,0,0,138,27,68,28.4,574,789,72.8,8078,1775,327,395,82.8,170,243,70.0,30,47,63.8,5,5.3,3.8,-0.3,27,45,18,3,48,33,2355.0,71.0,68.9,29,78.0,9.0,4,24.0,0,1.61,32.0,29.0,3.0,0.11,0.28,35.1,27.1,8.0,0.31,0.13,9,58,24,41.4,2.22,0.92,0.16,0.38,14.0,0,0,0,8.8,8.8,0.15,0.2,0.2,89,3.4,53,1,12,10,13,0,12,0.46,5,0,2,3,2,0
Leander Dendoncker,be BEL,MF,23.0,53,25,25,3,16,47,34.0,31,35,6,29,76,34,1,1,0,0,11,11,1,7,0,0,0,92,56,53,51.4,484,615,78.7,6802,1544,266,306,86.9,155,192,80.7,24,34,70.6,0,1.2,0.9,-1.2,7,26,4,1,32,19,1467.0,77.0,42.9,17,85.0,13.0,2,13.0,8,1.79,22.0,21.0,1.0,0.06,0.06,22.4,20.4,2.0,0.12,-0.25,2,17,10,58.8,1.04,0.61,0.12,0.2,14.1,0,0,0,3.4,3.4,0.21,-1.4,-1.4,27,1.66,22,0,1,3,1,0,1,0.06,1,0,0,0,0,0
