Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Mathew Ryan,au AUS,GK,26,34,34,3060,34.0,55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,0.0
David Button,eng ENG,GK,29,4,4,360,4.0,5,1.25,18,13,83.3,1,1,2,1,25.0,2,2,0,0,0.0
Squad Total,,,27.4,38,38,3420,38.0,60,1.58,170,110,70.6,9,9,20,7,18.4,10,10,0,0,0.0
