Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Jamaal Lascelles,eng ENG,DF,23,32.5,3,12,8,66.7,0.37,0.25,0.25,0.38,12.2,0,0,0,1.1,1.1,0.09,+1.9,+1.9
Matt Ritchie,sct SCO,MFFW,27,31.2,3,59,16,27.1,1.89,0.51,0.05,0.19,22.9,6,0,0,3.1,3.1,0.05,-0.1,-0.1
DeAndre Yedlin,us USA,DF,24,31.6,0,6,0,0.0,0.19,0.00,0.00,,26.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Ayoze PÃ©rez,es ESP,MFFW,24,27.7,8,60,23,38.3,2.17,0.83,0.13,0.35,16.7,1,0,0,6.2,6.2,0.10,+1.8,+1.8
Jonjo Shelvey,eng ENG,MF,25,25.2,1,42,9,21.4,1.67,0.36,0.02,0.11,26.7,6,0,0,2.4,2.4,0.06,-1.4,-1.4
Florian Lejeune,fr FRA,DF,26,23.4,0,13,2,15.4,0.56,0.09,0.00,0.00,21.0,2,0,0,0.6,0.6,0.05,-0.6,-0.6
Mohamed DiamÃ©,sn SEN,MF,30,22.7,2,20,6,30.0,0.88,0.26,0.10,0.33,21.0,0,0,0,1.4,1.4,0.07,+0.6,+0.6
Dwight Gayle,eng ENG,FW,26,21.8,6,57,21,36.8,2.62,0.97,0.11,0.29,14.3,4,0,0,8.3,8.3,0.16,-2.3,-2.3
Javier Manquillo,es ESP,DF,23,19.5,0,2,0,0.0,0.10,0.00,0.00,,11.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Christian Atsu,gh GHA,FWMF,25,19.8,2,35,12,34.3,1.77,0.61,0.06,0.17,17.4,0,0,0,4.0,4.0,0.12,-2.0,-2.0
Ciaran Clark,ie IRL,DF,27,19.4,2,11,3,27.3,0.57,0.15,0.18,0.67,8.7,0,0,0,1.7,1.7,0.16,+0.3,+0.3
Joselu,es ESP,FW,27,19.0,4,46,16,34.8,2.42,0.84,0.09,0.25,15.9,0,0,1,6.0,5.2,0.11,-2.0,-1.2
Paul Dummett,wls WAL,DF,25,17.8,0,4,0,0.0,0.22,0.00,0.00,,14.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Rob Elliot,ie IRL,GK,31,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Isaac Hayden,eng ENG,MF,22,15.3,1,14,9,64.3,0.92,0.59,0.07,0.11,22.1,0,0,0,1.0,1.0,0.07,0.0,0.0
Mikel Merino,es ESP,MF,21,15.0,1,16,6,37.5,1.07,0.40,0.06,0.17,25.5,0,0,0,0.6,0.6,0.04,+0.4,+0.4
Jacob Murphy,eng ENG,MFFW,22,12.8,1,22,7,31.8,1.72,0.55,0.05,0.14,22.3,0,0,0,1.8,1.8,0.08,-0.8,-0.8
Kenedy,br BRA,MFDF,21,11.4,2,23,5,21.7,2.02,0.44,0.09,0.40,21.6,1,0,0,2.4,2.4,0.10,-0.4,-0.4
Martin DÃºbravka,sk SVK,GK,28,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Karl Darlow,eng ENG,GK,26,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Chancel Mbemba,cd COD,DF,22,7.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rolando Aarons,eng ENG,MFFW,21,1.5,0,2,0,0.0,1.29,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Islam Slimani,dz ALG,FW,29,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
JesÃºs GÃ¡mez,es ESP,DF,32,1.1,0,1,0,0.0,0.92,0.00,0.00,,19.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Henri Saivet,sn SEN,MF,26,0.9,1,1,1,100.0,1.08,1.08,1.00,1.00,29.5,1,0,0,0.1,0.1,0.05,+1.0,+1.0
Aleksandar MitroviÄ,rs SRB,FW,22,1.1,1,4,2,50.0,3.79,1.89,0.25,0.50,9.6,0,0,0,1.2,1.2,0.30,-0.2,-0.2
Massadio HaÃ¯dara,ml MLI,FW,24,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,25.6,38.0,38,450,146,32.4,11.84,3.84,0.08,0.26,19.2,21,0,1,41.6,40.9,0.09,-3.6,-2.9
