Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Liam Cooper,sct SCO,DF,28,68,39,27,2,37,59,62.7,22,39,32,7,129,70,1,4,1,0,23,27,1,0,0,0,0,156,94,61,60.6,1415,1662,85.1,28083,9126,404,441,91.6,862,921,93.6,133,248,53.6,0,0,0.7,0,0,63,3,0,66,25,2185,87,63.9,25,87,23,0,0,1,1.52,38,40,-2,-0.08,-0.81,37.8,36.6,1.2,0.05,0.3,1,15,8,53.3,0.62,0.33,0.07,0.13,8.9,0,0,0,1.8,1.8,0.12,-0.8,-0.8,17,0.7,13,0,0,3,0,1,2,0.08,2,0,0,0,0,0
Pascal Struijk,nl NED,DFMF,20,49,28,19,2,17,28,60.7,11,35,21,14,96,92,0,3,0,0,26,7,0,1,0,1,0,129,46,48,48.9,1118,1301,85.9,21896,7066,343,390,87.9,653,700,93.3,106,176,60.2,0,0.1,0.3,-0.1,4,53,2,1,53,27,2075,77,60.7,22,83,18,5,48,10,1.56,38,32,6,0.26,0.13,29.5,33.5,-4,-0.17,-0.29,1,14,4,28.6,0.61,0.17,0.07,0.25,9.8,0,0,0,1.7,1.7,0.12,-0.7,-0.7,15,0.65,14,0,0,1,0,0,2,0.09,2,0,0,0,0,0
Diego Llorente,es ESP,DF,26,34,21,13,0,19,32,59.4,13,18,13,5,54,40,2,1,0,0,15,9,0,2,0,0,0,103,33,24,57.9,598,721,82.9,11725,3380,170,196,86.7,368,412,89.3,52,90,57.8,0,0.5,0.3,-0.5,4,21,2,0,17,15,1204,80,35.2,14,80,11,1,82,3,1.8,17,12,5,0.37,0.25,15.6,20.9,-5.4,-0.4,-0.53,1,8,3,37.5,0.6,0.22,0.13,0.33,17.4,0,0,0,0.8,0.8,0.1,0.2,0.2,7,0.52,6,0,0,1,0,0,1,0.07,1,0,0,0,0,0
Robin Koch,de GER,DFMF,24,27,17,10,0,10,19,52.6,9,18,12,6,54,34,2,1,0,0,17,8,0,1,0,2,0,76,37,29,56.1,664,773,85.9,13042,4385,191,218,87.6,398,428,93,64,104,61.5,0,0.1,0.1,-0.1,4,35,3,0,35,17,1132,67,33.1,13,84,12,4,11,2,1.59,20,21,-1,-0.08,-0.43,20.3,18.9,1.4,0.11,0.25,0,9,1,11.1,0.72,0.08,0,0,12.3,0,0,0,0.7,0.7,0.08,-0.7,-0.7,11,0.87,11,0,0,0,0,0,2,0.16,2,0,0,0,0,0
Jamaal Lascelles,eng ENG,DF,23,31,19,11,1,12,19,63.2,7,33,24,9,59,232,1,5,0,0,16,12,0,2,0,0,0,179,128,56,69.6,918,1195,76.8,17019,7376,346,393,88,448,545,82.2,100,204,49,0,0.7,0.8,-0.7,6,59,4,0,59,33,2928,89,85.6,32,0,31,1,0,1,1.3,33,31,2,0.06,1.89,37.2,41.6,-4.4,-0.14,1.02,3,12,8,66.7,0.37,0.25,0.25,0.38,12.2,0,0,0,1.1,1.1,0.09,1.9,1.9,17,0.52,15,1,0,1,0,0,0,0,0,0,0,0,0,0
DeAndre Yedlin,us USA,DF,24,57,39,14,4,26,54,48.1,28,37,7,30,101,114,0,5,0,0,32,26,9,73,0,0,1,156,47,50,48.5,1032,1398,73.8,15393,6339,594,670,88.7,347,492,70.5,59,158,37.3,2,2,1.4,0,19,58,26,16,66,34,2845,84,83.2,31,0,31,3,0,1,1.12,33,37,-4,-0.13,0.5,35.9,40.6,-4.7,-0.15,0.8,0,6,0,0,0.19,0,0,0,26.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,55,1.74,48,4,1,1,1,0,2,0.06,2,0,0,0,0,0
Florian Lejeune,fr FRA,DF,26,34,26,8,0,14,30,46.7,16,21,15,6,80,154,0,3,0,0,17,14,2,4,0,1,0,128,82,51,61.7,826,1082,76.3,17237,7245,282,321,87.9,391,468,83.5,134,253,53,2,1.5,1.3,0.5,7,66,1,0,62,24,2103,88,61.5,24,0,23,0,0,4,1,24,32,-8,-0.34,-0.34,23.5,32,-8.6,-0.37,-0.21,0,13,2,15.4,0.56,0.09,0,0,21,2,0,0,0.6,0.6,0.05,-0.6,-0.6,19,0.81,15,0,1,1,1,1,3,0.13,3,0,0,0,0,0
Javier Manquillo,es ESP,DF,23,36,25,8,3,15,30,50,15,25,6,19,54,65,0,2,0,0,24,12,2,30,0,1,0,70,22,19,53.7,561,766,73.2,8676,3549,306,363,84.3,202,278,72.7,36,78,46.2,1,1.3,0.5,-0.3,11,35,7,5,39,21,1758,84,51.4,20,0,18,1,0,17,0.86,17,31,-14,-0.72,-1.04,16.5,32.4,-15.9,-0.81,-1.09,0,2,0,0,0.1,0,0,0,11.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,27,1.38,18,5,1,1,2,0,2,0.1,2,0,0,0,0,0
Ciaran Clark,ie IRL,DF,27,25,17,8,0,11,21,52.4,10,15,10,5,42,144,1,3,0,0,17,13,0,2,0,2,0,95,38,37,50.7,511,715,71.5,10211,4381,171,199,85.9,251,308,81.5,71,176,40.3,1,0.7,0.4,0.3,4,43,3,0,27,20,1746,87,51.1,19,0,19,1,0,14,1.05,21,30,-9,-0.46,-0.52,22.5,30,-7.5,-0.39,-0.21,2,11,3,27.3,0.57,0.15,0.18,0.67,8.7,0,0,0,1.7,1.7,0.16,0.3,0.3,14,0.72,10,2,0,0,1,1,1,0.05,1,0,0,0,0,0
Paul Dummett,wls WAL,DF,25,28,21,7,0,13,27,48.1,14,27,10,17,51,107,1,1,0,0,8,11,0,22,0,1,0,73,54,34,61.4,535,779,68.7,8906,4389,252,304,82.9,223,305,73.1,43,119,36.1,0,0.3,0.6,-0.3,6,50,7,3,49,20,1602,80,46.8,19,0,17,1,0,2,1.3,19,18,1,0.06,0.5,21.3,24.6,-3.3,-0.19,0.19,0,4,0,0,0.22,0,0,0,14.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3,13,0.73,12,0,0,1,0,0,2,0.11,2,0,0,0,0,0
