Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Anthony Knockaert,fr FRA,MFFW,26.0,33,12,15,6,13,30,43.3,17,13,0,13,62,11,0,4,1,0,22,19,3,107,0,0,0,120,16,8,66.7,519,736,70.5,8704,2670,307,359,85.5,119,175,68.0,76,144,52.8,6,3.6,3.7,2.4,35,26,19,7,38,30,1837.0,61.0,53.7,18,83.0,10.0,12,29.0,4,0.8,20.0,38.0,-18.0,-0.88,-0.48,17.7,34.6,-16.9,-0.83,-0.44,2,27,9,33.3,1.32,0.44,0.07,0.22,18.4,2,0,0,2.1,2.1,0.08,-0.1,-0.1,68,3.33,29,27,1,5,2,4,9,0.44,3,4,0,1,0,1
Yves Bissouma,ml MLI,MF,21.0,62,33,27,2,20,38,52.6,18,21,5,16,95,29,2,5,0,0,40,25,2,8,0,0,0,116,27,31,46.6,588,730,80.5,8848,2018,338,384,88.0,194,234,82.9,38,66,57.6,0,1.0,0.9,-1.0,13,50,11,0,49,28,1774.0,63.0,51.9,17,88.0,11.0,11,26.0,6,0.93,16.0,32.0,-16.0,-0.81,-0.32,16.9,30.8,-13.8,-0.7,-0.16,0,31,3,9.7,1.57,0.15,0.0,0.0,26.1,3,0,0,1.8,1.8,0.06,-1.8,-1.8,54,2.74,35,1,10,2,6,0,2,0.1,1,0,0,0,1,0
Bruno,es ESP,DF,37.0,25,20,3,2,14,18,77.8,4,7,2,5,36,30,1,2,0,0,4,9,3,17,0,0,0,67,8,16,33.3,507,645,78.6,8805,4115,238,257,92.6,221,281,78.6,38,84,45.2,1,0.6,0.3,0.4,6,31,6,4,44,14,1131.0,81.0,33.1,14,81.0,9.0,0,,9,1.14,10.0,17.0,-7.0,-0.56,0.15,11.2,19.1,-7.9,-0.63,0.0,0,2,0,0.0,0.16,0.0,0.0,,22.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,16,1.27,11,4,0,1,0,0,4,0.32,2,1,0,1,0,0
JÃ¼rgen Locadia,nl NED,FWMF,24.0,15,5,8,2,3,7,42.9,4,8,0,8,24,13,0,1,0,0,22,11,11,12,0,0,0,56,23,42,35.4,249,348,71.6,3807,749,148,194,76.3,66,94,70.2,23,33,69.7,0,1.0,0.6,-1.0,13,12,10,2,12,26,1236.0,48.0,36.1,12,84.0,7.0,14,17.0,9,0.81,11.0,21.0,-10.0,-0.73,-0.11,14.9,20.6,-5.6,-0.41,0.34,2,27,9,33.3,1.97,0.66,0.07,0.22,17.8,1,0,0,2.7,2.7,0.1,-0.7,-0.7,31,2.26,22,0,3,4,1,1,2,0.15,1,0,1,0,0,0
Alireza Jahanbakhsh,ir IRN,FWMF,24.0,32,17,11,4,11,30,36.7,19,16,0,16,43,4,0,2,0,0,19,8,6,23,0,1,0,76,11,18,37.9,201,308,65.3,3128,913,122,148,82.4,57,82,69.5,16,39,41.0,0,0.2,0.3,-0.2,5,13,6,2,13,19,1020.0,54.0,29.8,12,75.0,3.0,7,17.0,5,0.95,11.0,16.0,-5.0,-0.44,0.31,8.6,18.5,-9.9,-0.88,-0.35,0,21,6,28.6,1.85,0.53,0.0,0.0,23.4,0,0,0,0.8,0.8,0.04,-0.8,-0.8,21,1.86,10,4,2,1,2,2,2,0.18,0,1,0,1,0,0
Beram Kayal,il ISR,MF,30.0,28,16,11,1,5,21,23.8,16,17,10,7,43,25,0,4,0,0,18,7,0,10,0,1,0,56,15,26,36.6,194,283,68.6,3007,919,105,129,81.4,76,101,75.2,9,35,25.7,1,1.1,0.4,-0.1,4,20,3,1,19,18,940.0,52.0,27.5,9,85.0,7.0,9,20.0,19,1.22,8.0,17.0,-9.0,-0.86,-0.28,6.9,20.2,-13.3,-1.27,-0.88,1,5,2,40.0,0.48,0.19,0.2,0.5,19.9,0,0,0,0.4,0.4,0.08,0.6,0.6,9,0.86,7,0,0,1,0,1,2,0.19,2,0,0,0,0,0
JosÃ© Izquierdo,co COL,MFFW,26.0,15,9,4,2,10,20,50.0,10,7,1,6,20,7,0,1,0,0,6,5,4,6,1,0,0,46,3,15,16.7,156,216,72.2,2091,641,97,119,81.5,48,61,78.7,5,16,31.3,1,0.4,0.5,0.6,5,9,4,0,18,15,795.0,53.0,23.2,9,78.0,4.0,6,16.0,3,1.4,11.0,10.0,1.0,0.11,1.0,7.5,13.5,-6.0,-0.68,-0.07,0,15,3,20.0,1.7,0.34,0.0,0.0,21.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6,15,1.7,12,0,1,1,1,0,3,0.34,1,0,0,1,1,0
Florin Andone,ro ROU,FW,25.0,10,3,4,3,1,6,16.7,5,9,1,8,13,12,0,5,0,0,28,20,4,5,0,0,0,42,36,73,33.0,113,170,66.5,1385,187,73,94,77.7,29,49,59.2,2,6,33.3,0,0.1,0.2,-0.1,2,3,1,1,2,23,881.0,38.0,25.8,8,68.0,0.0,15,23.0,5,0.78,7.0,14.0,-7.0,-0.72,-0.08,8.2,14.4,-6.2,-0.63,-0.01,3,19,8,42.1,1.94,0.82,0.16,0.38,12.3,0,0,0,2.5,2.5,0.13,0.5,0.5,13,1.33,7,0,1,3,2,0,1,0.1,0,0,0,1,0,0
Leon Balogun,ng NGA,DF,30.0,12,11,1,0,8,9,88.9,1,5,3,2,29,32,1,2,0,0,5,2,1,0,0,1,0,27,13,10,56.5,168,222,75.7,3430,835,38,50,76.0,99,112,88.4,24,44,54.5,0,0.0,0.1,0.0,0,1,0,0,6,8,594.0,74.0,17.4,5,91.0,5.0,3,47.0,18,1.25,7.0,10.0,-3.0,-0.45,0.25,5.9,8.7,-2.7,-0.41,0.26,1,1,1,100.0,0.15,0.15,1.0,1.0,13.3,0,0,0,0.1,0.1,0.07,0.9,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,27.4,679,363,238,78,264,582,45.4,318,415,170,245,1142,1001,17,61,4,1,463,301,90,636,5,10,0,1979,824,780,51.4,11491,15824,72.6,217603,86066,5120,6084,84.2,4413,5549,79.5,1639,3202,51.2,24,24.5,23.1,-0.5,281,887,223,81,809,38,3420.0,90.0,100.0,418,84.0,,99,22.0,167,0.95,35.0,60.0,-25.0,-0.66,,35.3,59.1,-23.8,-0.63,,35,364,99,27.2,9.58,2.61,0.08,0.3,17.9,12,5,6,35.3,30.7,0.09,-0.3,-0.7,646,17.0,427,87,40,35,45,12,55,1.45,29,9,1,7,8,1
