Team,TklSeason1,TklWonSeason1,TacklesDef3rdSeason1,TacklesMid3rdSeason1,TacklesAtt3rdSeason1,VSDribblesTklSeason1,VSDribblesAttSeason1,VSDribblesTkl%Season1,VSDribblesPastSeason1,BlocksSeason1,ShotBlockSeason1,PassBlockSeason1,InterceptionsSeason1,Tkl+IntSeason1,ClearancesSeason1,ErrorsSeason1,TklSeason2,TklWonSeason2,TacklesDef3rdSeason2,TacklesMid3rdSeason2,TacklesAtt3rdSeason2,VSDribblesTklSeason2,VSDribblesAttSeason2,VSDribblesTkl%Season2,VSDribblesPastSeason2,BlocksSeason2,ShotBlockSeason2,PassBlockSeason2,InterceptionsSeason2,Tkl+IntSeason2,ClearancesSeason2,ErrorsSeason2
Wolves,720,408,385,284,51,283,664,42.6,381,499,148,351,501,1221,895,23,646,367,358,227,61,281,685,41.0,404,378,109,269,437,1083,702,23
Newcastle,645,426,338,255,52,221,638,34.6,417,475,117,358,441,1086,1219,17,711,433,356,291,64,241,565,42.7,324,472,135,337,506,1217,1204,16
Brighton,599,380,360,205,34,205,642,31.9,437,430,190,240,449,1048,1182,18,679,391,363,238,78,264,582,45.4,318,415,170,245,463,1142,1001,17
Huddersfield,743,502,354,306,83,249,630,39.5,381,453,118,335,518,1261,1129,22,708,425,323,315,70,263,625,42.1,362,496,130,366,531,1239,682,15
Sheffield Utd,611,377,304,229,78,261,646,40.4,385,336,106,230,420,1031,931,16,634,356,325,239,70,294,720,40.8,426,442,152,290,351,985,839,19
Aston Villa,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17
Leeds United,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26,786,436,395,298,93,408,886,46.0,478,473,143,330,395,1181,622,15
