Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Rob Elliot,ie IRL,GK,31,16.0,21,1,0,3,1,18.8,0.27,-1.2,-0.07,154,371,41.5,378,46,63.5,44.1,159,82.4,55.8,258,15,5.8,15,0.94,13.2
Martin D̼bravka,sk SVK,GK,28,12.0,11,0,0,0,0,14.2,0.36,+3.2,+0.26,61,198,30.8,255,32,48.2,38.5,93,80.6,56.0,184,13,7.1,13,1.08,12.9
Karl Darlow,eng ENG,GK,26,10.0,15,3,0,0,2,15.8,0.28,+2.8,+0.28,78,232,33.6,247,37,62.3,43.2,87,89.7,57.9,159,11,6.9,4,0.40,11.7
Squad Total,,,25.6,38.0,47,4,0,3,3,48.8,0.30,+4.8,+0.13,293,801,36.6,880,115,58.8,42.2,339,83.8,56.4,601,39,6.5,32,0.84,12.7
