Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Illan Meslier,fr FRA,GK,21,38,38,3384,37.6,79,2.10,220,142,66.4,9,11,18,5,13.2,5,5,0,0,0.0
Kristoffer Klaesson,no NOR,GK,20,1,0,36,0.4,0,0.00,4,4,100.0,0,0,0,0,,0,0,0,0,
Squad Total,,,26.1,38,38,3420,38.0,79,2.08,224,146,67.0,9,11,18,5,13.2,5,5,0,0,0.0
