Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Mathias JÃ¸rgensen,dk DEN,DF,27,38.0,0,13,3,23.1,0.34,0.08,0.00,0.00,13.0,0,0,0,1.9,1.9,0.15,-1.9,-1.9
Jonas LÃ¶ssl,dk DEN,GK,28,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Christopher Schindler,de GER,DF,27,36.3,0,10,0,0.0,0.28,0.00,0.00,,8.7,0,0,0,1.1,1.1,0.11,-1.1,-1.1
Aaron Mooy,au AUS,MF,26,34.1,4,28,6,21.4,0.82,0.18,0.11,0.50,23.2,3,1,1,3.0,2.2,0.08,+1.0,+0.8
Jonathan Hogg,eng ENG,MF,28,26.6,0,12,2,16.7,0.45,0.08,0.00,0.00,24.0,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Tom Ince,eng ENG,MFFW,25,27.2,2,70,20,28.6,2.57,0.73,0.03,0.10,18.7,4,0,0,6.4,6.4,0.09,-4.4,-4.4
Rajiv van La Parra,nl NED,FWMF,26,23.7,3,42,14,33.3,1.77,0.59,0.05,0.14,21.6,0,1,1,3.1,2.3,0.05,-0.1,-0.3
Tommy Smith,eng ENG,DF,25,21.2,0,8,2,25.0,0.38,0.09,0.00,0.00,26.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Steve MouniÃ©,bj BEN,FW,22,20.6,7,49,22,44.9,2.38,1.07,0.14,0.32,14.2,1,0,0,5.2,5.2,0.11,+1.8,+1.8
Florent Hadergjonaj,xk KVX,DFMF,23,18.6,0,8,2,25.0,0.43,0.11,0.00,0.00,25.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Chris LÃ¶we,de GER,DF,28,17.6,0,8,2,25.0,0.45,0.11,0.00,0.00,25.3,3,0,0,0.4,0.4,0.04,-0.4,-0.4
Laurent Depoitre,be BEL,FW,28,20.2,6,25,12,48.0,1.24,0.59,0.24,0.50,13.5,0,0,0,3.7,3.7,0.15,+2.3,+2.3
Elias Kachunga,cd COD,FWMF,25,14.8,1,12,5,41.7,0.81,0.34,0.08,0.20,11.1,0,0,0,1.9,1.9,0.16,-0.9,-0.9
Collin Quaner,de GER,FWMF,26,14.2,0,16,2,12.5,1.13,0.14,0.00,0.00,15.8,0,0,0,1.4,1.4,0.09,-1.4,-1.4
Scott Malone,eng ENG,DF,26,12.4,0,8,2,25.0,0.64,0.16,0.00,0.00,20.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Alex Pritchard,eng ENG,MFFW,24,11.1,1,20,4,20.0,1.80,0.36,0.05,0.25,21.7,3,0,0,1.2,1.2,0.06,-0.2,-0.2
Danny Williams,us USA,MF,28,12.5,0,12,2,16.7,0.96,0.16,0.00,0.00,24.8,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Terence Kongolo,nl NED,DF,23,11.7,0,2,0,0.0,0.17,0.00,0.00,,15.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3
Philip Billing,dk DEN,MF,21,8.5,0,7,2,28.6,0.82,0.24,0.00,0.00,29.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Joe Lolley,eng ENG,FWMF,24,2.5,1,3,3,100.0,1.22,1.22,0.33,0.33,20.0,0,0,0,0.1,0.1,0.04,+0.9,+0.9
Abdelhamid Sabiri,ma MAR,MF,20,2.4,0,5,0,0.0,2.05,0.00,0.00,,15.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Martin Cranie,eng ENG,DF,30,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kasey Palmer,jm JAM,MFFW,20,1.9,0,2,1,50.0,1.06,0.53,0.00,0.00,22.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Dean Whitehead,eng ENG,MF,35,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Michael Hefele,de GER,DF,26,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,26.4,38.0,25,360,106,29.4,9.47,2.79,0.06,0.22,18.8,14,2,2,31.3,29.8,0.08,-6.3,-6.8
