Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,ExpectedPSxG,ExpectedPSxG/SoT,ExpectedPSxG+/-,Expected/90,LaunchedCmp,LaunchedAtt,LaunchedCmp%,PassesAtt,PassesThr,PassesLaunch%,PassesAvgLen,GoalKickAtt,GoalKickLaunch%,GoalKickAvgLen,CrossesOpp,CrossesStp,CrossesStp%,Sweep#OPA,Sweep#OPA/90,SweepAvgDist
Rui PatrÃ­cio,pt POR,GK,31,38.0,40,1,1,6,1,35.5,0.26,-3.5,-0.09,250,528,47.3,578,127,53.1,39.0,283,78.1,48.7,530,20,3.8,11,0.29,11.7
Squad Total,,,26.6,38.0,40,1,1,6,1,35.5,0.26,-3.5,-0.09,250,528,47.3,578,127,53.1,39.0,283,78.1,48.7,530,20,3.8,11,0.29,11.7
