Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,ExpectedPSxG,ExpectedPSxG/SoT,ExpectedPSxG+/-,Expected/90,LaunchedCmp,LaunchedAtt,LaunchedCmp%,PassesAtt,PassesThr,PassesLaunch%,PassesAvgLen,GoalKickAtt,GoalKickLaunch%,GoalKickAvgLen,CrossesOpp,CrossesStp,CrossesStp%,Sweep#OPA,Sweep#OPA/90,SweepAvgDist
Mathew Ryan,au AUS,GK,25,38.0,54,1,1,15,5,48.8,0.28,-0.2,-0.01,345,875,39.4,823,122,66.5,44.5,352,93.2,57.9,623,38,6.1,17,0.45,10.2
Squad Total,,,27.5,38.0,54,1,1,15,5,48.8,0.28,-0.2,-0.01,345,875,39.4,823,122,66.5,44.5,352,93.2,57.9,623,38,6.1,17,0.45,10.2
