Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Sander Berge,no NOR,MF,21.0,22,3,14,5,5,10,50.0,5,15,1,14,32,16,0,0,0,0,18,5,1,22,0,0,0,56,35,16,68.6,298,392,76.0,4903,1051,124,158,78.5,135,158,85.4,24,38,63.2,1,0.6,0.9,0.4,2,33,8,2,21,14,943.0,67.0,27.6,12,75.0,5.0,2,23.0,0,1.5,11.0,11.0,0.0,0.0,0.0,9.3,11.8,-2.5,-0.24,-0.05,1,5,2,40.0,0.48,0.19,0.2,0.5,13.5,0,0,0,0.6,0.6,0.12,0.4,0.4,7,0.67,5,0,1,1,0,0,2,0.19,1,0,1,0,0,0
Lys Mousset,fr FRA,FW,23.0,9,0,5,4,3,7,42.9,4,3,0,3,13,2,0,1,0,0,24,14,16,4,0,0,0,47,22,70,23.9,170,246,69.1,2052,298,118,148,79.7,43,57,75.4,3,7,42.9,4,3.2,1.2,0.8,12,8,5,1,11,30,1240.0,41.0,36.3,11,66.0,0.0,19,27.0,3,1.53,20.0,15.0,5.0,0.36,0.57,17.0,20.0,-3.0,-0.22,-0.02,6,37,9,24.3,2.69,0.65,0.16,0.67,16.2,0,0,0,5.5,5.5,0.15,0.5,0.5,30,2.18,16,0,7,4,2,1,4,0.29,3,0,0,1,0,0
Billy Sharp,eng ENG,FW,33.0,6,2,1,3,1,6,16.7,5,2,0,2,7,2,0,1,1,0,20,32,11,11,0,0,0,45,19,39,32.8,158,224,70.5,2078,383,101,125,80.8,50,68,73.5,3,6,50.0,2,2.3,1.1,-0.3,14,3,9,1,13,25,1051.0,42.0,30.7,10,68.0,0.0,15,25.0,11,1.16,11.0,10.0,1.0,0.09,0.12,12.2,14.4,-2.2,-0.19,0.03,3,16,7,43.8,1.37,0.6,0.19,0.43,9.6,0,0,0,3.8,3.8,0.24,-0.8,-0.8,31,2.65,22,0,5,1,3,0,2,0.17,2,0,0,0,0,0
Callum Robinson,ie IRL,FWMF,24.0,6,2,2,2,2,7,28.6,5,3,0,3,13,3,0,1,0,0,11,4,1,15,0,0,0,28,4,19,17.4,120,154,77.9,1730,243,71,78,91.0,37,46,80.4,7,16,43.8,1,0.4,0.6,0.6,4,7,3,1,4,16,676.0,42.0,19.8,9,65.0,2.0,7,12.0,7,1.06,7.0,6.0,1.0,0.13,0.17,7.7,10.2,-2.5,-0.33,-0.15,1,12,4,33.3,1.6,0.53,0.08,0.25,14.9,0,0,0,1.6,1.6,0.13,-0.6,-0.6,10,1.33,9,0,0,0,0,1,1,0.13,1,0,0,0,0,0
Ben Osborn,eng ENG,MFDF,24.0,15,11,3,1,3,16,18.8,13,6,1,5,21,7,0,0,0,0,9,6,1,16,0,0,0,43,6,9,40.0,176,258,68.2,2571,661,105,125,84.0,47,69,68.1,13,36,36.1,0,0.9,0.6,-0.9,7,10,4,2,8,13,594.0,46.0,17.4,6,77.0,4.0,7,19.0,17,2.08,9.0,4.0,5.0,0.76,0.92,8.0,7.6,0.4,0.06,0.33,0,3,1,33.3,0.45,0.15,0.0,0.0,13.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,14,2.12,12,0,0,1,1,0,4,0.61,3,0,0,1,0,0
Jack Robinson,eng ENG,DF,25.0,10,5,5,0,1,6,16.7,5,12,5,7,18,24,0,0,0,0,4,4,1,6,0,0,0,30,14,9,60.9,203,274,74.1,3824,1621,75,82,91.5,102,127,80.3,19,50,38.0,0,0.2,0.1,-0.2,2,21,1,1,11,6,504.0,84.0,14.7,6,84.0,5.0,0,,5,0.83,4.0,11.0,-7.0,-1.25,-1.47,5.1,9.5,-4.4,-0.78,-0.67,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,4,0.71,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Luke Freeman,eng ENG,MF,27.0,6,2,2,2,2,8,25.0,6,1,0,1,16,6,0,2,0,0,6,5,0,15,0,0,0,20,4,6,40.0,112,148,75.7,1479,478,72,80,90.0,26,34,76.5,7,16,43.8,0,0.2,0.6,-0.2,3,11,6,3,11,11,366.0,33.0,10.7,3,73.0,1.0,8,18.0,13,1.27,5.0,5.0,0.0,0.0,0.0,5.5,4.1,1.5,0.36,0.64,0,3,0,0.0,0.74,0.0,0.0,,29.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,7,1.72,5,0,0,0,2,0,0,0.0,0,0,0,0,0,0
Muhamed BeÅ¡iÄ,ba BIH,MF,26.0,8,4,4,0,2,5,40.0,3,4,0,4,9,6,0,2,0,0,6,2,0,1,0,0,0,17,5,3,62.5,84,107,78.5,1285,280,50,58,86.2,23,28,82.1,7,12,58.3,0,0.1,0.0,-0.1,1,6,1,0,8,9,250.0,28.0,7.3,2,76.0,0.0,7,14.0,14,1.56,1.0,2.0,-1.0,-0.36,-0.39,4.1,4.2,0.0,-0.02,0.21,0,4,2,50.0,1.44,0.72,0.0,0.0,20.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,6,2.16,6,0,0,0,0,0,1,0.36,1,0,0,0,0,0
Phil Jagielka,eng ENG,DF,36.0,5,3,2,0,1,3,33.3,2,5,5,0,9,19,0,0,0,0,1,4,0,1,0,0,0,16,15,4,78.9,61,80,76.3,1138,398,26,31,83.9,28,35,80.0,7,11,63.6,0,0.0,0.0,0.0,0,2,1,1,3,6,244.0,41.0,7.1,2,90.0,2.0,4,16.0,30,2.17,5.0,6.0,-1.0,-0.37,-0.4,3.7,4.8,-1.2,-0.44,-0.25,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Richairo Å½ivkoviÄ,nl NED,FW,22.0,2,0,2,0,1,2,50.0,1,1,0,1,2,0,0,0,0,0,1,1,0,1,0,0,0,4,0,12,0.0,17,19,89.5,215,19,11,12,91.7,5,6,83.3,0,0,,0,0.1,0.2,-0.1,2,0,1,1,0,5,112.0,22.0,3.3,0,,0.0,5,22.0,4,0.6,1.0,4.0,-3.0,-2.41,-2.49,0.6,2.5,-1.9,-1.51,-1.35,0,1,0,0.0,0.8,0.0,0.0,,11.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,3,2.41,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Leon Clarke,eng ENG,FWMF,34.0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,40.0,4,6,66.7,51,7,3,5,60.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,2,35.0,18.0,1.0,0,,0.0,2,18.0,2,0.0,0.0,2.0,-2.0,-5.14,-5.2,0.6,1.7,-1.2,-2.99,-2.81,0,1,0,0.0,2.57,0.0,0.0,,9.6,0,0,0,0.5,0.5,0.46,-0.5,-0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jack Rodwell,eng ENG,MF,28.0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2,2,100.0,35,5,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,1,16.0,16.0,0.5,0,,0.0,1,16.0,7,1.0,1.0,0.0,1.0,5.63,5.65,0.1,0.3,-0.2,-1.34,-1.13,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ravel Morrison,jm JAM,MF,26.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,6,83.3,46,25,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,2,0,0,0,1,13.0,13.0,0.4,0,,0.0,1,13.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.08,1.29,0,1,0,0.0,6.92,0.0,0.0,,12.9,0,0,0,0.0,0.0,0.05,0.0,0.0,1,6.92,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kieron Freeman,wls WAL,FW,27.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,1,1,100.0,5,3,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,2,7.0,4.0,0.2,0,,0.0,2,4.0,11,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.59,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,26.9,611,304,229,78,261,646,40.4,385,336,106,230,1031,931,16,63,2,1,412,306,78,866,1,3,0,2041,946,886,51.6,12125,16858,71.9,222335,83887,5714,6687,85.4,4480,5657,79.2,1579,3404,46.4,25,34.0,29.7,-9.0,269,1053,282,97,903,38,3420.0,90.0,100.0,418,84.0,,110,22.0,171,1.42,39.0,39.0,0.0,0.0,,43.0,51.0,-7.9,-0.21,,36,352,109,31.0,9.26,2.87,0.1,0.32,15.2,4,1,1,43.0,42.2,0.12,-7.0,-7.2,630,16.58,457,62,44,38,23,6,63,1.66,47,3,6,6,1,0
