Player,Nation,Pos,Age,Tkl,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Tkl+Int,Clearances,Errors,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,MP,Min,Mn/MP,Min%,Starts,Min/Start,Compl,Subs,Min/Sub,unSub,PPM,onG,onGA,Goals+/-,Goals+/-90,TeamSuccessOn-Off,onxG,onxGA,xG+/-,xG+/-90,xG-On-Off,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef
Matt Targett,eng ENG,DF,24.0,83,52,20,11,56,88,63.6,32,40,14,26,138,102,1,7,0,0,28,22,0,146,0,1,0,177,71,50,58.7,1647,2189,75.2,27404,13151,879,1006,87.4,565,742,76.1,159,314,50.6,2,2.5,3.1,-0.5,38,161,47,14,179,38,3404.0,90.0,99.5,38,90.0,37.0,0,,0,1.45,55.0,44.0,11.0,0.29,11.54,52.4,50.3,2.2,0.06,4.15,0,6,2,33.3,0.16,0.05,0.0,0.0,21.8,1,0,0,0.3,0.3,0.04,-0.3,-0.3,82,2.17,58,19,0,0,3,2,9,0.24,6,2,0,0,1,0
John McGinn,sct SCO,MF,25.0,61,23,31,7,27,84,32.1,57,38,6,32,104,23,2,12,0,0,43,77,1,52,1,0,0,234,21,48,30.4,1102,1439,76.6,21328,7785,445,520,85.6,441,532,82.9,173,278,62.2,5,3.6,2.3,1.4,42,199,36,6,161,37,3330.0,90.0,97.4,37,90.0,37.0,0,,0,1.41,53.0,46.0,7.0,0.19,-1.81,50.3,50.6,-0.4,-0.01,-1.8,3,45,11,24.4,1.22,0.3,0.07,0.27,23.7,0,0,0,2.5,2.5,0.06,0.5,0.5,123,3.32,101,4,8,2,7,1,15,0.41,10,1,2,1,1,0
Ollie Watkins,eng ENG,FW,24.0,29,5,16,8,10,33,30.3,23,21,2,19,36,24,0,4,1,1,47,49,31,22,0,0,0,77,136,154,46.9,592,843,70.2,6928,1260,407,527,77.2,120,169,71.0,12,24,50.0,5,5.3,3.8,-0.3,45,38,23,4,34,37,3328.0,90.0,97.3,37,90.0,36.0,0,,0,1.46,55.0,46.0,9.0,0.24,0.24,51.9,50.1,1.9,0.05,0.49,14,95,43,45.3,2.57,1.16,0.14,0.3,13.7,0,1,2,14.5,13.0,0.14,-0.5,0.0,110,2.97,85,0,6,12,6,1,14,0.38,9,0,1,3,1,0
Tyrone Mings,eng ENG,DF,27.0,32,23,7,2,16,24,66.7,8,59,40,19,73,172,3,6,1,1,21,18,3,5,0,0,1,209,90,35,72.0,1314,1696,77.5,27322,12308,380,439,86.6,745,816,91.3,165,379,43.5,2,0.4,0.5,1.6,7,97,4,1,88,36,3194.0,89.0,93.4,36,89.0,35.0,0,,0,1.5,50.0,42.0,8.0,0.23,-0.17,48.7,47.0,1.6,0.05,0.12,2,19,7,36.8,0.54,0.2,0.11,0.29,9.9,0,0,0,1.9,1.9,0.1,0.1,0.1,23,0.65,17,2,1,2,0,1,2,0.06,2,0,0,0,0,0
Ezri Konsa,eng ENG,DF,22.0,25,18,6,1,9,13,69.2,4,53,47,6,54,162,1,3,0,0,19,54,1,3,0,1,0,156,93,54,63.3,1102,1305,84.4,21620,6304,325,378,86.0,646,702,92.0,113,184,61.4,0,0.1,0.1,-0.1,2,37,2,0,26,36,3196.0,89.0,93.5,35,90.0,35.0,1,46.0,0,1.42,51.0,46.0,5.0,0.14,-1.47,46.6,50.4,-3.8,-0.11,-2.2,2,22,7,31.8,0.62,0.2,0.09,0.29,9.7,0,0,0,2.4,2.4,0.11,-0.4,-0.4,7,0.2,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Douglas Luiz,br BRA,MF,22.0,49,22,26,1,20,58,34.5,38,52,17,35,92,44,2,10,1,1,59,48,0,23,0,2,0,208,42,41,50.6,1217,1445,84.2,22141,6015,503,568,88.6,525,577,91.0,152,212,71.7,2,1.6,1.4,0.4,19,134,13,3,95,33,2781.0,84.0,81.3,32,86.0,21.0,1,18.0,4,1.36,43.0,41.0,2.0,0.06,-0.92,39.9,42.6,-2.7,-0.09,-0.66,0,26,8,30.8,0.84,0.26,0.0,0.0,23.9,1,0,0,1.2,1.2,0.05,-1.2,-1.2,52,1.68,47,3,0,1,1,0,7,0.23,6,1,0,0,0,0
Bertrand Traor̩,bf BFA,FW,24.0,26,8,10,8,10,34,29.4,24,23,1,22,41,14,1,1,0,0,31,40,7,102,1,0,0,119,32,31,50.8,569,808,70.4,9814,2435,288,352,81.8,184,245,75.1,77,150,51.3,6,4.3,3.3,1.7,35,32,26,5,57,36,2317.0,64.0,67.7,29,74.0,6.0,7,25.0,0,1.36,32.0,31.0,1.0,0.04,-0.61,33.8,33.2,0.6,0.02,-0.04,7,64,23,35.9,2.49,0.89,0.11,0.3,16.7,2,0,0,6.6,6.6,0.1,0.4,0.4,83,3.22,43,12,12,7,8,1,9,0.35,6,1,0,0,1,1
Matty Cash,pl POL,DF,22.0,71,43,22,6,41,74,55.4,33,50,11,39,131,95,0,8,1,1,35,22,2,81,0,2,0,134,34,39,46.6,959,1320,72.7,16255,6050,478,542,88.2,361,480,75.2,101,244,41.4,2,1.7,1.7,0.3,21,73,23,19,51,28,2372.0,85.0,69.4,28,85.0,22.0,0,,1,1.5,42.0,35.0,7.0,0.27,0.09,35.9,35.1,0.8,0.03,-0.02,0,9,2,22.2,0.34,0.08,0.0,0.0,22.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,35,1.33,28,3,2,0,1,1,2,0.08,2,0,0,0,0,0
Jack Grealish,eng ENG,FWMF,24.0,31,8,16,7,15,24,62.5,9,20,3,17,43,5,3,6,0,0,40,110,7,76,2,0,0,125,25,27,48.1,872,1105,78.9,12898,4406,500,572,87.4,267,321,83.2,58,110,52.7,10,7.4,6.5,2.6,81,91,69,3,136,26,2185.0,84.0,63.9,24,89.0,22.0,2,23.0,0,1.65,40.0,28.0,12.0,0.49,0.71,36.3,33.4,2.9,0.12,0.23,6,50,17,34.0,2.06,0.7,0.12,0.35,17.0,2,0,0,4.6,4.6,0.09,1.4,1.4,169,6.96,120,14,14,5,15,1,20,0.82,17,0,0,0,3,0
Ross Barkley,eng ENG,MF,26.0,6,2,4,0,3,15,20.0,12,9,1,8,11,6,1,0,0,0,12,17,5,61,1,0,0,70,21,22,48.8,640,795,80.5,10363,2800,330,383,86.2,214,255,83.9,65,97,67.0,1,4.2,2.4,-3.2,39,46,25,0,60,24,1531.0,64.0,44.8,18,77.0,6.0,6,26.0,4,1.08,26.0,24.0,2.0,0.12,-0.22,22.5,24.0,-1.5,-0.09,-0.22,3,38,11,28.9,2.23,0.65,0.08,0.27,18.7,2,0,0,3.1,3.1,0.08,-0.1,-0.1,75,4.41,43,19,8,2,2,1,5,0.29,2,1,0,1,1,0
