,Player,Nation,Pos,Age,AerialDuelWon%,ShortCmp%,MediumCmp%,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses,Gls,Sh,SoT,SoT%,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld
4,Tom Ince,eng ENG,MFFW,25.0,27.1,87.8,84.3,35.4,0,1.4,1.2,-1.4,18,27,14,7,28,2,70,20,28.6,6.4,6.4,0.09,-4.4,-4.4,41,5,5,9,5,1,1,0,0,1,0
5,Rajiv van La Parra,nl NED,FWMF,26.0,30.0,82.3,72.8,43.6,0,0.9,1.2,-0.9,14,20,15,6,43,3,42,14,33.3,3.1,2.3,0.05,-0.1,-0.3,31,0,8,4,6,0,0,0,0,0,0
7,Steve Mouni̩,bj BEN,FW,22.0,52.2,66.3,51.7,72.2,1,1.8,0.7,-0.8,17,22,5,0,21,7,49,22,44.9,5.2,5.2,0.11,1.8,1.8,21,0,3,4,2,0,2,0,2,0,0
10,Laurent Depoitre,be BEL,FW,28.0,47.0,59.1,56.7,64.7,1,1.4,0.4,-0.4,14,20,0,0,16,6,25,12,48.0,3.7,3.7,0.15,2.3,2.3,22,0,3,3,3,1,2,0,2,1,1
11,Elias Kachunga,cd COD,FWMF,25.0,32.7,76.9,60.7,29.4,1,0.6,0.5,0.4,10,6,6,1,12,1,12,5,41.7,1.9,1.9,0.16,-0.9,-0.9,23,0,3,0,3,0,1,0,0,0,0
12,Collin Quaner,de GER,FWMF,26.0,35.9,77.4,73.0,22.7,4,2.5,1.5,1.5,17,26,7,3,25,0,16,2,12.5,1.4,1.4,0.09,-1.4,-1.4,27,1,5,3,3,0,4,0,0,1,0
14,Alex Pritchard,eng ENG,MFFW,24.0,9.5,82.1,66.4,41.5,1,1.9,1.2,-0.9,20,26,12,3,32,1,20,4,20.0,1.2,1.2,0.06,-0.2,-0.2,22,6,3,3,4,0,1,0,1,0,1
2,Patrick Bamford,eng ENG,FW,26.0,39.2,82.1,76.6,60.0,7,3.5,1.7,3.5,30,18,11,1,25,17,105,46,43.8,18.2,16.6,0.16,-1.2,-1.6,46,0,5,10,4,0,9,0,2,2,3
3,Jack Harrison,eng ENG,MFFW,23.0,39.4,82.0,69.5,38.5,8,6.5,5.0,1.5,59,48,52,12,91,8,45,19,42.2,5.8,5.8,0.13,2.2,2.2,96,8,5,7,1,0,12,1,2,0,0
7,Raphinha,br BRA,MFFW,23.0,20.0,84.0,64.9,43.1,9,7.9,6.8,1.1,64,79,40,7,100,6,67,24,35.8,5.7,5.7,0.09,0.3,0.3,68,26,14,7,4,1,8,3,2,2,0
