Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,ExpectedPSxG,ExpectedPSxG/SoT,ExpectedPSxG+/-,Expected/90,LaunchedCmp,LaunchedAtt,LaunchedCmp%,PassesAtt,PassesThr,PassesLaunch%,PassesAvgLen,GoalKickAtt,GoalKickLaunch%,GoalKickAvgLen,CrossesOpp,CrossesStp,CrossesStp%,Sweep#OPA,Sweep#OPA/90,SweepAvgDist
Illan Meslier,fr FRA,GK,21,37.6,79,5,3,10,1,61.8,0.26,-16.2,-0.43,108,410,26.3,1101,274,27.5,29.3,288,37.2,33.3,438,23,5.3,45,1.20,14.2
Kristoffer Klaesson,no NOR,GK,20,0.4,0,0,0,0,0,0.6,0.14,+0.6,+1.38,1,3,33.3,8,2,25.0,30.4,3,33.3,28.7,7,0,0.0,2,5.00,23.7
Squad Total,,,26.1,38.0,79,5,3,10,1,62.4,0.26,-15.6,-0.41,109,413,26.4,1109,276,27.5,29.3,291,37.1,33.2,445,23,5.2,47,1.24,14.4
