Team,2CrdYSeason1,FlsSeason1,FldSeason1,OffSeason1,CrsSeason1,InterceptionsSeason1,TklWonSeason1,PKwonSeason1,PKconSeason1,OGSeason1,RecovSeason1,AerialDuelWonSeason1,AerielDuelLostSeason1,AerialDuelWon%Season1,CrdYSeason2,CrdRSeason2,2CrdYSeason2,FlsSeason2,FldSeason2,OffSeason2,CrsSeason2,InterceptionsSeason2,TklWonSeason2,PKwonSeason2,PKconSeason2,OGSeason2,RecovSeason2,AerialDuelWonSeason2,AerielDuelLostSeason2,AerialDuelWon%Season2
Wolves,0,409,325,73,622,501,408,4,4,4,2239,803,788,50.5,61.0,2.0,2,407,360,49,718,437,367,4,3,1,2113,775,711,52.2
Newcastle,1,409,369,63,616,441,426,1,6,3,2021,884,927,48.8,57.0,2.0,0,423,332,59,711,506,433,2,6,1,2034,785,914,46.2
Brighton,0,413,277,98,680,449,380,7,3,5,2122,796,777,50.6,61.0,4.0,1,463,301,90,636,463,391,5,10,0,1979,824,780,51.4
Huddersfield,2,397,363,67,765,518,502,2,6,1,2141,788,800,49.6,56.0,4.0,1,420,370,63,768,531,425,1,9,1,2063,844,807,51.1
Sheffield Utd,1,412,306,78,866,420,377,1,3,0,2041,946,886,51.6,73.0,3.0,0,459,293,73,666,351,356,3,4,3,1802,718,798,47.4
Aston Villa,1,451,525,62,798,423,291,2,6,1,1900,705,742,48.7,71.0,4.0,4,439,553,71,779,387,282,6,6,1,1906,728,665,52.3
Leeds United,0,432,410,76,786,397,417,3,9,2,2160,538,605,47.1,101.0,3.0,0,469,368,63,648,395,436,4,5,1,2260,470,626,42.9
