Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Tom Heaton,eng ENG,GK,33,20,20,1794,19.9,35,1.76,102,68,68.6,5,3,11,4,20.0,3,3,0,0,0.0
Pepe Reina,es ESP,GK,36,12,12,1080,12.0,20,1.67,53,32,66.0,3,3,6,2,16.7,3,2,1,0,33.3
Ãrjan Nyland,no NOR,GK,28,7,5,539,6.0,12,2.00,27,15,55.6,0,2,3,1,20.0,0,0,0,0,
Jed Steer,eng ENG,GK,26,1,1,7,0.1,,,,,,,,,,,,,,,
Squad Total,,,25.7,38,38,3420,38.0,67,1.76,182,115,65.9,8,8,20,7,18.4,6,5,1,0,16.7
